MW750027 delta_MW750027
MZ184564 delta_MZ184564
MZ185098 delta_MZ185098
MZ199118 delta_MZ199118
MZ188001 delta_MZ188001
MZ195418 delta_MZ195418
MZ196154 delta_MZ196154
MZ195934 delta_MZ195934
MZ195678 delta_MZ195678
MZ188000 delta_MZ188000
MZ195848 delta_MZ195848
MZ195856 delta_MZ195856
MZ186712 delta_MZ186712
MZ201960 delta_MZ201960
MZ186693 delta_MZ186693
MZ185219 delta_MZ185219
MZ193771 delta_MZ193771
MZ195335 delta_MZ195335
MZ201805 delta_MZ201805
MZ195961 delta_MZ195961
MZ195962 delta_MZ195962
MZ186672 delta_MZ186672
MZ196014 delta_MZ196014
MZ201630 delta_MZ201630
MZ187782 delta_MZ187782
MZ186135 delta_MZ186135
MZ186546 delta_MZ186546
MZ193471 delta_MZ193471
MZ185411 delta_MZ185411
MZ185385 delta_MZ185385
MZ185655 delta_MZ185655
MZ187321 delta_MZ187321
MZ187281 delta_MZ187281
MZ186872 delta_MZ186872
MZ186739 delta_MZ186739
MZ186816 delta_MZ186816
MZ217679 delta_MZ217679
MZ208926 delta_MZ208926
MZ264900 delta_MZ264900
MZ223882 delta_MZ223882
MZ244853 delta_MZ244853
MZ254548 delta_MZ254548
MZ237943 delta_MZ237943
MZ229038 delta_MZ229038
MZ245151 delta_MZ245151
MZ244821 delta_MZ244821
MZ244830 delta_MZ244830
MZ254373 delta_MZ254373
MZ254311 delta_MZ254311
MZ254134 delta_MZ254134
MZ254115 delta_MZ254115
MZ237770 delta_MZ237770
MZ237135 delta_MZ237135
MZ228112 delta_MZ228112
MZ244529 delta_MZ244529
MZ254086 delta_MZ254086
MZ238698 delta_MZ238698
MZ252485 delta_MZ252485
MZ244443 delta_MZ244443
MZ244456 delta_MZ244456
MZ252671 delta_MZ252671
MZ237961 delta_MZ237961
MZ237608 delta_MZ237608
MZ237075 delta_MZ237075
MZ228797 delta_MZ228797
MZ236962 delta_MZ236962
MZ228808 delta_MZ228808
MZ245041 delta_MZ245041
MZ252613 delta_MZ252613
MZ252332 delta_MZ252332
MZ238437 delta_MZ238437
MZ252828 delta_MZ252828
MZ253713 delta_MZ253713
MZ253087 delta_MZ253087
MZ228135 delta_MZ228135
MZ228366 delta_MZ228366
MZ228037 delta_MZ228037
MZ244979 delta_MZ244979
MZ256717 delta_MZ256717
MZ252348 delta_MZ252348
MZ252427 delta_MZ252427
MZ264197 delta_MZ264197
MZ245028 delta_MZ245028
MZ260820 delta_MZ260820
MZ261257 delta_MZ261257
MZ244579 delta_MZ244579
MZ252105 delta_MZ252105
MZ252653 delta_MZ252653
MZ252571 delta_MZ252571
MZ252572 delta_MZ252572
MZ253387 delta_MZ253387
MZ245108 delta_MZ245108
MZ252220 delta_MZ252220
MZ252892 delta_MZ252892
MZ233752 delta_MZ233752
MZ239990 delta_MZ239990
MZ228857 delta_MZ228857
MZ252412 delta_MZ252412
MZ238633 delta_MZ238633
MZ237194 delta_MZ237194
MZ242165 delta_MZ242165
MZ252277 delta_MZ252277
MZ253480 delta_MZ253480
MZ253166 delta_MZ253166
MZ257732 delta_MZ257732
MZ257724 delta_MZ257724
MZ257690 delta_MZ257690
MZ257680 delta_MZ257680
MZ253657 delta_MZ253657
MZ252829 delta_MZ252829
MZ269770 delta_MZ269770
MZ282027 delta_MZ282027
MZ281816 delta_MZ281816
MZ282155 delta_MZ282155
MZ281795 delta_MZ281795
MZ282867 delta_MZ282867
MZ282156 delta_MZ282156
MZ282117 delta_MZ282117
MZ377104 delta_MZ377104
MZ280117 delta_MZ280117
MZ280104 delta_MZ280104
MZ282093 delta_MZ282093
MZ280074 delta_MZ280074
MZ282583 delta_MZ282583
MZ280066 delta_MZ280066
MZ284385 delta_MZ284385
MZ284033 delta_MZ284033
MZ283665 delta_MZ283665
MZ284116 delta_MZ284116
MZ283671 delta_MZ283671
MZ283093 delta_MZ283093
MZ283096 delta_MZ283096
MZ283990 delta_MZ283990
MZ283198 delta_MZ283198
MZ283414 delta_MZ283414
MZ283523 delta_MZ283523
MZ283541 delta_MZ283541
MZ283546 delta_MZ283546
MZ284079 delta_MZ284079
MZ284280 delta_MZ284280
MZ284286 delta_MZ284286
MZ283448 delta_MZ283448
MZ284092 delta_MZ284092
MZ283228 delta_MZ283228
MZ283515 delta_MZ283515
MZ283800 delta_MZ283800
MZ283264 delta_MZ283264
MZ283964 delta_MZ283964
MZ283582 delta_MZ283582
MZ283393 delta_MZ283393
MZ284453 delta_MZ284453
MZ284454 delta_MZ284454
MZ284456 delta_MZ284456
MZ271646 delta_MZ271646
MZ271760 delta_MZ271760
MZ270940 delta_MZ270940
MZ270942 delta_MZ270942
MZ271036 delta_MZ271036
MZ278346 delta_MZ278346
MZ278347 delta_MZ278347
MZ278319 delta_MZ278319
MZ285082 delta_MZ285082
MZ279473 delta_MZ279473
MZ286753 delta_MZ286753
MZ278306 delta_MZ278306
MZ278454 delta_MZ278454
MZ285083 delta_MZ285083
MZ377110 delta_MZ377110
MZ377109 delta_MZ377109
MZ377111 delta_MZ377111
MZ307012 delta_MZ307012
MZ307013 delta_MZ307013
MZ377108 delta_MZ377108
MZ377116 delta_MZ377116
MZ306899 delta_MZ306899
MZ294029 delta_MZ294029
MZ306939 delta_MZ306939
MZ308384 delta_MZ308384
MZ294057 delta_MZ294057
MZ294006 delta_MZ294006
MZ294076 delta_MZ294076
MZ294069 delta_MZ294069
MZ294023 delta_MZ294023
MZ294054 delta_MZ294054
MZ294222 delta_MZ294222
MZ293971 delta_MZ293971
MZ294221 delta_MZ294221
MZ307985 delta_MZ307985
MZ294201 delta_MZ294201
MZ293901 delta_MZ293901
MZ308353 delta_MZ308353
MZ294337 delta_MZ294337
MZ307980 delta_MZ307980
MZ307954 delta_MZ307954
MZ294338 delta_MZ294338
MZ294311 delta_MZ294311
MZ377105 delta_MZ377105
MZ377106 delta_MZ377106
MZ377107 delta_MZ377107
MZ377114 delta_MZ377114
MZ377115 delta_MZ377115
MZ294138 delta_MZ294138
MZ308247 delta_MZ308247
MZ307810 delta_MZ307810
MZ306662 delta_MZ306662
MZ307864 delta_MZ307864
MZ307874 delta_MZ307874
MZ306648 delta_MZ306648
MZ294448 delta_MZ294448
MZ308126 delta_MZ308126
MZ306558 delta_MZ306558
MZ307683 delta_MZ307683
MZ307617 delta_MZ307617
MZ307676 delta_MZ307676
MZ293618 delta_MZ293618
MZ307781 delta_MZ307781
MZ306374 delta_MZ306374
MZ306535 delta_MZ306535
MZ306533 delta_MZ306533
MZ307513 delta_MZ307513
MZ307534 delta_MZ307534
MZ307533 delta_MZ307533
MZ307691 delta_MZ307691
MZ307634 delta_MZ307634
MZ307543 delta_MZ307543
MZ306429 delta_MZ306429
MZ306428 delta_MZ306428
MZ307512 delta_MZ307512
MZ307748 delta_MZ307748
MZ293641 delta_MZ293641
MZ307414 delta_MZ307414
MZ306398 delta_MZ306398
MZ307130 delta_MZ307130
MZ471888.1 delta_MZ471888.1
MZ293585 delta_MZ293585
MZ293592 delta_MZ293592
MZ306040 delta_MZ306040
MZ471728.1 delta_MZ471728.1
MZ471834.1 delta_MZ471834.1
MZ306060 delta_MZ306060
MZ471731.1 delta_MZ471731.1
MZ298062 delta_MZ298062
MZ298060 delta_MZ298060
MZ303956 delta_MZ303956
MZ472061.1 delta_MZ472061.1
MZ303950 delta_MZ303950
MZ471672.1 delta_MZ471672.1
MZ295201 delta_MZ295201
MZ284870 delta_MZ284870
MZ280969 delta_MZ280969
MZ280978 delta_MZ280978
MZ280901 delta_MZ280901
MZ280907 delta_MZ280907
MZ281602 delta_MZ281602
MZ281626 delta_MZ281626
MZ291163 delta_MZ291163
MZ290386 delta_MZ290386
MZ281157 delta_MZ281157
MZ281178 delta_MZ281178
MZ281708 delta_MZ281708
MZ281604 delta_MZ281604
MZ291194 delta_MZ291194
MZ281103 delta_MZ281103
MZ281023 delta_MZ281023
MZ280773 delta_MZ280773
MZ280775 delta_MZ280775
MZ291087 delta_MZ291087
MZ291330 delta_MZ291330
MZ291125 delta_MZ291125
MZ278217 delta_MZ278217
MZ278425 delta_MZ278425
MZ280365 delta_MZ280365
MZ280434 delta_MZ280434
MZ280543 delta_MZ280543
MZ290293 delta_MZ290293
MZ291315 delta_MZ291315
MZ291300 delta_MZ291300
MZ280704 delta_MZ280704
MZ280820 delta_MZ280820
MZ280710 delta_MZ280710
MZ280390 delta_MZ280390
MZ278680 delta_MZ278680
MZ291023 delta_MZ291023
MZ279324 delta_MZ279324
MZ280416 delta_MZ280416
MZ280859 delta_MZ280859
MZ279291 delta_MZ279291
MZ278858 delta_MZ278858
MZ281965 delta_MZ281965
MZ278220 delta_MZ278220
MZ279711 delta_MZ279711
MZ278889 delta_MZ278889
MZ278908 delta_MZ278908
MZ278930 delta_MZ278930
MZ278898 delta_MZ278898
MZ282912 delta_MZ282912
MZ279561 delta_MZ279561
MZ281874 delta_MZ281874
MZ278820 delta_MZ278820
LC633760 delta_LC633760
MZ297238 delta_MZ297238
MZ315118 delta_MZ315118
MZ315123 delta_MZ315123
MZ315124 delta_MZ315124
MZ315132 delta_MZ315132
MZ319520 delta_MZ319520
MZ333389 delta_MZ333389
MZ333288 delta_MZ333288
MZ316427 delta_MZ316427
MZ333343 delta_MZ333343
MZ333345 delta_MZ333345
MZ319554 delta_MZ319554
MZ319720 delta_MZ319720
MZ319718 delta_MZ319718
MZ315368 delta_MZ315368
MZ315575 delta_MZ315575
MZ328892 delta_MZ328892
MZ315957 delta_MZ315957
MZ316266 delta_MZ316266
MZ316322 delta_MZ316322
MZ315889 delta_MZ315889
MZ315763 delta_MZ315763
MZ316073 delta_MZ316073
MZ318264 delta_MZ318264
MZ318262 delta_MZ318262
MZ318263 delta_MZ318263
MZ378596 delta_MZ378596
MZ320775 delta_MZ320775
MZ320799 delta_MZ320799
MZ320811 delta_MZ320811
MZ320630 delta_MZ320630
MZ320104 delta_MZ320104
MZ320681 delta_MZ320681
MZ320071 delta_MZ320071
MZ320012 delta_MZ320012
MZ319935 delta_MZ319935
MZ319964 delta_MZ319964
MZ319311 delta_MZ319311
MZ316538 delta_MZ316538
MZ322391 delta_MZ322391
MZ318377 delta_MZ318377
MZ318383 delta_MZ318383
MZ318161 delta_MZ318161
MZ318159 delta_MZ318159
MZ318160 delta_MZ318160
MZ318243 delta_MZ318243
MZ318202 delta_MZ318202
MZ318201 delta_MZ318201
MZ318244 delta_MZ318244
MZ318245 delta_MZ318245
MZ318246 delta_MZ318246
MZ318254 delta_MZ318254
MZ318255 delta_MZ318255
MZ318253 delta_MZ318253
MZ318268 delta_MZ318268
MZ318267 delta_MZ318267
MZ318271 delta_MZ318271
MZ318270 delta_MZ318270
MZ318277 delta_MZ318277
MZ318426 delta_MZ318426
MZ318279 delta_MZ318279
MZ318282 delta_MZ318282
MZ318283 delta_MZ318283
MZ318284 delta_MZ318284
MZ318358 delta_MZ318358
MZ318359 delta_MZ318359
MZ318357 delta_MZ318357
MZ318366 delta_MZ318366
MZ318365 delta_MZ318365
MZ318364 delta_MZ318364
MZ318378 delta_MZ318378
MZ314938 delta_MZ314938
MZ314937 delta_MZ314937
MZ314977 delta_MZ314977
MZ323773 delta_MZ323773
MZ342578 delta_MZ342578
MZ342568 delta_MZ342568
MZ341750 delta_MZ341750
MZ341748 delta_MZ341748
MZ341740 delta_MZ341740
MZ341739 delta_MZ341739
MZ341239 delta_MZ341239
MZ342509 delta_MZ342509
MZ341218 delta_MZ341218
MZ341234 delta_MZ341234
MZ341203 delta_MZ341203
MZ342394 delta_MZ342394
MZ342367 delta_MZ342367
MZ341708 delta_MZ341708
MZ342102 delta_MZ342102
MZ341714 delta_MZ341714
MZ342131 delta_MZ342131
MZ342268 delta_MZ342268
MZ341654 delta_MZ341654
MZ342016 delta_MZ342016
MZ342013 delta_MZ342013
MZ342015 delta_MZ342015
MZ341115 delta_MZ341115
MZ341114 delta_MZ341114
MZ342062 delta_MZ342062
MZ342282 delta_MZ342282
MZ342320 delta_MZ342320
MZ342293 delta_MZ342293
MZ341611 delta_MZ341611
MZ341539 delta_MZ341539
MZ341650 delta_MZ341650
MZ342240 delta_MZ342240
MZ341395 delta_MZ341395
MZ340999 delta_MZ340999
MZ341457 delta_MZ341457
MZ341452 delta_MZ341452
MZ337327 delta_MZ337327
MZ341469 delta_MZ341469
MZ342166 delta_MZ342166
MZ342169 delta_MZ342169
MZ341917 delta_MZ341917
MZ341307 delta_MZ341307
MZ331177 delta_MZ331177
MZ341272 delta_MZ341272
MZ341843 delta_MZ341843
MZ341841 delta_MZ341841
MZ341840 delta_MZ341840
MZ341320 delta_MZ341320
MZ334667 delta_MZ334667
MZ331109 delta_MZ331109
MZ331111 delta_MZ331111
MZ334629 delta_MZ334629
MZ434919.1 delta_MZ434919.1
MZ331196 delta_MZ331196
MZ331025 delta_MZ331025
MZ331867 delta_MZ331867
MZ343599 delta_MZ343599
MZ342600 delta_MZ342600
MZ349776 delta_MZ349776
MZ357809 delta_MZ357809
MZ357513 delta_MZ357513
MZ357535 delta_MZ357535
MZ357534 delta_MZ357534
MZ357599 delta_MZ357599
MZ357612 delta_MZ357612
MZ357594 delta_MZ357594
MZ357603 delta_MZ357603
MZ357617 delta_MZ357617
MZ352160 delta_MZ352160
MZ357781 delta_MZ357781
MZ357782 delta_MZ357782
MZ345895 delta_MZ345895
MZ357805 delta_MZ357805
MZ345913 delta_MZ345913
MZ349708 delta_MZ349708
MZ349625 delta_MZ349625
MZ357790 delta_MZ357790
MZ340582 delta_MZ340582
MZ355388 delta_MZ355388
MZ358743 delta_MZ358743
MZ358691 delta_MZ358691
MZ358692 delta_MZ358692
MZ358509 delta_MZ358509
MZ358920 delta_MZ358920
MZ358404 delta_MZ358404
MZ358409 delta_MZ358409
MZ358572 delta_MZ358572
MZ358574 delta_MZ358574
MZ358804 delta_MZ358804
MZ354854 delta_MZ354854
MZ354752 delta_MZ354752
MZ354827 delta_MZ354827
MZ354750 delta_MZ354750
MZ354703 delta_MZ354703
MZ354694 delta_MZ354694
MZ354766 delta_MZ354766
MZ354802 delta_MZ354802
MZ354732 delta_MZ354732
MZ354730 delta_MZ354730
MZ358511 delta_MZ358511
MZ358662 delta_MZ358662
MZ358660 delta_MZ358660
MZ358503 delta_MZ358503
MZ354360 delta_MZ354360
MZ354579 delta_MZ354579
MZ354179 delta_MZ354179
MZ354207 delta_MZ354207
MZ354628 delta_MZ354628
MZ343735 delta_MZ343735
MZ343660 delta_MZ343660
MZ354422 delta_MZ354422
MZ354412 delta_MZ354412
MZ343728 delta_MZ343728
MZ343619 delta_MZ343619
MZ358582 delta_MZ358582
MZ343682 delta_MZ343682
MZ358537 delta_MZ358537
MZ351805 delta_MZ351805
MZ358727 delta_MZ358727
MZ329228 delta_MZ329228
MZ351830 delta_MZ351830
MZ358736 delta_MZ358736
MZ358657 delta_MZ358657
MZ358396 delta_MZ358396
MZ342902 delta_MZ342902
MZ342814 delta_MZ342814
MZ342817 delta_MZ342817
MZ342887 delta_MZ342887
MZ342896 delta_MZ342896
MZ342897 delta_MZ342897
MZ342660 delta_MZ342660
MZ342748 delta_MZ342748
MZ342816 delta_MZ342816
MZ342592 delta_MZ342592
MZ342590 delta_MZ342590
MZ342593 delta_MZ342593
MZ342594 delta_MZ342594
MZ342595 delta_MZ342595
MZ342892 delta_MZ342892
MZ342898 delta_MZ342898
MZ340633 delta_MZ340633
MZ342580 delta_MZ342580
MZ342588 delta_MZ342588
MZ342589 delta_MZ342589
MZ342891 delta_MZ342891
MZ340587 delta_MZ340587
MZ340589 delta_MZ340589
MZ340625 delta_MZ340625
MZ340628 delta_MZ340628
MZ340629 delta_MZ340629
MZ340632 delta_MZ340632
MZ340634 delta_MZ340634
MZ340584 delta_MZ340584
MZ340588 delta_MZ340588
MZ340639 delta_MZ340639
MZ340635 delta_MZ340635
MZ340636 delta_MZ340636
MZ342888 delta_MZ342888
MZ342886 delta_MZ342886
MZ340580 delta_MZ340580
MZ340581 delta_MZ340581
MZ342959 delta_MZ342959
MZ343392 delta_MZ343392
MZ340546 delta_MZ340546
MZ340544 delta_MZ340544
MZ340500 delta_MZ340500
MZ340505 delta_MZ340505
MZ340531 delta_MZ340531
MZ325343 delta_MZ325343
MZ325379 delta_MZ325379
MZ325378 delta_MZ325378
MZ332525 delta_MZ332525
MZ332523 delta_MZ332523
MZ340526 delta_MZ340526
MZ325844 delta_MZ325844
MZ332526 delta_MZ332526
MZ332522 delta_MZ332522
MZ332517 delta_MZ332517
MZ340535 delta_MZ340535
MZ325380 delta_MZ325380
MZ325393 delta_MZ325393
MZ325421 delta_MZ325421
MZ325845 delta_MZ325845
MZ340527 delta_MZ340527
MZ340524 delta_MZ340524
MZ340522 delta_MZ340522
MZ340521 delta_MZ340521
MZ340513 delta_MZ340513
MZ340518 delta_MZ340518
MZ340510 delta_MZ340510
MZ415223.1 delta_MZ415223.1
MZ390874 delta_MZ390874
MZ401524.1 delta_MZ401524.1
MZ401530.1 delta_MZ401530.1
MZ477092.1 delta_MZ477092.1
MZ477072.1 delta_MZ477072.1
MZ477043.1 delta_MZ477043.1
MZ394442.1 delta_MZ394442.1
MZ394461.1 delta_MZ394461.1
MZ394488.1 delta_MZ394488.1
MZ394407.1 delta_MZ394407.1
MZ372213 delta_MZ372213
MZ372214 delta_MZ372214
MZ372200 delta_MZ372200
MZ372190 delta_MZ372190
MZ372167 delta_MZ372167
MZ372155 delta_MZ372155
MZ372161 delta_MZ372161
MZ372104 delta_MZ372104
MZ372475 delta_MZ372475
MZ372498 delta_MZ372498
MZ372546 delta_MZ372546
MZ372521 delta_MZ372521
MZ372522 delta_MZ372522
MZ372503 delta_MZ372503
MZ372355 delta_MZ372355
MZ372400 delta_MZ372400
MZ372401 delta_MZ372401
MZ372402 delta_MZ372402
MZ372325 delta_MZ372325
MZ372329 delta_MZ372329
MZ372271 delta_MZ372271
MZ372228 delta_MZ372228
MZ363213 delta_MZ363213
MZ362494 delta_MZ362494
MZ363646 delta_MZ363646
MZ360186 delta_MZ360186
MZ360281 delta_MZ360281
MZ360192 delta_MZ360192
MZ360181 delta_MZ360181
MZ363095 delta_MZ363095
MZ363030 delta_MZ363030
MZ362992 delta_MZ362992
MZ363028 delta_MZ363028
MZ363067 delta_MZ363067
MZ371365 delta_MZ371365
MZ371360 delta_MZ371360
MZ371364 delta_MZ371364
MZ371355 delta_MZ371355
MZ371356 delta_MZ371356
MZ373005 delta_MZ373005
MZ371280 delta_MZ371280
MZ371352 delta_MZ371352
MZ372933 delta_MZ372933
MZ372937 delta_MZ372937
MZ373008 delta_MZ373008
MZ372950 delta_MZ372950
MZ372961 delta_MZ372961
MZ372845 delta_MZ372845
MZ372968 delta_MZ372968
MZ372901 delta_MZ372901
MZ372900 delta_MZ372900
MZ372967 delta_MZ372967
MZ372905 delta_MZ372905
MZ372906 delta_MZ372906
MZ372904 delta_MZ372904
MZ372894 delta_MZ372894
MZ372846 delta_MZ372846
MZ372844 delta_MZ372844
MZ372838 delta_MZ372838
MZ372837 delta_MZ372837
MZ372798 delta_MZ372798
MZ372800 delta_MZ372800
MZ371271 delta_MZ371271
MZ371232 delta_MZ371232
MZ372797 delta_MZ372797
MZ372887 delta_MZ372887
MZ371325 delta_MZ371325
MZ371326 delta_MZ371326
MZ371791 delta_MZ371791
MZ372851 delta_MZ372851
MZ371793 delta_MZ371793
MZ372825 delta_MZ372825
MZ371192 delta_MZ371192
MZ372089 delta_MZ372089
MZ371768 delta_MZ371768
MZ371785 delta_MZ371785
MZ372051 delta_MZ372051
MZ372750 delta_MZ372750
MZ371146 delta_MZ371146
MZ372665 delta_MZ372665
MZ372666 delta_MZ372666
MZ372689 delta_MZ372689
MZ371289 delta_MZ371289
MZ371789 delta_MZ371789
MZ372023 delta_MZ372023
MZ372048 delta_MZ372048
MZ372017 delta_MZ372017
MZ371984 delta_MZ371984
MZ371991 delta_MZ371991
MZ371990 delta_MZ371990
MZ371983 delta_MZ371983
MZ371981 delta_MZ371981
MZ371706 delta_MZ371706
MZ371640 delta_MZ371640
MZ371625 delta_MZ371625
MZ371903 delta_MZ371903
MZ371602 delta_MZ371602
MZ371917 delta_MZ371917
MZ367637 delta_MZ367637
MZ371556 delta_MZ371556
MZ371873 delta_MZ371873
MZ371528 delta_MZ371528
MZ371524 delta_MZ371524
MZ371527 delta_MZ371527
MZ371839 delta_MZ371839
MZ371421 delta_MZ371421
MZ363912 delta_MZ363912
MZ367818 delta_MZ367818
MZ363893 delta_MZ363893
MZ367857 delta_MZ367857
MZ363894 delta_MZ363894
MZ363891 delta_MZ363891
MZ363892 delta_MZ363892
MZ363890 delta_MZ363890
MZ363889 delta_MZ363889
MZ363848 delta_MZ363848
MZ363847 delta_MZ363847
MZ363888 delta_MZ363888
MZ363887 delta_MZ363887
MZ363863 delta_MZ363863
MZ363864 delta_MZ363864
MZ363866 delta_MZ363866
MZ363865 delta_MZ363865
MZ363858 delta_MZ363858
MZ363856 delta_MZ363856
MZ363855 delta_MZ363855
MZ363859 delta_MZ363859
MZ363834 delta_MZ363834
MZ363910 delta_MZ363910
MZ363832 delta_MZ363832
MZ363833 delta_MZ363833
MZ363837 delta_MZ363837
MZ363836 delta_MZ363836
MZ363840 delta_MZ363840
MZ359845 delta_MZ359845
MZ359844 delta_MZ359844
MZ359846 delta_MZ359846
MZ359851 delta_MZ359851
MZ359875 delta_MZ359875
MZ359877 delta_MZ359877
MZ359880 delta_MZ359880
MZ359882 delta_MZ359882
MZ359878 delta_MZ359878
MZ359891 delta_MZ359891
MZ359841 delta_MZ359841
MZ359890 delta_MZ359890
MZ359892 delta_MZ359892
MZ359833 delta_MZ359833
MZ359832 delta_MZ359832
MZ359831 delta_MZ359831
MZ359834 delta_MZ359834
MZ359839 delta_MZ359839
MZ359840 delta_MZ359840
MZ359843 delta_MZ359843
MZ386247 delta_MZ386247
MZ386248 delta_MZ386248
MZ386269 delta_MZ386269
MZ386163 delta_MZ386163
MZ386265 delta_MZ386265
MZ386244 delta_MZ386244
MZ386343 delta_MZ386343
MZ386344 delta_MZ386344
MZ386570 delta_MZ386570
MZ386321 delta_MZ386321
MZ386382 delta_MZ386382
MZ386139 delta_MZ386139
MZ386334 delta_MZ386334
MZ386331 delta_MZ386331
MZ386533 delta_MZ386533
MZ386543 delta_MZ386543
MZ386562 delta_MZ386562
MZ392205 delta_MZ392205
MZ386540 delta_MZ386540
MZ386325 delta_MZ386325
MZ386408 delta_MZ386408
MZ386610 delta_MZ386610
MZ386450 delta_MZ386450
MZ386604 delta_MZ386604
MZ386583 delta_MZ386583
MZ386406 delta_MZ386406
MZ386473 delta_MZ386473
MZ386529 delta_MZ386529
MZ386409 delta_MZ386409
MZ392188 delta_MZ392188
MZ393539 delta_MZ393539
MZ389960 delta_MZ389960
MZ389950 delta_MZ389950
MZ382945 delta_MZ382945
MZ388383 delta_MZ388383
MZ385998 delta_MZ385998
MZ386008 delta_MZ386008
MZ382814 delta_MZ382814
