MW707647 lambda_MW707647
MZ496614.1 lambda_MZ496614.1
MZ496613.1 lambda_MZ496613.1
MZ500708.1 lambda_MZ500708.1
MZ505798.1 lambda_MZ505798.1
MZ512347.1 lambda_MZ512347.1
MZ512339.1 lambda_MZ512339.1
MZ512331.1 lambda_MZ512331.1
MZ512330.1 lambda_MZ512330.1
MZ520948.1 lambda_MZ520948.1
MZ520867.1 lambda_MZ520867.1
MZ533307.1 lambda_MZ533307.1
MZ536135.1 lambda_MZ536135.1
MZ533165.1 lambda_MZ533165.1
MZ535310.1 lambda_MZ535310.1
MZ530593.1 lambda_MZ530593.1
MZ530861.1 lambda_MZ530861.1
MZ538363.1 lambda_MZ538363.1
MZ538234.1 lambda_MZ538234.1
MZ538752.1 lambda_MZ538752.1
MZ539248.1 lambda_MZ539248.1
MZ539257.1 lambda_MZ539257.1
MZ538629.1 lambda_MZ538629.1
MZ538630.1 lambda_MZ538630.1
MZ538632.1 lambda_MZ538632.1
MZ554130.1 lambda_MZ554130.1
MZ554286.1 lambda_MZ554286.1
MZ555279.1 lambda_MZ555279.1
MZ555313.1 lambda_MZ555313.1
MZ555379.1 lambda_MZ555379.1
MZ555427.1 lambda_MZ555427.1
MZ555464.1 lambda_MZ555464.1
MZ560770.1 lambda_MZ560770.1
MZ558290.1 lambda_MZ558290.1
MZ558287.1 lambda_MZ558287.1
MZ558279.1 lambda_MZ558279.1
MZ558277.1 lambda_MZ558277.1
MZ570722.1 lambda_MZ570722.1
MZ570690.1 lambda_MZ570690.1
MZ570684.1 lambda_MZ570684.1
MZ570685.1 lambda_MZ570685.1
MZ571326.1 lambda_MZ571326.1
