MZ290450 iota_MZ290450
MZ455379.1 iota_MZ455379.1
MZ316121 iota_MZ316121
MZ013595 iota_MZ013595
MZ498368.1 iota_MZ498368.1
MZ342435 iota_MZ342435
MZ393532 iota_MZ393532
MW966011 iota_MW966011
MZ085171 iota_MZ085171
MZ161466 iota_MZ161466
MZ448226.1 iota_MZ448226.1
MW992824 iota_MW992824
MZ006425 iota_MZ006425
MZ317836 iota_MZ317836
MZ035744 iota_MZ035744
MZ059384 iota_MZ059384
MW944316 iota_MW944316
MW985751 iota_MW985751
MZ316337 iota_MZ316337
MZ070055 iota_MZ070055
MZ225695 iota_MZ225695
MW975018 iota_MW975018
MZ351872 iota_MZ351872
MZ142120 iota_MZ142120
MZ060117 iota_MZ060117
MZ295983 iota_MZ295983
MW915154 iota_MW915154
MZ075642 iota_MZ075642
MZ333399 iota_MZ333399
MZ156726 iota_MZ156726
MZ152487 iota_MZ152487
MZ450374.1 iota_MZ450374.1
MZ188941 iota_MZ188941
MW941453 iota_MW941453
MZ069465 iota_MZ069465
MZ538209.1 iota_MZ538209.1
MW966915 iota_MW966915
MZ085966 iota_MZ085966
MZ294327 iota_MZ294327
MZ271251 iota_MZ271251
MZ337130 iota_MZ337130
MZ201436 iota_MZ201436
MZ256274 iota_MZ256274
MW943597 iota_MW943597
MW987353 iota_MW987353
MZ061421 iota_MZ061421
MZ008871 iota_MZ008871
MZ083662 iota_MZ083662
MZ252106 iota_MZ252106
MZ256097 iota_MZ256097
MW930010 iota_MW930010
MW943998 iota_MW943998
MZ083054 iota_MZ083054
MW880439 iota_MW880439
MZ354184 iota_MZ354184
MZ354368 iota_MZ354368
MZ294288 iota_MZ294288
MW915290 iota_MW915290
MZ036610 iota_MZ036610
MZ181166 iota_MZ181166
MZ491774.1 iota_MZ491774.1
MZ059318 iota_MZ059318
MZ101133 iota_MZ101133
MZ003770 iota_MZ003770
MZ142563 iota_MZ142563
MZ215030 iota_MZ215030
MZ281002 iota_MZ281002
MZ032243 iota_MZ032243
MZ415533.1 iota_MZ415533.1
MZ455815.1 iota_MZ455815.1
MZ337141 iota_MZ337141
MZ319743 iota_MZ319743
MZ158908 iota_MZ158908
MZ319778 iota_MZ319778
MW891500 iota_MW891500
MZ060573 iota_MZ060573
MZ169378 iota_MZ169378
MZ228151 iota_MZ228151
MZ142899 iota_MZ142899
MZ163311 iota_MZ163311
MZ141690 iota_MZ141690
MZ228911 iota_MZ228911
MW994665 iota_MW994665
MZ500822.1 iota_MZ500822.1
MZ228792 iota_MZ228792
MZ257795 iota_MZ257795
MZ371301 iota_MZ371301
MW903861 iota_MW903861
MZ075738 iota_MZ075738
MZ085913 iota_MZ085913
MZ237627 iota_MZ237627
MZ354337 iota_MZ354337
MZ537889.1 iota_MZ537889.1
MZ083391 iota_MZ083391
MZ090257 iota_MZ090257
MZ340781 iota_MZ340781
MZ013288 iota_MZ013288
MZ228141 iota_MZ228141
MZ290881 iota_MZ290881
MZ280519 iota_MZ280519
MW891203 iota_MW891203
MZ258423 iota_MZ258423
MZ195253 iota_MZ195253
MZ237566 iota_MZ237566
MW959626 iota_MW959626
MZ086483 iota_MZ086483
MZ213060 iota_MZ213060
MZ267311 iota_MZ267311
MZ240367 iota_MZ240367
MZ034933 iota_MZ034933
MZ354507 iota_MZ354507
MZ210959 iota_MZ210959
MZ158903 iota_MZ158903
MZ131872 iota_MZ131872
MW835044 iota_MW835044
MZ009180 iota_MZ009180
MZ194003 iota_MZ194003
MW985856 iota_MW985856
MZ038230 iota_MZ038230
MZ378670 iota_MZ378670
MZ254145 iota_MZ254145
MZ257534 iota_MZ257534
MZ226132 iota_MZ226132
MZ283148 iota_MZ283148
MZ363191 iota_MZ363191
MZ245218 iota_MZ245218
MZ318814 iota_MZ318814
MZ159052 iota_MZ159052
MZ415147.1 iota_MZ415147.1
MZ211979 iota_MZ211979
MZ296523 iota_MZ296523
MZ214227 iota_MZ214227
MZ133069 iota_MZ133069
MW941551 iota_MW941551
MW943672 iota_MW943672
MZ181042 iota_MZ181042
MZ141128 iota_MZ141128
MZ296796 iota_MZ296796
MW880547 iota_MW880547
MZ154640 iota_MZ154640
MZ024420 iota_MZ024420
MW969265 iota_MW969265
MZ201903 iota_MZ201903
MZ308279 iota_MZ308279
MZ075576 iota_MZ075576
MZ023200 iota_MZ023200
MZ253390 iota_MZ253390
MZ260370 iota_MZ260370
MZ004895 iota_MZ004895
MZ217970 iota_MZ217970
MW890609 iota_MW890609
MW890734 iota_MW890734
MZ184064 iota_MZ184064
MZ337352 iota_MZ337352
MZ271637 iota_MZ271637
MZ011733 iota_MZ011733
MZ371538 iota_MZ371538
MW941657 iota_MW941657
MZ415884.1 iota_MZ415884.1
MZ011809 iota_MZ011809
MZ060036 iota_MZ060036
MZ179815 iota_MZ179815
MZ038537 iota_MZ038537
MZ253265 iota_MZ253265
MW965084 iota_MW965084
MZ187961 iota_MZ187961
MW915279 iota_MW915279
MW944947 iota_MW944947
MZ130970 iota_MZ130970
MZ376060 iota_MZ376060
MZ253193 iota_MZ253193
MZ296117 iota_MZ296117
MZ337170 iota_MZ337170
MZ337156 iota_MZ337156
MZ132057 iota_MZ132057
MZ164855 iota_MZ164855
MZ166764 iota_MZ166764
MZ368171 iota_MZ368171
MW990789 iota_MW990789
MZ214832 iota_MZ214832
MZ349742 iota_MZ349742
MZ172105 iota_MZ172105
MZ184830 iota_MZ184830
MW897509 iota_MW897509
MZ252962 iota_MZ252962
MZ164861 iota_MZ164861
MW968566 iota_MW968566
MZ074799 iota_MZ074799
MZ211947 iota_MZ211947
MW891226 iota_MW891226
MW988844 iota_MW988844
MZ195803 iota_MZ195803
MW976346 iota_MW976346
MZ260423 iota_MZ260423
MZ372760 iota_MZ372760
MZ186924 iota_MZ186924
MZ296565 iota_MZ296565
MZ354462 iota_MZ354462
MZ101084 iota_MZ101084
MW892125 iota_MW892125
MW966804 iota_MW966804
MW993989 iota_MW993989
MZ498931.1 iota_MZ498931.1
MZ240063 iota_MZ240063
MZ022359 iota_MZ022359
MZ226380 iota_MZ226380
MW985146 iota_MW985146
MZ253764 iota_MZ253764
MZ337213 iota_MZ337213
MZ034215 iota_MZ034215
MZ415192.1 iota_MZ415192.1
MZ337249 iota_MZ337249
MW994151 iota_MW994151
MZ083907 iota_MZ083907
MZ319012 iota_MZ319012
MZ493383.1 iota_MZ493383.1
MZ342459 iota_MZ342459
MZ284752 iota_MZ284752
MW903462 iota_MW903462
MZ291275 iota_MZ291275
MZ141805 iota_MZ141805
MZ201366 iota_MZ201366
MZ258970 iota_MZ258970
MZ006608 iota_MZ006608
MZ057989 iota_MZ057989
MZ083146 iota_MZ083146
MW901671 iota_MW901671
MZ341002 iota_MZ341002
MZ075311 iota_MZ075311
MZ344617 iota_MZ344617
MZ149858 iota_MZ149858
MZ070531 iota_MZ070531
MZ212533 iota_MZ212533
MZ024149 iota_MZ024149
MZ038299 iota_MZ038299
MZ238748 iota_MZ238748
MZ186385 iota_MZ186385
MZ023567 iota_MZ023567
MW887948 iota_MW887948
MZ085223 iota_MZ085223
MW891878 iota_MW891878
MZ390652 iota_MZ390652
MZ075366 iota_MZ075366
MW903945 iota_MW903945
MZ000497 iota_MZ000497
MZ195352 iota_MZ195352
MW990480 iota_MW990480
MZ131761 iota_MZ131761
MZ363237 iota_MZ363237
MW942936 iota_MW942936
MZ498474.1 iota_MZ498474.1
MZ086130 iota_MZ086130
MZ101465 iota_MZ101465
MZ074908 iota_MZ074908
MZ056382 iota_MZ056382
MZ212971 iota_MZ212971
MW942676 iota_MW942676
MZ535935.1 iota_MZ535935.1
MZ278506 iota_MZ278506
MZ086385 iota_MZ086385
MZ260076 iota_MZ260076
MZ035860 iota_MZ035860
MZ025623 iota_MZ025623
MZ227956 iota_MZ227956
MZ358679 iota_MZ358679
MZ401803.1 iota_MZ401803.1
MW904179 iota_MW904179
MW887952 iota_MW887952
MW834845 iota_MW834845
MZ566394.1 iota_MZ566394.1
MZ006428 iota_MZ006428
MZ306046 iota_MZ306046
MZ035033 iota_MZ035033
MZ059366 iota_MZ059366
MZ163754 iota_MZ163754
MZ062125 iota_MZ062125
MZ141816 iota_MZ141816
MW891307 iota_MW891307
MZ038778 iota_MZ038778
MZ072219 iota_MZ072219
MZ141904 iota_MZ141904
MZ035319 iota_MZ035319
MZ398807.1 iota_MZ398807.1
MW945121 iota_MW945121
MZ237988 iota_MZ237988
MZ152466 iota_MZ152466
MZ172067 iota_MZ172067
MZ236874 iota_MZ236874
MZ260524 iota_MZ260524
MW959977 iota_MW959977
MW986344 iota_MW986344
MZ015302 iota_MZ015302
MW966785 iota_MW966785
MZ059526 iota_MZ059526
MW944815 iota_MW944815
MW901728 iota_MW901728
MW987262 iota_MW987262
MZ228386 iota_MZ228386
MZ021024 iota_MZ021024
MZ030072 iota_MZ030072
MZ500852.1 iota_MZ500852.1
MZ368181 iota_MZ368181
MZ531530.1 iota_MZ531530.1
MW975112 iota_MW975112
MZ217789 iota_MZ217789
MZ071397 iota_MZ071397
MZ212249 iota_MZ212249
MZ186360 iota_MZ186360
MZ512771.1 iota_MZ512771.1
MZ049801 iota_MZ049801
MZ344609 iota_MZ344609
MW877777 iota_MW877777
MZ028898 iota_MZ028898
MZ101161 iota_MZ101161
MZ256384 iota_MZ256384
MZ401543.1 iota_MZ401543.1
MZ536105.1 iota_MZ536105.1
MW931316 iota_MW931316
MZ252547 iota_MZ252547
MZ065177 iota_MZ065177
MW985925 iota_MW985925
MZ059530 iota_MZ059530
MZ086315 iota_MZ086315
MW975149 iota_MW975149
MZ132505 iota_MZ132505
MZ179478 iota_MZ179478
MZ029969 iota_MZ029969
MZ061174 iota_MZ061174
MZ083600 iota_MZ083600
MZ455168.1 iota_MZ455168.1
MZ083191 iota_MZ083191
MW975507 iota_MW975507
MW931327 iota_MW931327
MZ308363 iota_MZ308363
MZ310903 iota_MZ310903
MZ211649 iota_MZ211649
MZ180103 iota_MZ180103
MZ030356 iota_MZ030356
MW891570 iota_MW891570
MZ415862.1 iota_MZ415862.1
MZ083031 iota_MZ083031
MW903570 iota_MW903570
MZ036658 iota_MZ036658
MW975750 iota_MW975750
MZ076455 iota_MZ076455
MZ244675 iota_MZ244675
MZ034866 iota_MZ034866
MZ316167 iota_MZ316167
MZ318751 iota_MZ318751
MZ371863 iota_MZ371863
MZ214615 iota_MZ214615
MZ499190.1 iota_MZ499190.1
MZ232779 iota_MZ232779
MZ331151 iota_MZ331151
MW903601 iota_MW903601
MZ225919 iota_MZ225919
MZ211495 iota_MZ211495
MZ253960 iota_MZ253960
MZ226200 iota_MZ226200
MZ321181 iota_MZ321181
MZ038899 iota_MZ038899
MZ163663 iota_MZ163663
MZ237266 iota_MZ237266
MZ193291 iota_MZ193291
MZ010981 iota_MZ010981
MZ194164 iota_MZ194164
MZ281097 iota_MZ281097
MZ070447 iota_MZ070447
MZ530262.1 iota_MZ530262.1
MW988980 iota_MW988980
MW942559 iota_MW942559
MZ058430 iota_MZ058430
MZ245226 iota_MZ245226
MZ061246 iota_MZ061246
MZ084844 iota_MZ084844
MZ257176 iota_MZ257176
MW891201 iota_MW891201
MW976322 iota_MW976322
MZ448977.1 iota_MZ448977.1
MW986487 iota_MW986487
MZ171478 iota_MZ171478
MW959831 iota_MW959831
MZ315127 iota_MZ315127
MW890555 iota_MW890555
MZ399025.1 iota_MZ399025.1
MZ214230 iota_MZ214230
MZ194860 iota_MZ194860
MZ402372.1 iota_MZ402372.1
MZ181709 iota_MZ181709
MZ511677.1 iota_MZ511677.1
MZ211333 iota_MZ211333
MZ290870 iota_MZ290870
MZ085868 iota_MZ085868
MZ180201 iota_MZ180201
MZ282227 iota_MZ282227
MZ021059 iota_MZ021059
MW901750 iota_MW901750
MZ015394 iota_MZ015394
MZ085981 iota_MZ085981
MZ242647 iota_MZ242647
MZ284597 iota_MZ284597
MW994356 iota_MW994356
MW932306 iota_MW932306
MZ180101 iota_MZ180101
MW986432 iota_MW986432
MZ061287 iota_MZ061287
MZ025587 iota_MZ025587
MZ512739.1 iota_MZ512739.1
MZ029890 iota_MZ029890
MZ286730 iota_MZ286730
MW944100 iota_MW944100
MZ239904 iota_MZ239904
MZ006053 iota_MZ006053
MZ038033 iota_MZ038033
MZ319516 iota_MZ319516
MZ056272 iota_MZ056272
MW944796 iota_MW944796
MZ045326 iota_MZ045326
MZ371323 iota_MZ371323
MZ038331 iota_MZ038331
MZ245080 iota_MZ245080
MW944967 iota_MW944967
MZ009429 iota_MZ009429
MZ145691 iota_MZ145691
MZ238265 iota_MZ238265
MZ090541 iota_MZ090541
MZ084494 iota_MZ084494
MZ258152 iota_MZ258152
MZ451529.1 iota_MZ451529.1
MZ035710 iota_MZ035710
MZ006854 iota_MZ006854
MZ217079 iota_MZ217079
MZ259327 iota_MZ259327
MW968673 iota_MW968673
MZ038905 iota_MZ038905
MZ071586 iota_MZ071586
MZ141768 iota_MZ141768
MZ185010 iota_MZ185010
MZ237610 iota_MZ237610
MZ311496 iota_MZ311496
MZ362887 iota_MZ362887
MZ061119 iota_MZ061119
MZ499185.1 iota_MZ499185.1
MZ036904 iota_MZ036904
MZ142340 iota_MZ142340
MZ245256 iota_MZ245256
MZ184784 iota_MZ184784
MZ236633 iota_MZ236633
MZ025527 iota_MZ025527
MW944095 iota_MW944095
MZ100297 iota_MZ100297
MZ210627 iota_MZ210627
MZ179788 iota_MZ179788
MZ258451 iota_MZ258451
MZ252510 iota_MZ252510
MW763133 iota_MW763133
MZ002613 iota_MZ002613
MW880589 iota_MW880589
MZ038038 iota_MZ038038
MZ058294 iota_MZ058294
MZ290498 iota_MZ290498
MZ393411.2 iota_MZ393411.2
MW987379 iota_MW987379
MZ006534 iota_MZ006534
MZ006593 iota_MZ006593
MZ232888 iota_MZ232888
MZ474177.1 iota_MZ474177.1
MZ319370 iota_MZ319370
MZ291259 iota_MZ291259
MZ372939 iota_MZ372939
MZ090396 iota_MZ090396
MZ358672 iota_MZ358672
MZ131009 iota_MZ131009
MZ038756 iota_MZ038756
MZ047027 iota_MZ047027
MZ166397 iota_MZ166397
MZ498604.1 iota_MZ498604.1
MZ023235 iota_MZ023235
MZ071964 iota_MZ071964
MZ131391 iota_MZ131391
MW809065 iota_MW809065
MW944329 iota_MW944329
MZ440626.1 iota_MZ440626.1
MZ056264 iota_MZ056264
MZ163519 iota_MZ163519
MW795987 iota_MW795987
MW892039 iota_MW892039
MZ006752 iota_MZ006752
MZ037136 iota_MZ037136
MZ101501 iota_MZ101501
MZ378653 iota_MZ378653
MW890642 iota_MW890642
MW944472 iota_MW944472
MZ358671 iota_MZ358671
MZ538783.1 iota_MZ538783.1
MW891043 iota_MW891043
MZ283293 iota_MZ283293
MZ164819 iota_MZ164819
MZ009348 iota_MZ009348
MZ101437 iota_MZ101437
MZ430675.1 iota_MZ430675.1
MZ029817 iota_MZ029817
MZ084590 iota_MZ084590
MZ239924 iota_MZ239924
MZ252994 iota_MZ252994
MZ084106 iota_MZ084106
MZ163753 iota_MZ163753
MZ007001 iota_MZ007001
MZ233496 iota_MZ233496
MZ194342 iota_MZ194342
MZ227972 iota_MZ227972
MW986311 iota_MW986311
MZ270802 iota_MZ270802
MZ258496 iota_MZ258496
MZ074729 iota_MZ074729
MZ011756 iota_MZ011756
MZ499905.1 iota_MZ499905.1
MZ153679 iota_MZ153679
MW938153 iota_MW938153
MZ084260 iota_MZ084260
MZ385562 iota_MZ385562
MZ022123 iota_MZ022123
MZ372132 iota_MZ372132
MZ068574 iota_MZ068574
MZ213994 iota_MZ213994
MZ253825 iota_MZ253825
MZ074841 iota_MZ074841
MZ212574 iota_MZ212574
MZ141948 iota_MZ141948
MZ283552 iota_MZ283552
MZ290261 iota_MZ290261
MZ258230 iota_MZ258230
MW892310 iota_MW892310
MZ006320 iota_MZ006320
MZ321130 iota_MZ321130
MZ451575.1 iota_MZ451575.1
MZ280753 iota_MZ280753
MZ153562 iota_MZ153562
MZ294694 iota_MZ294694
MZ071098 iota_MZ071098
