MN908947 B.1_MN908947
MZ470787.1 B.1.400_MZ470787.1
MW185055 D.2_MW185055
MZ410007.1 B.1.346_MZ410007.1
MW779231 B.1.2_MW779231
MT970986 D.2_MT970986
MW728411 B.1.2_MW728411
MW668515 B.1.2_MW668515
MW969049 B.1.429_MW969049
MW772112 B.1.596_MW772112
MW942329 B.1.516_MW942329
MZ410032.1 B.1.609_MZ410032.1
MT635328 B.1.210_MT635328
MW987844 B.1.575_MW987844
MW053311 B.1.385_MW053311
MT791868 B.1_MT791868
MT192773 B_MT192773
MW739355 B.1.2_MW739355
MT412299 B.1_MT412299
MW680597 B.1.2_MW680597
MW705005 B.1.234_MW705005
MW698030 B.1.2_MW698030
MT919775 B.1.1.63_MT919775
MW795943 B.1.2_MW795943
MW749561 B.1.1.519_MW749561
MZ246568 B.1.1.519_MZ246568
MW593545 B.1.1.291_MW593545
MT873430 B.1.390_MT873430
MW733641 B.1.311_MW733641
MW779925 B.1_MW779925
MW915382 B.1.517_MW915382
MW763293 B.1.2_MW763293
MZ024881 B.1.2_MZ024881
MW634400 B.1.517_MW634400
MW763683 B.1.1.33_MW763683
MW777987 B.1.561_MW777987
MW879603 B.1.2_MW879603
MW850641 B.1.2_MW850641
MW064632 B.1_MW064632
MW665737 B.1.2_MW665737
MT635405 B.1.143_MT635405
MW701316 B.1.1.418_MW701316
MW411907 B.1.2_MW411907
MW583318 B.1.564_MW583318
MZ380289 C.36_MZ380289
MT601283 B.1.36.16_MT601283
MZ444252.1 B.1.2_MZ444252.1
MW640305 C.31_MW640305
MW155244 D.2_MW155244
MZ433607.1 B.1.371_MZ433607.1
MW782925 B.1.2_MW782925
MW190420 B.1_MW190420
MW645815 B.1.453_MW645815
MW941214 B.1.2_MW941214
MW923458 B.1.2_MW923458
MT371038 B.1.332_MT371038
MW306340 B.1.399_MW306340
MW684592 B.1.596_MW684592
MW777252 B.1.2_MW777252
MW941254 B.1.429_MW941254
MZ490325.1 B.1.234_MZ490325.1
MW816433 B.1.2_MW816433
MW707358 B.1.517_MW707358
MZ380272 C.36.3_MZ380272
MW666862 B.1.2_MW666862
MT632583 A.1_MT632583
MW808756 B.1.596_MW808756
MW813197 B.1.568_MW813197
MW208022 B.1.369_MW208022
MW673678 B.1.2_MW673678
MZ434733.1 B.1.240_MZ434733.1
MZ086503 B.1.1.519_MZ086503
MW420280 B.1.232_MW420280
MZ000999 B.1.429_MZ000999
MT451211 B.1.23_MT451211
MT972622 D.2_MT972622
MW306667 B.1.9_MW306667
MW644176 B.1.2_MW644176
MW667509 B.1.234_MW667509
MW190973 A.5_MW190973
MW490856 B.1.2_MW490856
MT997994 B.1.595_MT997994
MW706473 B.1.596_MW706473
MW994032 B.1.234_MW994032
MT434816 B.1_MT434816
MW813783 B.1.596_MW813783
MW813525 B.1.311_MW813525
MW064354 A_MW064354
MZ376888 B.1.2_MZ376888
MT786833 B.1.609_MT786833
MW708094 B.1.577_MW708094
MW938678 B.1.2_MW938678
MW759620 B.1.2_MW759620
MW944516 B.1.311_MW944516
MW280153 B.1.509_MW280153
MW645519 B.1.243_MW645519
MW891179 B.1.575_MW891179
MW634658 B.1.243_MW634658
MW941038 B.1.596_MW941038
MW731043 B.1.2_MW731043
MW734447 B.1.2_MW734447
MT821766 B.1.391_MT821766
MW707891 B.1.2_MW707891
MT873145 B.1_MT873145
MW154726 D.2_MW154726
MW156010 D.2_MW156010
MZ504022.1 B.1.289_MZ504022.1
MW778580 B.1.2_MW778580
MT940504 B.1.428.1_MT940504
MW702301 B.1.561_MW702301
MW420497 B.1.426_MW420497
MT252708 A.1_MT252708
MW155197 D.2_MW155197
MW851423 B.1.2_MW851423
MW545282 B.1.2_MW545282
MZ008681 B.1.400_MZ008681
MW777154 B.1_MW777154
MZ163565 B.1.1.519_MZ163565
MT470140 B.1_MT470140
MZ233939 B.1.2_MZ233939
MW779366 B.1.1.519_MW779366
MW065346 B.1_MW065346
MZ246508 B.1.1.519_MZ246508
MW904191 B.1.243_MW904191
MT972471 D.2_MT972471
MW586746 B.1.2_MW586746
MW467497 B.1_MW467497
MW692956 B.1.2_MW692956
MZ259004 B.1.2_MZ259004
MT470132 B.1.356_MT470132
MW973034 B.1.232_MW973034
MW518173 B.1.1.222_MW518173
MW181721 B.1.1_MW181721
MT451615 B.1.1.33_MT451615
MZ238965 C.16_MZ238965
MW205987 B.1.503_MW205987
MW793085 B.1.596_MW793085
MW902831 B.1.2_MW902831
MT419842 B_MT419842
MW065110 A.1_MW065110
MW987700 B.1.2_MW987700
MW406536 B.1.2_MW406536
MW851017 B.1.404_MW851017
MT969813 D.2_MT969813
MW993058 B.1.2_MW993058
MZ434721.1 B.1.2_MZ434721.1
MZ412036.1 B.1.160.16_MZ412036.1
MZ433813.1 B.1.240_MZ433813.1
MW725694 B.1.575_MW725694
MW931073 B.1.243_MW931073
MW635273 B.1.1.222_MW635273
MW731268 B.1.2_MW731268
MZ373384 B.1_MZ373384
MT325614 B.1_MT325614
MW184535 D.2_MW184535
MW943948 B.1.1.348_MW943948
MW707465 B.1.596_MW707465
MT973201 D.2_MT973201
MT740479 B.1.1.25_MT740479
MW779121 B.1.2_MW779121
MW941558 B.1.2_MW941558
MT632947 A.1_MT632947
MW065113 B.1_MW065113
MW763871 B.1.2_MW763871
MT951952 B.1.1.33_MT951952
MW067690 B.1.1.231_MW067690
MZ083622 B.1_MZ083622
MW904449 B.1.2_MW904449
MT246455 A.1_MT246455
MW714593 B.1.2_MW714593
MW942032 B.1.2_MW942032
MW923430 B.1.1.186_MW923430
MW943243 B.1.2_MW943243
MW064373 B.1_MW064373
MZ490338.1 B.1.2_MZ490338.1
MW863043 B.1.2_MW863043
MT731663 B.1.1.59_MT731663
MW972879 B.1.1.222_MW972879
MW482931 B.1.2_MW482931
MW778994 B.1.2_MW778994
MW943272 B.1.243_MW943272
MW638628 B.1.2_MW638628
MW184536 D.2_MW184536
MW959188 B.1.2_MW959188
MT997766 B.1.595_MT997766
MW942373 B.1.2_MW942373
MT873473 B.1_MT873473
MW734291 B.1.2_MW734291
MW942536 B.1.2_MW942536
MW776966 B.1.2_MW776966
MW592769 B.1.564_MW592769
MW825831 B.1.1.519_MW825831
MW191193 B.1.1_MW191193
MW640909 B.1.2_MW640909
MW035529 B.1.564_MW035529
MW564769 B.1.595_MW564769
MW749644 B.1.1.519_MW749644
MW705291 B.1.2_MW705291
MW709132 B.1.596_MW709132
MW975209 B.1.2_MW975209
MW989751 B.1.1.519_MW989751
MW809237 B.1.1.226_MW809237
MW680541 B.1.2_MW680541
MW795908 B.1.2_MW795908
MT971680 D.2_MT971680
MZ202153 B.1.2_MZ202153
MT528599 B.1_MT528599
MT970948 D.2_MT970948
MW928317 B.1.2_MW928317
MW523862 B.1.2_MW523862
MT326185 B.1.371_MT326185
MT628141 B.1.320_MT628141
MW943073 B.1.2_MW943073
MW734130 B.1.243_MW734130
MW697765 B.1.433_MW697765
MW332857 B.1.564_MW332857
MW796094 B.1.1.519_MW796094
MT821658 B.1.1.26_MT821658
MW705443 B.1.2_MW705443
MW834700 B.1.2_MW834700
MW086595 B.1_MW086595
MW166073 B.1.1.180_MW166073
MT451391 B.1_MT451391
MW943163 B.1.429_MW943163
MW728607 B.1.2_MW728607
MW636910 B.1.596_MW636910
MZ082532 B.1.1.519_MZ082532
MT627761 B.1.371_MT627761
MZ415332.1 B.1.160_MZ415332.1
MT811478 B.1_MT811478
MT467260 B.1_MT467260
MT970822 D.2_MT970822
MT811476 B.1_MT811476
MW681141 B.1.2_MW681141
MW863055 B.1.1.192_MW863055
MW731079 B.1.265_MW731079
MZ232097 B.1.1.519_MZ232097
MW571203 B.1.110.3_MW571203
MW738823 B.1.355_MW738823
MW706233 B.1.1.519_MW706233
MW643114 B.1_MW643114
MZ089882 B.1.2_MZ089882
MW719711 B.1.2_MW719711
MT972288 D.3_MT972288
MW153937 D.2_MW153937
MW943469 B.1.243_MW943469
MW192070 B.1.565_MW192070
MW799777 B.1_MW799777
MW550150 B.1.2_MW550150
MW929716 B.1_MW929716
MZ500054.1 B.1.2_MZ500054.1
MT971130 D.2_MT971130
MW403664 B.1.2_MW403664
MT846470 B.1.595_MT846470
MW065018 B.1_MW065018
MW779079 B.1.2_MW779079
MZ433534.1 B.1_MZ433534.1
MW986863 R.1_MW986863
MT451144 B.1.319_MT451144
MT293161 B.1_MT293161
MW891331 B.1.243_MW891331
MW969311 B.1.1.519_MW969311
MT971663 D.2_MT971663
MZ203424 B.1.1.519_MZ203424
MW669541 B.1.2_MW669541
MW365064 B.1_MW365064
MW779577 B.1.2_MW779577
MW783317 B.1.1.519_MW783317
MZ471774.1 B.1.582_MZ471774.1
MW332533 AE.6_MW332533
MW599657 B.1.375_MW599657
MZ235421 B.1.596_MZ235421
MW750011 B.1.517_MW750011
MW153249 D.2_MW153249
MW830964 B.1.311_MW830964
MW433762 B.1.234_MW433762
MW626694 B.1.234_MW626694
MW596045 B.1.2_MW596045
MT969491 D.2_MT969491
MZ084373 B.1.1.519_MZ084373
MW808695 B.1.596_MW808695
MW629196 B.1.2_MW629196
MZ126799 A.23.1_MZ126799
MW808303 B.1.2_MW808303
MW636541 B.1.596_MW636541
MW635327 B.1.588_MW635327
MW868550 B.1.1.519_MW868550
MW942459 B.1.596_MW942459
MW564716 B.1.232_MW564716
MW868487 B.1.2_MW868487
MT873210 B.1.268_MT873210
MW880171 B.1.1.519_MW880171
MW967106 B.1.2_MW967106
MW035974 B.1_MW035974
MZ415240.1 B.1.1.39_MZ415240.1
MZ360552 B.1.2_MZ360552
MW642592 B.1.596_MW642592
MW708899 B.1.349_MW708899
MW783198 B.1.2_MW783198
MW891056 B.1.243_MW891056
MZ060559 B.1.1.519_MZ060559
MZ492812.1 B.1.1.291_MZ492812.1
MT971060 D.2_MT971060
MW191327 B.1_MW191327
MW667272 B.1.448_MW667272
MW545471 B.1_MW545471
MW277058 D.2_MW277058
MW246605 B.1.1.453_MW246605
MW783102 B.1.2_MW783102
MW752071 B.1.110.3_MW752071
MW863729 B.1.234_MW863729
MW777027 B.1.1.519_MW777027
MW709168 B.1.234_MW709168
MZ500683.1 R.1_MZ500683.1
MT326135 A.1_MT326135
MW733654 B.1.433_MW733654
MZ039286 B.1.2_MZ039286
MZ497199.1 B.1.369_MZ497199.1
MW781365 B.1_MW781365
MT325638 B.1_MT325638
MZ258985 B.1.596_MZ258985
MZ307190 A.2.5_MZ307190
MW190344 B.1.1.61_MW190344
MW974149 B.1.2_MW974149
MZ444493.1 B.1.234_MZ444493.1
MW792964 B.1.2_MW792964
MT259237 A.1_MT259237
MZ000403 R.1_MZ000403
MW929594 B.1.265_MW929594
MZ500728.1 B.1.265_MZ500728.1
MW922944 B.1_MW922944
MW482878 B.1.1.186_MW482878
MZ489921.1 B.1.2_MZ489921.1
MW766737 B.1.2_MW766737
MT971608 D.2_MT971608
MW705715 B.1.568_MW705715
MT971913 D.2_MT971913
MW879156 B.1.1.519_MW879156
MW888190 B.1.2_MW888190
MW816561 B.1_MW816561
MW731013 B.1.2_MW731013
MW941538 B.1.2_MW941538
MW406521 B.1.2_MW406521
MW851393 B.1.588_MW851393
MW942019 B.1.2_MW942019
MT451169 B.1.2_MT451169
MT633046 A.1_MT633046
MT971201 D.2_MT971201
MW153235 D.2_MW153235
MW780847 B.1.409_MW780847
MT913014 B.1.1.25_MT913014
MW937863 B.1.558_MW937863
MZ449051.1 B.1.517_MZ449051.1
MW564894 B.1.2_MW564894
MW067737 B.1.586_MW067737
MW700525 B.1.2_MW700525
MW749529 B.1.517_MW749529
MW880309 B.1.596_MW880309
MT632796 B.1_MT632796
MW733271 B.1.2_MW733271
MW925607 B.1.2_MW925607
MW190261 A.1_MW190261
MT827842 B.1.314_MT827842
MW935748 B.1.2_MW935748
MW973324 B.1.265_MW973324
MT632967 B.1.371_MT632967
MW991111 B.1.1.519_MW991111
MZ085680 B.1.1.519_MZ085680
MW523865 B.1.2_MW523865
MW902845 B.1.2_MW902845
MT972541 D.2_MT972541
MW205997 B.1.2_MW205997
MW880574 B.1.623_MW880574
MW777172 B.1.2_MW777172
MZ373713 B.1.400_MZ373713
MZ310352 B.1.1.519_MZ310352
MW778631 B.1.2_MW778631
MT510725 B.1_MT510725
MW646611 B.1_MW646611
MW190536 B.1.1.61_MW190536
MW636957 B.1.2_MW636957
MZ156947 B.1.1.519_MZ156947
MT834652 B.1_MT834652
MW882027 B.1.2_MW882027
MW793617 B.1.564_MW793617
MW777262 B.1.2_MW777262
MW681315 B.1.1.519_MW681315
MZ332205 B.1.369_MZ332205
MT873086 B.1_MT873086
MZ233401 B.1.1.519_MZ233401
MW992787 R.1_MW992787
MW665598 B.1.1.519_MW665598
MW266947 C.35_MW266947
MW704885 B.1.596_MW704885
MW728705 B.1.517_MW728705
MT345802 B.1_MT345802
MT252699 A.1_MT252699
MT326100 A.1_MT326100
MW990319 B.1.1.207_MW990319
MW645977 B.1.1.337_MW645977
MW667373 B.1.2_MW667373
MW941197 B.1.2_MW941197
MT886289 B.1_MT886289
MZ470814.1 B.1.2_MZ470814.1
MT326070 B.1_MT326070
MW778854 B.1.2_MW778854
MZ444533.1 B.1_MZ444533.1
MW521687 B.1.1.192_MW521687
MW190783 B.1.595_MW190783
MZ170457 B.1.1.519_MZ170457
MT263410 A.3_MT263410
MW734436 B.1.2_MW734436
MZ433637.1 B.1.240_MZ433637.1
MW521698 B.1_MW521698
MZ076834 B.1.596_MZ076834
MW666586 B.1.2_MW666586
MZ082798 B.1.2_MZ082798
MT973091 D.2_MT973091
MW190375 A.1_MW190375
MW969414 B.1.429_MW969414
MT525950 B.1_MT525950
MW635349 B.1.243_MW635349
MW947580 B.1.2_MW947580
MW925243 B.1.234_MW925243
MT873089 B.1_MT873089
MW185077 D.2_MW185077
MT450913 B.1_MT450913
MT758193 B.1_MT758193
MW064558 B.1.595_MW064558
MW634897 B.1.232_MW634897
MW850999 B.1.1.519_MW850999
MW036020 B.1.1.132_MW036020
MW640834 B.1.298_MW640834
MW925336 B.1.234_MW925336
MT253707 B_MT253707
MW491018 B.1.2_MW491018
MZ240119 B.1.2_MZ240119
MZ499312.1 B.1.517_MZ499312.1
MW420410 B.1.426_MW420410
MW749495 B.1.2_MW749495
MW903036 B.1.2_MW903036
MW725626 B.1.2_MW725626
MZ518193.1 B.1.400_MZ518193.1
MW184972 D.2_MW184972
MZ373686 B.1.2_MZ373686
MW883304 B.1_MW883304
MW848131 B.1.1.348_MW848131
MT439258 B.1_MT439258
MZ009104 B.1.2_MZ009104
MW868666 B.1.596_MW868666
MW733289 B.1.596_MW733289
MZ083137 B.1.2_MZ083137
MZ494368.1 B.1.1.26_MZ494368.1
MW728735 B.1.1.186_MW728735
MW420235 B.1.554_MW420235
MW190718 B.1.1_MW190718
MW671649 B.1.2_MW671649
MW349075 B.1_MW349075
MZ434719.1 B.1.541_MZ434719.1
MW206186 B.1.426_MW206186
MW749569 B.1.596_MW749569
MW585910 B.1.2_MW585910
MZ415858.1 B.1.1_MZ415858.1
MW994057 B.1_MW994057
MT764178 A.3_MT764178
MW880312 B.1.2_MW880312
MW697769 B.1.2_MW697769
MZ571526.1 B.1.2_MZ571526.1
MZ140577 B.1.1.519_MZ140577
MW892146 B.1.575_MW892146
MW467468 B_MW467468
MW156772 D.2_MW156772
MZ376191 B.1_MZ376191
MT973257 D.2_MT973257
MW269896 B.1_MW269896
MZ499414.1 B.1.2_MZ499414.1
MT371009 B.1_MT371009
MZ212240 B.1.2_MZ212240
MW966978 B.1.2_MW966978
MW521755 B.1.453_MW521755
MZ002054 B.1.2_MZ002054
MW782926 B.1.2_MW782926
MW153149 D.2_MW153149
MZ075658 B.1.1.519_MZ075658
MW731345 B.1.2_MW731345
MW707819 B.1.551_MW707819
MT517429 B.1.1_MT517429
MT993877 B.1.436_MT993877
MW403690 B.1.2_MW403690
MW666770 B.1.2_MW666770
MW669407 B.1.2_MW669407
MW206105 B.1.426_MW206105
MW763947 B.1.2_MW763947
MW974903 B.1.2_MW974903
MZ131308 B.1.623_MZ131308
MW375730 B.1_MW375730
MW644063 B.1.3_MW644063
MW777338 B.1.2_MW777338
MW191051 B.1_MW191051
MW897399 B.1.574_MW897399
MW640033 B.1.234_MW640033
MZ023664 B.1.568_MZ023664
MW923885 B.1.2_MW923885
MW154021 D.2_MW154021
MT450938 B.40_MT450938
MZ237072 B.1.575_MZ237072
MW206480 B.1_MW206480
MT969883 D.2_MT969883
MW968338 B.1.311_MW968338
MW471399 B.1.382_MW471399
MW720387 B.1.2_MW720387
MW931258 B.1.612_MW931258
MW938217 R.1_MW938217
MZ442419.1 B.1.234_MZ442419.1
MT252798 A.1_MT252798
MT385467 B.1_MT385467
MW680607 B.1.110.3_MW680607
MT627240 A.1_MT627240
MW190754 A.3_MW190754
MW897406 B.1.574_MW897406
MT970687 D.2_MT970687
MZ504136.1 B.1.320_MZ504136.1
MW974572 B.1.2_MW974572
MW031049 B.1.564_MW031049
MT370858 B.1_MT370858
MW799678 B.1.2_MW799678
MW153193 D.2_MW153193
MW783304 B.1.2_MW783304
MW799644 B.1.402_MW799644
MZ349386 B.1.1.519_MZ349386
MW154510 D.2_MW154510
MW626812 B.1.2_MW626812
MW154146 D.2_MW154146
MZ554245.1 AY.3_MZ554245.1
MZ373723 B.1.1_MZ373723
MW064825 B.1_MW064825
MW777597 B.1.234_MW777597
MW945240 B.1.1.207_MW945240
MW945183 B.1.2_MW945183
MW777887 B.1.1.348_MW777887
MZ072736 B.1.1.519_MZ072736
MW942462 B.1.517_MW942462
MZ506504.1 B.1.1.304_MZ506504.1
MW752029 B.1.2_MW752029
MW763912 B.1.1.519_MW763912
MW772084 B.1.2_MW772084
MW706811 B.1.2_MW706811
MW968378 B.1.1.519_MW968378
MZ332276 B.1_MZ332276
MZ436601.1 B.1.234_MZ436601.1
MW706481 B.1.2_MW706481
MW783355 B.1.2_MW783355
MW944619 B.1.596_MW944619
MW779692 B.1.2_MW779692
MW672668 A.2_MW672668
MZ260358 B.1.2_MZ260358
MW321184 D.2_MW321184
MT972741 D.2_MT972741
MW822026 B.1.1.519_MW822026
MW586444 B.1.111_MW586444
MW206073 B.1.426_MW206073
MW276593 B.1.243_MW276593
MZ492355.1 B.1.1.519_MZ492355.1
MW596062 B.1.2_MW596062
MW621468 B.1.2_MW621468
MZ462366.1 B.1_MZ462366.1
MT252777 A.1_MT252777
MT952701 B.1_MT952701
MW643680 B.1.2_MW643680
MW778082 B.1.2_MW778082
MW976931 B.1.108_MW976931
MZ295019 B.1.2_MZ295019
MZ500171.1 B.1.2_MZ500171.1
MW925492 B.1.2_MW925492
MW040678 B.1.1_MW040678
MW696512 B.1.2_MW696512
MW855787 B.1.2_MW855787
MW487281 B.1_MW487281
MZ388272 B.1.1.519_MZ388272
MW365136 B.1.110_MW365136
MW634511 B.1.2_MW634511
MW816962 B.1.2_MW816962
MZ165937 R.1_MZ165937
MW206020 B.1.426_MW206020
MW837361 B.1.311_MW837361
MT439315 B.1_MT439315
MT370961 B.1_MT370961
MW518836 B.1.2_MW518836
MZ376822 B.1.1.519_MZ376822
MZ500215.1 B.1.2_MZ500215.1
MZ028704 B.1.1.519_MZ028704
MZ489886.1 B.1.2_MZ489886.1
MW495993 B.1_MW495993
MW156630 D.2_MW156630
MZ378096 B.1.1.517_MZ378096
MZ442445.1 B.1.400_MZ442445.1
MW734724 B.1.2_MW734724
MT811492 B.1_MT811492
MW782870 B.1.2_MW782870
MZ449203.1 B.1.400_MZ449203.1
MW065121 A.1_MW065121
MW701236 B.1.311_MW701236
MT703998 B.1.332_MT703998
MT326088 A.1_MT326088
MZ471726.1 B.1.243_MZ471726.1
MW519827 B.1.2_MW519827
MW871100 B.1.2_MW871100
MW586515 B.1.2_MW586515
MW808626 B.1.2_MW808626
MZ158765 B.1.623_MZ158765
MW674815 B.11_MW674815
MZ212959 B.1.596_MZ212959
MT969738 D.2_MT969738
MW065204 A.1_MW065204
MW665753 B.1.2_MW665753
MT970569 D.2_MT970569
MW566908 B.1.499.1_MW566908
MW944985 B.1_MW944985
MW669106 B.1.577_MW669106
MW778630 B.1.243_MW778630
MW766604 B.1.2_MW766604
MZ268850 B.1.36.8_MZ268850
MT412269 B.1.38_MT412269
MT451192 B.1_MT451192
MW892113 B.1.575_MW892113
MW941131 B.1.429_MW941131
MZ471962.1 B.1.400_MZ471962.1
MW868813 B.1.111_MW868813
MW549952 B.1.36.31_MW549952
MW735592 B.1.609_MW735592
MW155899 D.2_MW155899
MZ499470.1 B.1.2_MZ499470.1
MW708944 B.1.1.207_MW708944
MW562048 B.1.2_MW562048
MW870163 B.1.2_MW870163
MW638669 B.1.243_MW638669
MW942836 B.1_MW942836
MZ571530.1 B.1.2_MZ571530.1
MW154323 D.2_MW154323
MW268726 B.1.1.432_MW268726
MT750356 B.1_MT750356
MZ450631.1 B.1_MZ450631.1
MW928272 B.1.2_MW928272
MZ497530.1 B.1.396_MZ497530.1
MW666670 B.1.234_MW666670
MW669266 B.1.243_MW669266
MW733947 B.1.2_MW733947
MT326084 B.1.1_MT326084
MW521433 B.1_MW521433
MZ232019 B.1.551_MZ232019
MW804806 B.1.400_MW804806
MW519787 B.1.2_MW519787
MZ240027 B.1.429_MZ240027
MW660986 B.1.1.362_MW660986
MW870900 B.1.2_MW870900
MZ290702 B.1.623_MZ290702
MZ172360 B.1.2_MZ172360
MW697028 B.1.596_MW697028
MW941406 B.1.232_MW941406
MW157085 D.2_MW157085
MW708623 B.1.243_MW708623
MW984731 B.1.110.3_MW984731
MT358637 B.1.195_MT358637
MW154940 D.2_MW154940
MZ471707.1 B.1.1.519_MZ471707.1
MW454457 B.1.2_MW454457
MW838256 B.1.1.222_MW838256
MT451630 B.1.23_MT451630
MT450993 B_MT450993
MW974097 B.1.1.222_MW974097
MW586309 B.1.1.304_MW586309
MW975369 B.1_MW975369
MW668604 B.1.1.519_MW668604
MW987654 B.1.2_MW987654
MW979412 B.1.568_MW979412
MW928163 B.1.265_MW928163
MT385439 B.1_MT385439
MW667165 B.1.375_MW667165
MW944348 B.1.1.519_MW944348
MZ261583 B.1_MZ261583
MT370968 B.1.319_MT370968
MW593180 A.3_MW593180
MW190217 B.1.336_MW190217
MW053961 B.1.515_MW053961
MT374115 B.1_MT374115
MW851028 B.1.2_MW851028
MT973030 D.2_MT973030
MW959821 B.1.429_MW959821
MW023453 B.1.1.180_MW023453
MW767354 B.1.2_MW767354
MW202221 B.1.612_MW202221
MW796029 B.1.2_MW796029
MT952626 B.1.503_MT952626
MW021470 B.1.507_MW021470
MW735501 B.1.1.222_MW735501
MW731249 B.1.2_MW731249
MT451100 B.1_MT451100
MW708889 B.1.2_MW708889
MW968593 B.1_MW968593
MZ305401 B.1.2_MZ305401
MW738802 B.1.2_MW738802
MZ373354 B.1.1_MZ373354
MW772032 B.1.2_MW772032
MW923116 B.1.243_MW923116
MZ328045 B.1.36_MZ328045
MZ206596 B.1.1.519_MZ206596
MT371007 B.1_MT371007
MW155188 D.2_MW155188
MW697800 B.1.2_MW697800
MW815774 B.1.546_MW815774
MW643893 B.1.423_MW643893
MZ141007 B.1.1.312_MZ141007
MW958019 B.1.110.3_MW958019
MW750063 B.1.517_MW750063
MZ453656.1 B.1.1.519_MZ453656.1
MW777043 B.1.517_MW777043
MZ497544.1 B.1.265_MZ497544.1
MZ232077 B.1.596_MZ232077
MW805151 B.1.2_MW805151
MT450914 B.1_MT450914
MW153129 D.2_MW153129
MT412238 A.1_MT412238
MT447176 A.6_MT447176
MW851512 B.1.2_MW851512
MZ412318.1 B.1.1.1_MZ412318.1
MT973208 D.2_MT973208
MW935472 B.1.2_MW935472
MW890661 B.1.2_MW890661
MZ500736.1 B.1.2_MZ500736.1
MZ295156 B.1.413_MZ295156
MW406668 B.1.2_MW406668
MT811416 B.1.243_MT811416
MZ499721.1 B.1.2_MZ499721.1
MZ349378 B.1.2_MZ349378
MW942830 B.1.2_MW942830
MW947522 B.1.234_MW947522
MW944484 B.1.575_MW944484
MW736110 B.1.572_MW736110
MZ190236 B.1.1.222_MZ190236
MW454725 B.1.1.304_MW454725
MZ167611 B.1.1.519_MZ167611
MZ498497.1 B.1.2_MZ498497.1
MW564756 B.1.399_MW564756
MW731092 B.1.2_MW731092
MW987755 B.1.2_MW987755
MT967974 B.1.382_MT967974
MT566435 B.1.1.25_MT566435
MW669110 B.1.2_MW669110
MW482942 B.1.2_MW482942
MW738097 B.1.2_MW738097
MT971926 D.2_MT971926
MW638397 B.1.2_MW638397
MT350256 B.1.1_MT350256
MW668902 B.1.2_MW668902
MW777584 B.1.2_MW777584
MW793341 B.1.2_MW793341
MZ415775.1 B.1.36.35_MZ415775.1
MW755777 B.1.2_MW755777
MW365253 B.1_MW365253
MW800834 B.1.371_MW800834
MW153114 D.2_MW153114
MW277576 D.2_MW277576
MW306446 B.1.402_MW306446
MW702517 B.1.2_MW702517
MW766451 B.1.577_MW766451
MW545495 B.1.1_MW545495
MW877000 B.1.558_MW877000
MZ260489 B.1.575_MZ260489
MW701219 B.1.311_MW701219
MZ258108 B.1.110.3_MZ258108
MW191151 A.1_MW191151
MW691226 B.1.36_MW691226
MW903048 B.1.311_MW903048
MW863830 B.1.521_MW863830
MW583291 W.1_MW583291
MW741608 B.1.596_MW741608
MZ239481 B.1.1.519_MZ239481
MW993890 B.1.375_MW993890
MZ228778 B.1.623_MZ228778
MT582460 B.1_MT582460
MW855687 B.1.2_MW855687
