"Viral_species","NCBI_taxid","Region_feature_class","Beginning","End","locus_tag","db_xref","gene","product","protein_id","codon_start","note","mol_type","host","country","collection_date","strain","ribosomal_slippage","isolate","ribosomal_slippage.1","inference","experiment","function.","isolation_source","old_locus_tag","regulatory_class","gene_synonym","collected_by","lab_host","genotype","pseudo","lat_lon","cell_line","acronym","transl_except","serotype","segment","exception","citation","altitude","subgroup","standard_name","identified_by","group","culture_collection","clone"
"Betacoronavirus-England-1",1263720,"mat_peptide","12659","12988","D1P20_gp01","","ORF1ab","nsp9","YP_009944300.1",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Betacoronavirus-England-1",1263720,"mat_peptide","12989","13408","D1P20_gp01","","ORF1ab","nsp10","YP_009944301.1",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Betacoronavirus-England-1",1263720,"mat_peptide","13409","16206","D1P20_gp01","","ORF1ab","RNA-dependent RNA polymerase","YP_009944302.1",NA,"RdRp; nsp12","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Betacoronavirus-England-1",1263720,"mat_peptide","16207","18000","D1P20_gp01","","ORF1ab","Hel","YP_009944303.1",NA,"helicase; nsp13","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Betacoronavirus-England-1",1263720,"mat_peptide","18001","19572","D1P20_gp01","","ORF1ab","3' to 5' exonuclease_ N7-methyltransferase","YP_009944304.1",NA,"ExoN; nsp14","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Betacoronavirus-England-1",1263720,"mat_peptide","19573","20601","D1P20_gp01","","ORF1ab","NendoU","YP_009944305.1",NA,"endoRNAse; endoribonuclease; nidoviral","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Betacoronavirus-England-1",1263720,"mat_peptide","20602","21510","D1P20_gp01","","ORF1ab","2'-O-methyltransferase","YP_009944306.1",NA,"2'O-MTase; S-adenosylmethionine-dependent ribose","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Betacoronavirus-England-1",1263720,"CDS","278","13453","D1P20_gp01","GeneID:37616440","ORF1ab","ORF1a polyprotein","YP_007188578.1",1,"ORF1a polyprotein is cleaved to yield nonstructural","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Betacoronavirus-England-1",1263720,"mat_peptide","278","856","D1P20_gp01","","ORF1ab","nsp1","YP_009944281.1",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Betacoronavirus-England-1",1263720,"mat_peptide","857","2836","D1P20_gp01","","ORF1ab","nsp2","YP_009944282.1",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Betacoronavirus-England-1",1263720,"mat_peptide","2837","8497","D1P20_gp01","","ORF1ab","PLpro","YP_009944283.1",NA,"nsp3; papain-like proteinase","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Betacoronavirus-England-1",1263720,"mat_peptide","8498","10018","D1P20_gp01","","ORF1ab","nsp4","YP_009944284.1",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Betacoronavirus-England-1",1263720,"mat_peptide","10019","10936","D1P20_gp01","","ORF1ab","3C-like cysteine proteinase","YP_009944285.1",NA,"3CLpro; nsp5","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Betacoronavirus-England-1",1263720,"mat_peptide","10937","11812","D1P20_gp01","","ORF1ab","nsp6","YP_009944286.1",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Betacoronavirus-England-1",1263720,"mat_peptide","11813","12061","D1P20_gp01","","ORF1ab","nsp7","YP_009944287.1",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Betacoronavirus-England-1",1263720,"mat_peptide","12062","12658","D1P20_gp01","","ORF1ab","nsp8","YP_009944288.1",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Betacoronavirus-England-1",1263720,"mat_peptide","12659","12988","D1P20_gp01","","ORF1ab","nsp9","YP_009944289.1",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Betacoronavirus-England-1",1263720,"mat_peptide","12989","13408","D1P20_gp01","","ORF1ab","nsp10","YP_009944290.1",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Betacoronavirus-England-1",1263720,"mat_peptide","13409","13450","D1P20_gp01","","ORF1ab","nsp11","YP_009944291.1",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Betacoronavirus-England-1",1263720,"gene","21455","25516","D1P20_gp02","GeneID:37616432","S","","",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Betacoronavirus-England-1",1263720,"CDS","21455","25516","D1P20_gp02","GeneID:37616432","S","spike protein","YP_007188579.1",1,"surface glycoprotein","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Betacoronavirus-England-1",1263720,"gene","25531","25842","D1P20_gp03","GeneID:37616433","ORF3","","",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Betacoronavirus-England-1",1263720,"CDS","25531","25842","D1P20_gp03","GeneID:37616433","ORF3","NS3A protein","YP_007188580.1",1,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Betacoronavirus-England-1",1263720,"gene","25851","26180","D1P20_gp04","GeneID:37616434","ORF4a","","",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Betacoronavirus-England-1",1263720,"CDS","25851","26180","D1P20_gp04","GeneID:37616434","ORF4a","NS3B protein","YP_007188581.1",1,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Betacoronavirus-England-1",1263720,"gene","26092","26832","D1P20_gp05","GeneID:37616435","ORF4b","","",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Betacoronavirus-England-1",1263720,"CDS","26092","26832","D1P20_gp05","GeneID:37616435","ORF4b","NS3C protein","YP_007188582.1",1,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Betacoronavirus-England-1",1263720,"gene","26839","27513","D1P20_gp06","GeneID:37616436","ORF5","","",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Betacoronavirus-England-1",1263720,"CDS","26839","27513","D1P20_gp06","GeneID:37616436","ORF5","NS3D protein","YP_007188583.1",1,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Betacoronavirus-England-1",1263720,"gene","27589","27837","D1P20_gp07","GeneID:37616437","E","","",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Betacoronavirus-England-1",1263720,"CDS","27589","27837","D1P20_gp07","GeneID:37616437","E","envelope protein","YP_007188584.1",1,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Betacoronavirus-England-1",1263720,"gene","27852","28511","D1P20_gp08","GeneID:37616438","M","","",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Betacoronavirus-England-1",1263720,"CDS","27852","28511","D1P20_gp08","GeneID:37616438","M","membrane protein","YP_007188585.1",1,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Betacoronavirus-England-1",1263720,"gene","28565","29800","D1P20_gp09","GeneID:37616439","N","","",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Betacoronavirus-England-1",1263720,"CDS","28565","29800","D1P20_gp09","GeneID:37616439","N","nucleocapsid protein","YP_007188586.1",1,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Betacoronavirus-England-1",1263720,"gene","28761","29099","D1P20_gp10","GeneID:60196426","ORF8b","","",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Betacoronavirus-England-1",1263720,"CDS","28761","29099","D1P20_gp10","GeneID:60196426","ORF8b","ORF8b","YP_009944280.1",1,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Betacoronavirus-England-1",1263720,"3_UTR","29801","30111","","","","","",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Rousettus-bat-coronavirus-HKU9",694006,"source","1","29114","","taxon:694006","","","",NA,"","genomic RNA","bat","China: Guangdong province","","HKU9-1 BF_005I",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Rousettus-bat-coronavirus-HKU9",694006,"5_UTR","1","228","","","","","",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Rousettus-bat-coronavirus-HKU9",694006,"gene","229","21020","BatCoVHKU9_gp1","GeneID:4836014","ORF1ab","","",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Rousettus-bat-coronavirus-HKU9",694006,"CDS","229","21020","BatCoVHKU9_gp1","GeneID:4836014","ORF1ab","ORF1ab polyprotein","YP_001039970.1",1,"ORF1ab polyprotein is cleaved to yield the","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Rousettus-bat-coronavirus-HKU9",694006,"mat_peptide","229","753","BatCoVHKU9_gp1","","ORF1ab","leader protein","YP_009924383.1",NA,"nsp1","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Rousettus-bat-coronavirus-HKU9",694006,"mat_peptide","754","2544","BatCoVHKU9_gp1","","ORF1ab","nsp2","YP_009924384.1",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Rousettus-bat-coronavirus-HKU9",694006,"mat_peptide","2545","8055","BatCoVHKU9_gp1","","ORF1ab","PL-PRO","YP_009924385.1",NA,"nsp3; papain-like proteinase","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Rousettus-bat-coronavirus-HKU9",694006,"mat_peptide","8056","9537","BatCoVHKU9_gp1","","ORF1ab","nsp4","YP_009924386.1",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Rousettus-bat-coronavirus-HKU9",694006,"mat_peptide","9538","10455","BatCoVHKU9_gp1","","ORF1ab","3C-like proteinase","YP_009924387.1",NA,"3CLp; nsp5","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Rousettus-bat-coronavirus-HKU9",694006,"mat_peptide","10456","11325","BatCoVHKU9_gp1","","ORF1ab","nsp6","YP_009924388.1",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Rousettus-bat-coronavirus-HKU9",694006,"mat_peptide","11326","11574","BatCoVHKU9_gp1","","ORF1ab","nsp7","YP_009924389.1",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Rousettus-bat-coronavirus-HKU9",694006,"mat_peptide","11575","12174","BatCoVHKU9_gp1","","ORF1ab","nsp8","YP_009924390.1",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Rousettus-bat-coronavirus-HKU9",694006,"mat_peptide","12175","12510","BatCoVHKU9_gp1","","ORF1ab","nsp9","YP_009924391.1",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Rousettus-bat-coronavirus-HKU9",694006,"mat_peptide","12511","12927","BatCoVHKU9_gp1","","ORF1ab","nsp10","YP_009924392.1",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Rousettus-bat-coronavirus-HKU9",694006,"mat_peptide","12928","15722","BatCoVHKU9_gp1","","ORF1ab","Pol","YP_009924393.1",NA,"RNA-directed RNA polymerase; RdRp; nsp12","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Rousettus-bat-coronavirus-HKU9",694006,"mat_peptide","15723","17525","BatCoVHKU9_gp1","","ORF1ab","Hel","YP_009924394.1",NA,"helicase; nsp13","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Rousettus-bat-coronavirus-HKU9",694006,"mat_peptide","17526","19115","BatCoVHKU9_gp1","","ORF1ab","ExoN","YP_009924395.1",NA,"guanine-N7 methyltransferase; nsp14","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Rousettus-bat-coronavirus-HKU9",694006,"mat_peptide","19116","20126","BatCoVHKU9_gp1","","ORF1ab","NendoU","YP_009924396.1",NA,"nsp15; uridylate-specific endoribonuclease","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Rousettus-bat-coronavirus-HKU9",694006,"mat_peptide","20127","21017","BatCoVHKU9_gp1","","ORF1ab","2'-O-methyltransferase","YP_009924397.1",NA,"nsp16","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Rousettus-bat-coronavirus-HKU9",694006,"CDS","229","12975","BatCoVHKU9_gp1","GeneID:4836014","ORF1ab","ORF1a polyprotein","YP_009944377.1",1,"polyprotein pp1a; ORF1a polyprotein is cleaved to","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Rousettus-bat-coronavirus-HKU9",694006,"gene","20974","24798","BatCoVHKU9_gp2","GeneID:4836012","S","","",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Rousettus-bat-coronavirus-HKU9",694006,"CDS","20974","24798","BatCoVHKU9_gp2","GeneID:4836012","S","spike glycoprotein","YP_001039971.1",1,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Rousettus-bat-coronavirus-HKU9",694006,"gene","24795","25457","BatCoVHKU9_gp3","GeneID:4836013","NS3","","",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Rousettus-bat-coronavirus-HKU9",694006,"CDS","24795","25457","BatCoVHKU9_gp3","GeneID:4836013","NS3","hypothetical protein NS3","YP_001039972.1",1,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Rousettus-bat-coronavirus-HKU9",694006,"gene","25457","25696","BatCoVHKU9_gp4","GeneID:4836015","E","","",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Rousettus-bat-coronavirus-HKU9",694006,"CDS","25457","25696","BatCoVHKU9_gp4","GeneID:4836015","E","envelope protein","YP_001039973.1",1,"small membrane protein","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Rousettus-bat-coronavirus-HKU9",694006,"gene","25689","26357","BatCoVHKU9_gp5","GeneID:4836016","M","","",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Rousettus-bat-coronavirus-HKU9",694006,"CDS","25689","26357","BatCoVHKU9_gp5","GeneID:4836016","M","membrane glycoprotein","YP_001039974.1",1,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Rousettus-bat-coronavirus-HKU9",694006,"gene","26419","27825","BatCoVHKU9_gp6","GeneID:4836017","N","","",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Rousettus-bat-coronavirus-HKU9",694006,"CDS","26419","27825","BatCoVHKU9_gp6","GeneID:4836017","N","nucleocapsid phosphoprotein","YP_001039975.1",1,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Rousettus-bat-coronavirus-HKU9",694006,"gene","27869","28426","BatCoVHKU9_gp7","GeneID:4836010","NS7a","","",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Rousettus-bat-coronavirus-HKU9",694006,"CDS","27869","28426","BatCoVHKU9_gp7","GeneID:4836010","NS7a","hypothetical protein NS7a","YP_001039976.1",1,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Rousettus-bat-coronavirus-HKU9",694006,"gene","28433","28882","BatCoVHKU9_gp8","GeneID:4836011","NS7b","","",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Rousettus-bat-coronavirus-HKU9",694006,"CDS","28433","28882","BatCoVHKU9_gp8","GeneID:4836011","NS7b","hypothetical protein NS7b","YP_001039977.1",1,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Rousettus-bat-coronavirus-HKU9",694006,"3_UTR","28883","29114","","","","","",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Bat-coronavirus",1508220,"source","1","29642","","taxon:1508220","","","",NA,"USAID PREDICT Consortium","genomic RNA","Pipistrellus cf. hesperidus; specimen voucher:","Uganda","20-Feb-2013","",NA,"PREDICT/PDF-2180",NA,"","","","rectal swab","","","","","","",NA,"1.12 S 29.68 E","","","","","","","","","","","","","",""
"Bat-coronavirus",1508220,"5_UTR","1","60","","","","","",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Bat-coronavirus",1508220,"gene","60","21290","CAU86_gp01","GeneID:37627555","ORF1b","","",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Bat-coronavirus",1508220,"gene","61","21290","CAU86_gp02","GeneID:37627558","ORF1ab","","",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Bat-coronavirus",1508220,"CDS","61","21290","CAU86_gp02","GeneID:37627558","ORF1ab","ORF1ab polyprotein","YP_009361856.2",1,"polyprotein pp1ab; ORF1ab polyprotein is cleaved to","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Bat-coronavirus",1508220,"CDS","61","13227","CAU86_gp02","GeneID:37627558","ORF1ab","ORF1a polyprotein","YP_009361855.1",1,"polyprotein pp1a; ORF1a polyprotein is cleaved to","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Bat-coronavirus",1508220,"gene","21232","25269","CAU86_gp03","GeneID:37627554","S","","",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Bat-coronavirus",1508220,"CDS","21232","25269","CAU86_gp03","GeneID:37627554","S","spike protein","YP_009361857.1",1,"surface glycoprotein","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Bat-coronavirus",1508220,"gene","25284","25589","CAU86_gp04","GeneID:37627553","ORF3","","",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Bat-coronavirus",1508220,"CDS","25284","25589","CAU86_gp04","GeneID:37627553","ORF3","ORF3 protein","YP_009361858.1",1,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
"Bat-coronavirus",1508220,"gene","25598","25927","CAU86_gp05","GeneID:37627559","ORF4a","","",NA,"","","","","","",NA,"",NA,"","","","","","","","","","",NA,"","","","","","","","","","","","","","",""
