	V1	Virus.Strain.Name	Data.Source	Related.ID	Lineage	Nuc.Completeness	Sequence.Length	Sequence.Quality	Quality.Assessment	Host	Sample.Collection.Date	Location	Originating.Lab	Submission.Date	Submitting.Lab	Create.Time	Last.Update.Time	Variant
11	MT020880	2019-nCoV/USA-WA1-A12/2020	GenBank	EPI_ISL_407214	A	Complete	29882	High	0/0/-/-/-	Homo sapiens	2020-01-25	United States / Washington	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention	2020-02-04	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention	2020-02-05 03:35:49	2021-03-16 10:46:59	A
12	MT050416	SARS-CoV-2/human/AUS/QLD03/2020_FSS917	GenBank	EPI_ISL_410717	A	Complete	29865	High	0/0/-/-/-	Homo sapiens	2020-02-05	Australia / Queensland / Gold Coast	Public Health Virology Laboratory	2020-02-18	Public Health Virology Laboratory	2020-02-19 08:21:53	2021-03-16 10:46:59	A
13	MT066176	SARS-CoV-2/NTU02/TWN/human/2020	GenBank	EPI_ISL_410218	B	Complete	29870	High	0/0/-/-/-	Homo sapiens	2020-02-05	China / Taiwan / Taipei	Microbial Genomics Core Lab, National Taiwan University Centers of Genomic and Precision Medicine	2020-02-13	Microbial Genomics Core Lab, National Taiwan University Centers of Genomic and Precision Medicine	2020-02-14 04:40:52	2021-03-16 10:46:59	B
14	MT079843	SARS-CoV-2/human/CHN/WHUHnCoV001/2020	GenBank	EPI_ISL_449476	B	Complete	29915	High	0/0/-/-/-	Homo sapiens	2020-01-22	China	Department of Respiratory and Critical Care Medicine, Peking University People's Hospital, No. 11 Xizhimen South Street, Xicheng District, Beijing 100044, China	2020-02-18	Department of Respiratory and Critical Care Medicine, Peking University People's Hospital, No. 11 Xizhimen South Street, Xicheng District, Beijing 100044, China	2020-05-16 03:07:12	2021-03-16 10:46:59	B
15	MT079850	SARS-CoV-2/human/CHN/WHUHnCoV008/2020	GenBank	EPI_ISL_449483	B	Complete	29885	High	0/0/-/-/-	Homo sapiens	2020-01-22	China	Department of Respiratory and Critical Care Medicine, Peking University People's Hospital, No. 11 Xizhimen South Street, Xicheng District, Beijing 100044, China	2020-02-18	Department of Respiratory and Critical Care Medicine, Peking University People's Hospital, No. 11 Xizhimen South Street, Xicheng District, Beijing 100044, China	2020-05-16 03:07:12	2021-03-16 10:46:59	B
16	MT079854	SARS-CoV-2/human/CHN/WHUHnCoV021/2020	GenBank	EPI_ISL_449487	B	Complete	29897	High	0/0/-/-/-	Homo sapiens	2020-01-22	China	Department of Respiratory and Critical Care Medicine, Peking University People's Hospital, No. 11 Xizhimen South Street, Xicheng District, Beijing 100044, China	2020-02-18	Department of Respiratory and Critical Care Medicine, Peking University People's Hospital, No. 11 Xizhimen South Street, Xicheng District, Beijing 100044, China	2020-05-16 03:07:12	2021-03-16 10:46:59	B
17	MT114413	SARS-CoV-2/human/HKG/HKU-902b/2020	GenBank	EPI_ISL_434564	B	Complete	29891	High	0/0/-/-/-	Homo sapiens	2020-01-24	China / Hong Kong	Microbiology, The University of Hong Kong, Block T Queen Mary Hospital Pok Fu Lam Road, Hong Kong, China	2020-02-24	Microbiology, The University of Hong Kong, Block T Queen Mary Hospital Pok Fu Lam Road, Hong Kong, China	2020-04-21 04:19:24	2021-03-16 10:46:59	B
18	MT114415	SARS-CoV-2/human/HKG/HKU-903b/2020	GenBank	EPI_ISL_434566	B.4	Complete	29891	High	0/0/-/-/-	Homo sapiens	2020-01-27	China / Hong Kong	Microbiology, The University of Hong Kong, Block T Queen Mary Hospital Pok Fu Lam Road, Hong Kong, China	2020-02-24	Microbiology, The University of Hong Kong, Block T Queen Mary Hospital Pok Fu Lam Road, Hong Kong, China	2020-04-21 04:19:24	2021-03-16 10:46:59	B.4
19	MT135043	SARS-CoV-2/human/CHN/233/2020	GenBank	EPI_ISL_413520	A	Complete	29903	High	0/0/-/-/-	Homo sapiens	2020-01-28	China / Beijing	Infectious Disease Control Center, Center for Disease Control and Prevention of PLA	2020-03-02	Infectious Disease Control Center, Center for Disease Control and Prevention of PLA	2020-03-05 06:33:53	2021-03-16 10:46:59	A
20	MT159711	SARS-CoV-2/human/USA/CruiseA-13/2020	GenBank	EPI_ISL_413618	B	Complete	29882	High	0/0/-/-/-	Homo sapiens	2020-02-20	United States	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention	2020-03-09	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention	2020-03-09 04:21:11	2021-03-16 10:46:59	B
21	MT159716	SARS-CoV-2/human/USA/CruiseA-18/2020	GenBank	EPI_ISL_413623	B	Complete	29867	High	0/0/-/-/-	Homo sapiens	2020-02-24	United States	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention	2020-03-09	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention	2020-03-09 04:21:11	2021-03-16 10:46:59	B
22	MT159722	SARS-CoV-2/human/USA/CruiseA-6/2020	GenBank	EPI_ISL_413611	B	Complete	29882	High	0/0/-/-/-	Homo sapiens	2020-02-21	United States	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention	2020-03-09	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention	2020-03-09 04:21:11	2021-03-16 10:46:59	B
23	MT184908	SARS-CoV-2/human/USA/CruiseA-21/2020	GenBank	EPI_ISL_414480	B	Complete	29882	High	0/0/-/-/-	Homo sapiens	2020-02-21	United States	Division of Viral Diseases, Centers for Disease Control and Prevention, 1600 Clifton Rd NE, Atlanta, GA 30033, USA	2020-03-12	Division of Viral Diseases, Centers for Disease Control and Prevention, 1600 Clifton Rd NE, Atlanta, GA 30033, USA	2020-03-13 08:09:44	2021-03-16 10:46:59	B
24	MT192773	SARS-CoV-2/human/VNM/nCoV-19-02S/2020	GenBank	EPI_ISL_418267	B	Complete	29890	High	0/0/-/-/-	Homo sapiens	2020-01-22	Vietnam / Ho Chi Minh city	Microbiology and Immunology department, Pasteur institute in Ho Chi Minh city, Pasteur Street, Ho Chi Minh, Ho Chi Minh 72408, Viet Nam	2020-03-14	Microbiology and Immunology department, Pasteur institute in Ho Chi Minh city, Pasteur Street, Ho Chi Minh, Ho Chi Minh 72408, Viet Nam	2020-03-18 08:05:31	2021-03-16 10:46:59	B
25	MT215194	SARS-CoV-2/human/HKG.85_VM20002868/2020	GenBank	EPI_ISL_414519	B.43	Complete	29764	High	0/0/-/-/-	Homo sapiens	2020-02-24	China / Hong Kong	School of Public Health, The University of Hong Kong	2020-03-13	School of Public Health, The University of Hong Kong	2020-03-15 04:02:04	2021-03-16 10:46:59	B.43
26	MT226610	SARS-CoV-2/human/CHN/KMS1/2020	GenBank	EPI_ISL_527871	A	Complete	29899	High	0/0/-/-/-	Homo sapiens	2020-01-20	China	Institute of Medical Biology, Chinese Academy of Medical Sciences and Peking Union Medical College, No. 935, Jiao Ling Road, Kunming, Yunnan 650118, China	2020-03-20	Institute of Medical Biology, Chinese Academy of Medical Sciences and Peking Union Medical College, No. 935, Jiao Ling Road, Kunming, Yunnan 650118, China	2020-03-25 03:59:54	2021-03-16 10:46:59	A
27	MT232679	SARS-CoV-2/human/HKG/36_0702/2020	GenBank	EPI_ISL_418815	B.43	Complete	29903	High	0/0/-/-/-	Homo Sapiens	2020-02-09	China / Hong Kong	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	2020-03-31	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	2020-04-01 05:07:55	2021-03-16 10:46:59	B.43
28	MT246455	SARS-CoV-2/human/USA/WA-UW198/2020	GenBank	EPI_ISL_417347	A.1	Complete	29857	High	0/0/-/-/-	Homo sapiens	2020-03-12	United States / Washington	UW Virology Lab	2020-03-25	UW Virology Lab	2020-03-26 05:43:49	2021-03-16 10:46:59	A.1
29	MT246457	SARS-CoV-2/human/USA/WA-UW200/2020	GenBank	EPI_ISL_417349	A.1	Complete	29843	High	0/0/-/-/-	Homo sapiens	2020-03-12	United States / Washington	UW Virology Lab	2020-03-25	UW Virology Lab	2020-03-26 05:43:49	2021-03-16 10:46:59	A.1
30	MT246459	SARS-CoV-2/human/USA/WA-UW202/2020	GenBank	EPI_ISL_417351	A.1	Complete	29909	High	0/0/-/-/-	Homo sapiens	2020-03-12	United States / Washington	UW Virology Lab	2020-03-25	UW Virology Lab	2020-03-26 05:43:49	2021-03-16 10:46:59	A.1
31	MT246464	SARS-CoV-2/human/USA/WA-UW207/2020	GenBank	EPI_ISL_417356	A.1	Complete	29818	High	0/0/-/-/-	Homo sapiens	2020-03-13	United States / Washington	UW Virology Lab	2020-03-25	UW Virology Lab	2020-03-26 05:43:49	2021-03-16 10:46:59	A.1
32	MT246468	SARS-CoV-2/human/USA/WA-UW211/2020	GenBank	EPI_ISL_417360	A.1	Complete	29843	High	0/0/-/-/-	Homo sapiens	2020-03-14	United States / Washington	UW Virology Lab	2020-03-25	UW Virology Lab	2020-03-26 05:43:49	2021-03-16 10:46:59	A.1
33	MT246481	SARS-CoV-2/human/USA/WA-UW224/2020	GenBank	EPI_ISL_417373	B.1	Complete	29873	High	0/0/-/-/-	Homo sapiens	2020-03-13	United States / Connecticut	UW Virology Lab	2020-03-25	UW Virology Lab	2020-03-26 05:43:50	2021-03-16 10:46:59	B.1
34	MT246484	SARS-CoV-2/human/USA/WA-UW227/2020	GenBank	EPI_ISL_417376	B.1.595	Complete	29870	High	0/0/-/-/-	Homo sapiens	2020-03-15	United States / Washington	UW Virology Lab	2020-03-25	UW Virology Lab	2020-03-26 05:43:50	2021-03-16 10:46:59	B.1.595
35	MT246486	SARS-CoV-2/human/USA/WA-UW229/2020	GenBank	EPI_ISL_417378	A.1	Complete	29867	High	0/0/-/-/-	Homo sapiens	2020-03-14	United States / Washington	UW Virology Lab	2020-03-25	UW Virology Lab	2020-03-26 05:43:50	2021-03-16 10:46:59	A.1
36	MT246487	SARS-CoV-2/human/USA/WA-UW230/2020	GenBank	EPI_ISL_417379	B.1.371	Complete	29883	High	0/0/-/-/-	Homo sapiens	2020-03-15	United States / Washington	UW Virology Lab	2020-03-25	UW Virology Lab	2020-03-26 05:43:50	2021-03-16 10:46:59	B.1.371
37	MT246490	SARS-CoV-2/human/USA/WA-UW233/2020	GenBank	EPI_ISL_417382	B.1.371	Complete	29850	High	0/0/-/-/-	Homo sapiens	2020-03-15	United States / Idaho	UW Virology Lab	2020-03-25	UW Virology Lab	2020-03-26 05:43:50	2021-03-16 10:46:59	B.1.371
38	MT251975	SARS-CoV-2/human/USA/WA-UW239/2020	GenBank	EPI_ISL_417453	A.1	Complete	29875	High	0/0/-/-/-	Homo Sapiens	2020-03-14	United States / Idaho	UW Virology Lab	2020-03-26	UW Virology Lab	2020-03-27 03:25:52	2021-03-16 10:46:59	A.1
39	MT252684	SARS-CoV-2/human/USA/WA-UW85/2020	GenBank	EPI_ISL_416441	A.1	Complete	29822	High	0/0/-/-/-	Homo sapiens	2020-03-10	United States / Washington	Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	2020-03-21	Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	2020-03-22 06:00:56	2021-03-16 10:46:59	A.1
40	MT252685	SARS-CoV-2/human/USA/WA-UW86/2020	GenBank	EPI_ISL_416442	A.1	Complete	29822	High	0/0/-/-/-	Homo sapiens	2020-03-10	United States / Washington	Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	2020-03-21	Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	2020-03-22 06:00:56	2021-03-16 10:46:59	A.1
41	MT252687	SARS-CoV-2/human/USA/WA-UW88/2020	GenBank	EPI_ISL_416444	A.1	Complete	29796	High	0/0/-/-/-	Homo sapiens	2020-03-10	United States / Washington	Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	2020-03-21	Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	2020-03-22 06:00:56	2021-03-16 10:46:59	A.1
42	MT252699	SARS-CoV-2/human/USA/WA-UW167/2020	GenBank	EPI_ISL_416705	A.1	Complete	29790	High	0/0/-/-/-	Homo sapiens	2020-03-13	United States / Washington	Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	2020-03-23	Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	2020-03-24 05:58:55	2021-03-16 10:46:59	A.1
43	MT252703	SARS-CoV-2/human/USA/WA-UW189/2020	GenBank	EPI_ISL_416727	A.1	Complete	29790	High	0/0/-/-/-	Homo sapiens	2020-03-13	United States / Washington	Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	2020-03-23	Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	2020-03-24 05:58:55	2021-03-16 10:46:59	A.1
44	MT252705	SARS-CoV-2/human/USA/WA-UW186/2020	GenBank	EPI_ISL_416724	B.1.371	Complete	29788	High	0/0/-/-/-	Homo sapiens	2020-03-13	United States / Washington	Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	2020-03-23	Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	2020-03-24 05:58:55	2021-03-16 10:46:59	B.1.371
45	MT252708	SARS-CoV-2/human/USA/WA-UW172/2020	GenBank	EPI_ISL_416710	A.1	Complete	29788	High	0/0/-/-/-	Homo sapiens	2020-03-13	United States / Washington	Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	2020-03-23	Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	2020-03-24 05:58:55	2021-03-16 10:46:59	A.1
46	MT252712	SARS-CoV-2/human/USA/WA-UW169/2020	GenBank	EPI_ISL_416707	B.1.371	Complete	29777	High	0/0/-/-/-	Homo sapiens	2020-03-14	United States / Washington	Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	2020-03-23	Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	2020-03-24 05:58:55	2021-03-16 10:46:59	B.1.371
47	MT252714	SARS-CoV-2/human/USA/WA-UW177/2020	GenBank	EPI_ISL_416715	A.1	Complete	29815	High	0/0/-/-/-	Homo sapiens	2020-03-15	United States / Washington	UW Virology Lab	2020-03-23	UW Virology Lab	2020-03-24 05:58:55	2021-03-16 10:46:59	A.1
48	MT252719	SARS-CoV-2/human/USA/WA-UW173/2020	GenBank	EPI_ISL_416711	A.1	Complete	29865	High	0/0/-/-/-	Homo sapiens	2020-03-15	United States / Washington	Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	2020-03-23	Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	2020-03-24 05:58:55	2021-03-16 10:46:59	A.1
49	MT252726	SARS-CoV-2/human/USA/WA-UW155/2020	GenBank	EPI_ISL_416693	B.1.371	Complete	29793	High	0/0/-/-/-	Homo sapiens	2020-03-12	United States / Washington	Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	2020-03-23	Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	2020-03-24 05:58:55	2021-03-16 10:46:59	B.1.371
50	MT252731	SARS-CoV-2/human/USA/WA-UW158/2020	GenBank	EPI_ISL_416696	A	Complete	29854	High	0/0/-/-/-	Homo sapiens	2020-03-13	United States / Connecticut	UW Virology Lab	2020-03-23	UW Virology Lab	2020-03-24 05:58:55	2021-03-16 10:46:59	A
51	MT252739	SARS-CoV-2/human/USA/WA-UW147/2020	GenBank	EPI_ISL_416685	A.1	Complete	29841	High	0/0/-/-/-	Homo sapiens	2020-03-15	United States / Washington	Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	2020-03-23	Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	2020-03-24 05:58:55	2021-03-16 10:46:59	A.1
52	MT252741	SARS-CoV-2/human/USA/WA-UW123/2020	GenBank	EPI_ISL_416661	B.1	Complete	29874	High	0/0/-/-/-	Homo sapiens	2020-03-12	United States / Washington	Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	2020-03-23	Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	2020-03-24 05:58:54	2021-03-16 10:46:59	B.1
53	MT252743	SARS-CoV-2/human/USA/WA-UW125/2020	GenBank	EPI_ISL_416663	A.1	Complete	29841	High	0/0/-/-/-	Homo sapiens	2020-03-12	United States / Washington	UW Virology Lab	2020-03-23	UW Virology Lab	2020-03-24 05:58:54	2021-03-16 10:46:59	A.1
54	MT252747	SARS-CoV-2/human/USA/WA-UW129/2020	GenBank	EPI_ISL_416667	A.1	Complete	29878	High	0/0/-/-/-	Homo sapiens	2020-03-12	United States / Washington	Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	2020-03-23	Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	2020-03-24 05:58:54	2021-03-16 10:46:59	A.1
55	MT252749	SARS-CoV-2/human/USA/WA-UW131/2020	GenBank	EPI_ISL_416669	A.1	Complete	29828	High	0/0/-/-/-	Homo sapiens	2020-03-11	United States / Washington	Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	2020-03-23	Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	2020-03-24 05:58:54	2021-03-16 10:46:59	A.1
56	MT252767	SARS-CoV-2/human/USA/WA-UW103/2020	GenBank	EPI_ISL_416641	A.1	Complete	29869	High	0/0/-/-/-	Homo sapiens	2020-03-11	United States / Washington	Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	2020-03-23	Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	2020-03-24 05:58:53	2021-03-16 10:46:59	A.1
57	MT252768	SARS-CoV-2/human/USA/WA-UW104/2020	GenBank	EPI_ISL_416642	B.1	Complete	29785	High	0/0/-/-/-	Homo sapiens	2020-03-11	United States / Washington	Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	2020-03-23	Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	2020-03-24 05:58:53	2021-03-16 10:46:59	B.1
58	MT252774	SARS-CoV-2/human/USA/WA-UW110/2020	GenBank	EPI_ISL_416648	B.1.371	Complete	29869	High	0/0/-/-/-	Homo sapiens	2020-03-11	United States / Washington	Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	2020-03-23	Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	2020-03-24 05:58:54	2021-03-16 10:46:59	B.1.371
59	MT252775	SARS-CoV-2/human/USA/WA-UW111/2020	GenBank	EPI_ISL_416649	A.1	Complete	29828	High	0/0/-/-/-	Homo sapiens	2020-03-11	United States / Washington	Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	2020-03-23	Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	2020-03-24 05:58:54	2021-03-16 10:46:59	A.1
60	MT252777	SARS-CoV-2/human/USA/WA-UW113/2020	GenBank	EPI_ISL_416651	A.1	Complete	29893	High	0/0/-/-/-	Homo sapiens	2020-03-11	United States	UW Virology Lab	2020-03-23	UW Virology Lab	2020-03-24 05:58:54	2021-03-16 10:46:59	A.1
61	MT252782	SARS-CoV-2/human/USA/WA-UW118/2020	GenBank	EPI_ISL_416656	A.1	Complete	29858	High	0/0/-/-/-	Homo sapiens	2020-03-11	United States / Washington	Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	2020-03-23	Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	2020-03-24 05:58:54	2021-03-16 10:46:59	A.1
62	MT252783	SARS-CoV-2/human/USA/WA-UW119/2020	GenBank	EPI_ISL_416657	A.1	Complete	29903	High	0/0/-/-/-	Homo sapiens	2020-03-11	United States / Washington	Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	2020-03-23	Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	2020-03-24 05:58:54	2021-03-16 10:46:59	A.1
63	MT252786	SARS-CoV-2/human/USA/WA-UW122/2020	GenBank	EPI_ISL_416660	B.1	Complete	29823	High	0/0/-/-/-	Homo sapiens	2020-03-10	United States	UW Virology Lab	2020-03-23	UW Virology Lab	2020-03-24 05:58:54	2021-03-16 10:46:59	B.1
64	MT252798	SARS-CoV-2/human/USA/WA-UW70/2020	GenBank	EPI_ISL_415598	A.1	Complete	29852	High	0/0/-/-/-	Homo sapiens	2020-03-10	United States / Washington	Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	2020-03-18	Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	2020-03-19 06:12:50	2021-03-16 10:46:59	A.1
65	MT252800	SARS-CoV-2/human/USA/WA-UW76/2020	GenBank	EPI_ISL_415604	A.1	Complete	29861	High	0/0/-/-/-	Homo sapiens	2020-03-10	United States / Washington	Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	2020-03-18	Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	2020-03-19 06:12:50	2021-03-16 10:46:59	A.1
66	MT252805	SARS-CoV-2/human/USA/WA-UW44/2020	GenBank	EPI_ISL_415609	A.1	Complete	29887	High	0/0/-/-/-	Homo sapiens	2020-03-08	United States	Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	2020-03-18	Laboratory Medicine, University of Washington, 1100 Fairview Ave N, PO Box 19024, E5-110, Seattle, WA 98109, USA	2020-03-19 06:12:50	2021-03-16 10:46:59	A.1
