	Accession.ID	Virus.Strain.Name	Data.Source	Related.ID	Lineage	Nuc.Completeness	Sequence.Length	Sequence.Quality	Quality.Assessment	Host	Sample.Collection.Date	Location	Originating.Lab	Submission.Date	Submitting.Lab	Create.Time	Last.Update.Time	Variant
7738	MW809056	SARS-CoV-2/human/USA/MD-MDH-1386/2021	GenBank	EPI_ISL_1336310	B.1.525	Complete	29770	High	0/0/-/-/-	Homo sapiens	2021-03-11	United States / MD	 	2021-03-25	 	2021-03-26 13:29:41	2021-03-26 13:29:41	eta
7739	MW809058	SARS-CoV-2/human/USA/MD-MDH-1388/2021	GenBank	EPI_ISL_1336312	B.1.525	Complete	29778	High	0/0/-/-/-	Homo sapiens	2021-03-12	United States / MD	 	2021-03-25	 	2021-03-26 13:29:41	2021-03-26 13:29:41	eta
7740	MW809059	SARS-CoV-2/human/USA/MD-MDH-1389/2021	GenBank	EPI_ISL_1336313	B.1.525	Complete	29778	High	0/0/-/-/-	Homo sapiens	2021-03-11	United States / MD	 	2021-03-25	 	2021-03-26 13:29:41	2021-03-26 13:29:41	eta
7741	MW809060	SARS-CoV-2/human/USA/MD-MDH-1390/2021	GenBank	EPI_ISL_1336314	B.1.525	Complete	29750	High	0/0/-/-/-	Homo sapiens	2021-03-13	United States / MD	 	2021-03-25	 	2021-03-26 13:29:41	2021-03-26 13:29:41	eta
7742	MW809061	SARS-CoV-2/human/USA/MD-MDH-1391/2021	GenBank	EPI_ISL_1336315	B.1.525	Complete	29776	High	0/0/-/-/-	Homo sapiens	2021-03-12	United States / MD	 	2021-03-25	 	2021-03-26 13:29:41	2021-03-26 13:29:41	eta
7955	MW831053	SARS-CoV-2/human/USA/OH-UHTL-301/2021	GenBank	NA	B.1.525	Complete	29882	High	0/0/-/-/-	Homo sapiens	2021-03-19	United States / Ohio	 	2021-03-30	 	2021-04-01 20:52:49	2021-04-01 20:52:49	eta
7962	MW834639	SARS-CoV-2/human/USA/OH-UHTL-301Or/2021	GenBank	NA	B.1.525	Complete	29833	High	0/0/-/-/-	Homo sapiens	2021-03-19	United States / Ohio	 	2021-03-31	 	2021-04-01 20:52:49	2021-04-01 20:52:49	eta
8298	MW850613	SARS-CoV-2/human/USA/OH-UHTL-356/2021	GenBank	EPI_ISL_1472386	B.1.525	Complete	29833	High	0/0/-/-/-	Homo sapiens	2021-03-23	United States / Ohio	 	2021-04-02	 	2021-04-13 12:30:24	2021-04-13 12:30:24	eta
8412	MW851945	SARS-CoV-2/human/USA/MN-MDH-4466/2021	GenBank	EPI_ISL_1446023	B.1.525	Complete	29744	High	0/0/-/-/-	Homo sapiens	2021-03-08	United States / Minnesota	 	2021-04-02	 	2021-04-13 12:30:24	2021-04-13 12:30:24	eta
8418	MW852481	SARS-CoV-2/human/USA/OH-UHTL-356Ori/2021	GenBank	EPI_ISL_1472407	B.1.525	Complete	29830	High	0/0/-/-/-	Homo sapiens	2021-03-23	United States / Ohio	 	2021-04-02	 	2021-04-13 12:30:24	2021-04-13 12:30:24	eta
8419	MW852494	SARS-CoV-2/human/ITA/Novara_Ceinge-Bicocca-01/2021	GenBank	NA	B.1.525	Complete	29666	High	0/0/-/-/-	Homo sapiens	2021-03-15	Italy	 	2021-04-02	 	2021-04-13 12:30:24	2021-04-13 12:30:24	eta
9539	MW907088	SARS-CoV-2/human/USA/OH-UHTL-427/2021	GenBank	NA	B.1.525	Complete	29833	High	0/0/-/-/-	Homo sapiens	2021-03-31	United States / Ohio	 	2021-04-12	 	2021-04-19 09:58:53	2021-04-19 09:58:53	eta
10108	MW930913	SARS-CoV-2/human/USA/PA-CDC-QDX23396164/2021	GenBank	EPI_ISL_1614952	B.1.525	Complete	29709	High	0/0/-/-/-	Homo sapiens	2021-03-27	United States / Pennsylvania	 	2021-04-15	 	2021-04-19 09:58:56	2021-04-26 14:06:23	eta
10109	MW930939	SARS-CoV-2/human/USA/PA-CDC-QDX23396140/2021	GenBank	EPI_ISL_1614978	B.1.525	Complete	29709	High	0/0/-/-/-	Homo sapiens	2021-03-27	United States / Pennsylvania	 	2021-04-15	 	2021-04-19 09:58:56	2021-04-26 14:06:23	eta
10210	MW932389	SARS-CoV-2/human/USA/FL-CDC-STM-000046021/2021	GenBank	EPI_ISL_1592822	B.1.525	Complete	29759	High	0/0/-/-/-	Homo sapiens	2021-03-30	United States / Florida	 	2021-04-16	 	2021-04-23 20:52:47	2021-04-23 20:52:47	eta
10255	MW937189	SARS-CoV-2/human/USA/MD-MDH-1738/2021	GenBank	EPI_ISL_1623748	B.1.525	Complete	29743	High	0/0/-/-/-	Homo sapiens	2021-04-05	United States / MD	 	2021-04-16	 	2021-04-23 20:52:48	2021-04-23 20:52:48	eta
10439	MW941863	SARS-CoV-2/human/USA/FL-CDC-STM-000019540/2021	GenBank	NA	B.1.525	Complete	29828	High	0/0/-/-/-	Homo sapiens	2021-02-20	United States / Florida	 	2021-04-18	 	2021-04-23 20:52:48	2021-04-23 20:52:48	eta
10451	MW941945	SARS-CoV-2/human/USA/GA-CDC-STM-000019151/2021	GenBank	NA	B.1.525	Complete	29828	High	0/0/-/-/-	Homo sapiens	2021-02-19	United States / Georgia	 	2021-04-18	 	2021-04-23 20:52:48	2021-04-23 20:52:48	eta
10479	MW942172	SARS-CoV-2/human/USA/FL-CDC-STM-000020940/2021	GenBank	NA	B.1.525	Complete	29830	High	0/0/-/-/-	Homo sapiens	2021-02-22	United States / Florida	 	2021-04-18	 	2021-04-23 20:52:48	2021-04-23 20:52:48	eta
10487	MW942218	SARS-CoV-2/human/USA/GA-CDC-STM-000021208/2021	GenBank	NA	B.1.525	Complete	29799	High	14/0/-/-/-	Homo sapiens	2021-02-21	United States / Georgia	 	2021-04-18	 	2021-04-23 20:52:48	2021-04-23 20:52:48	eta
10539	MW942492	SARS-CoV-2/human/USA/FL-CDC-STM-000021702/2021	GenBank	NA	B.1.525	Complete	29800	High	0/0/-/-/-	Homo sapiens	2021-02-22	United States / Florida	 	2021-04-18	 	2021-04-23 20:52:48	2021-04-23 20:52:48	eta
10585	MW942761	SARS-CoV-2/human/USA/FL-CDC-STM-000022804/2021	GenBank	NA	B.1.525	Complete	29825	High	0/0/-/-/-	Homo sapiens	2021-02-22	United States / Florida	 	2021-04-18	 	2021-04-23 20:52:48	2021-04-23 20:52:48	eta
10586	MW942787	SARS-CoV-2/human/USA/GA-CDC-STM-000023111/2021	GenBank	NA	B.1.525	Complete	29801	High	0/0/-/-/-	Homo sapiens	2021-02-23	United States / Georgia	 	2021-04-18	 	2021-04-23 20:52:48	2021-04-23 20:52:48	eta
10631	MW943174	SARS-CoV-2/human/USA/GA-CDC-STM-000026391/2021	GenBank	NA	B.1.525	Complete	29814	High	0/0/-/-/-	Homo sapiens	2021-03-01	United States / Georgia	 	2021-04-18	 	2021-04-23 20:52:48	2021-04-23 20:52:48	eta
10650	MW943273	SARS-CoV-2/human/USA/FL-CDC-STM-000025902/2021	GenBank	NA	B.1.525	Complete	29801	High	0/0/-/-/-	Homo sapiens	2021-02-27	United States / Florida	 	2021-04-18	 	2021-04-23 20:52:48	2021-04-23 20:52:48	eta
10690	MW943566	SARS-CoV-2/human/USA/GA-CDC-STM-000027564/2021	GenBank	NA	B.1.525	Complete	29808	High	0/0/-/-/-	Homo sapiens	2021-02-28	United States / Georgia	 	2021-04-18	 	2021-04-23 20:52:48	2021-04-23 20:52:48	eta
10701	MW943640	SARS-CoV-2/human/USA/MA-CDC-STM-000027974/2021	GenBank	NA	B.1.525	Complete	29800	High	0/0/-/-/-	Homo sapiens	2021-02-28	United States / Massachusetts	 	2021-04-18	 	2021-04-23 20:52:48	2021-04-23 20:52:48	eta
10717	MW943746	SARS-CoV-2/human/USA/FL-CDC-STM-000029037/2021	GenBank	NA	B.1.525	Complete	29827	High	0/0/-/-/-	Homo sapiens	2021-03-06	United States / Florida	 	2021-04-18	 	2021-04-23 20:52:48	2021-04-23 20:52:48	eta
10739	MW943899	SARS-CoV-2/human/USA/GA-CDC-STM-000029692/2021	GenBank	NA	B.1.525	Complete	29827	High	0/0/-/-/-	Homo sapiens	2021-03-04	United States / Georgia	 	2021-04-18	 	2021-04-23 20:52:48	2021-04-23 20:52:48	eta
10740	MW943913	SARS-CoV-2/human/USA/NC-CDC-STM-000028242/2021	GenBank	NA	B.1.525	Complete	29818	High	0/0/-/-/-	Homo sapiens	2021-03-03	United States / North Carolina	 	2021-04-18	 	2021-04-23 20:52:48	2021-04-23 20:52:48	eta
10769	MW944070	SARS-CoV-2/human/USA/PA-CDC-STM-000029829/2021	GenBank	NA	B.1.525	Complete	29824	High	0/0/-/-/-	Homo sapiens	2021-03-05	United States / Pennsylvania	 	2021-04-18	 	2021-04-23 20:52:48	2021-04-23 20:52:48	eta
10793	MW944259	SARS-CoV-2/human/USA/NC-CDC-STM-000030545/2021	GenBank	NA	B.1.525	Complete	29830	High	0/0/-/-/-	Homo sapiens	2021-03-07	United States / North Carolina	 	2021-04-18	 	2021-04-23 20:52:48	2021-04-23 20:52:48	eta
10849	MW944740	SARS-CoV-2/human/USA/PA-CDC-STM-000033476/2021	GenBank	NA	B.1.525	Complete	29815	High	0/0/-/-/-	Homo sapiens	2021-03-10	United States / Pennsylvania	 	2021-04-18	 	2021-04-23 20:52:50	2021-04-23 20:52:50	eta
10852	MW944778	SARS-CoV-2/human/USA/PA-CDC-STM-000038261/2021	GenBank	NA	B.1.525	Complete	29800	High	0/0/-/-/-	Homo sapiens	2021-02-18	United States / Pennsylvania	 	2021-04-18	 	2021-04-23 20:52:50	2021-04-23 20:52:50	eta
10878	MW944992	SARS-CoV-2/human/USA/PA-CDC-STM-000035353/2021	GenBank	NA	B.1.525	Complete	29756	High	0/0/-/-/-	Homo sapiens	2021-03-12	United States / Pennsylvania	 	2021-04-18	 	2021-04-23 20:52:50	2021-04-23 20:52:50	eta
10883	MW945042	SARS-CoV-2/human/USA/MA-CDC-STM-000036032/2021	GenBank	NA	B.1.525	Complete	29756	High	0/0/-/-/-	Homo sapiens	2021-03-14	United States / Massachusetts	 	2021-04-18	 	2021-04-23 20:52:50	2021-04-23 20:52:50	eta
10906	MW945202	SARS-CoV-2/human/USA/MA-CDC-STM-000035820/2021	GenBank	NA	B.1.525	Complete	29757	High	0/0/-/-/-	Homo sapiens	2021-03-13	United States / Massachusetts	 	2021-04-18	 	2021-04-23 20:52:50	2021-04-23 20:52:50	eta
10908	MW945206	SARS-CoV-2/human/USA/MA-CDC-STM-000035861/2021	GenBank	NA	B.1.525	Complete	29751	High	0/0/-/-/-	Homo sapiens	2021-03-13	United States / Massachusetts	 	2021-04-18	 	2021-04-23 20:52:50	2021-04-23 20:52:50	eta
10917	MW945260	SARS-CoV-2/human/USA/TN-CDC-2-4142723/2021	GenBank	EPI_ISL_1624205	B.1.525	Complete	29730	High	0/0/-/-/-	Homo sapiens	2021-03-25	United States / Tennessee	 	2021-04-18	 	2021-04-23 20:52:50	2021-04-23 20:52:50	eta
10989	MW963141	SARS-CoV-2/human/USA/FL-CDC-QDX23271146/2021	GenBank	EPI_ISL_1694669	B.1.525	Complete	29709	High	0/0/-/-/-	Homo sapiens	2021-03-25	United States / Florida	 	2021-04-19	 	2021-04-23 20:52:50	2021-04-30 22:38:44	eta
11049	MW963370	SARS-CoV-2/human/USA/FL-CDC-STM-000040161/2021	GenBank	EPI_ISL_1694650	B.1.525	Complete	29757	High	0/0/-/-/-	Homo sapiens	2021-03-19	United States / Florida	 	2021-04-19	 	2021-04-23 20:52:50	2021-04-30 22:38:45	eta
11050	MW963376	SARS-CoV-2/human/USA/PA-CDC-STM-000040816/2021	GenBank	EPI_ISL_1694656	B.1.525	Complete	29763	High	0/0/-/-/-	Homo sapiens	2021-03-20	United States / Pennsylvania	 	2021-04-19	 	2021-04-23 20:52:50	2021-04-30 22:38:45	eta
11051	MW963383	SARS-CoV-2/human/USA/PA-CDC-STM-000041516/2021	GenBank	EPI_ISL_1694663	B.1.525	Complete	29757	High	0/0/-/-/-	Homo sapiens	2021-03-21	United States / Pennsylvania	 	2021-04-19	 	2021-04-23 20:52:50	2021-04-30 22:38:45	eta
11052	MW963384	SARS-CoV-2/human/USA/CA-CDC-STM-000041841/2021	GenBank	EPI_ISL_1694664	B.1.525	Complete	29752	High	0/0/-/-/-	Homo sapiens	2021-03-24	United States / California	 	2021-04-19	 	2021-04-23 20:52:50	2021-04-30 22:38:44	eta
11053	MW963385	SARS-CoV-2/human/USA/FL-CDC-STM-000041808/2021	GenBank	EPI_ISL_1694665	B.1.525	Complete	29758	High	0/0/-/-/-	Homo sapiens	2021-03-23	United States / Florida	 	2021-04-19	 	2021-04-23 20:52:50	2021-04-30 22:38:44	eta
11054	MW963390	SARS-CoV-2/human/USA/MD-CDC-STM-000045389/2021	GenBank	EPI_ISL_1580876	B.1.525	Complete	29751	High	0/0/-/-/-	Homo Sapiens	2021-03-29	United States / Maryland	Helix/Illumina	2021-04-13	Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery	2021-04-19 10:19:21	2021-04-26 18:02:19	eta
11056	MW963392	SARS-CoV-2/human/USA/MD-CDC-STM-000045383/2021	GenBank	EPI_ISL_1580898	B.1.525	Complete	29763	High	0/0/-/-/-	Homo Sapiens	2021-03-29	United States / Maryland	Helix/Illumina	2021-04-13	Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery	2021-04-19 10:19:21	2021-04-26 18:02:19	eta
11057	MW963399	SARS-CoV-2/human/USA/GA-CDC-STM-000044314/2021	GenBank	EPI_ISL_1581289	B.1.525	Complete	29756	High	0/0/-/-/-	Homo Sapiens	2021-03-27	United States / Georgia	Helix/Illumina	2021-04-13	Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery	2021-04-19 10:19:21	2021-04-26 18:02:19	eta
11058	MW963402	SARS-CoV-2/human/USA/PA-CDC-STM-000043951/2021	GenBank	EPI_ISL_1581507	B.1.525	Complete	29758	High	0/0/-/-/-	Homo Sapiens	2021-03-25	United States / Pennsylvania	Helix/Illumina	2021-04-13	Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery	2021-04-19 10:19:21	2021-04-26 18:02:19	eta
11065	MW963429	SARS-CoV-2/human/USA/FL-CDC-STM-000039040/2021	GenBank	EPI_ISL_1694643	B.1.525	Complete	29759	High	0/0/-/-/-	Homo sapiens	2021-03-17	United States / Florida	 	2021-04-19	 	2021-04-23 20:52:50	2021-04-30 22:38:45	eta
11066	MW963432	SARS-CoV-2/human/USA/PA-CDC-STM-000037673/2021	GenBank	EPI_ISL_1694646	B.1.525	Complete	29758	High	0/0/-/-/-	Homo sapiens	2021-03-13	United States / Pennsylvania	 	2021-04-19	 	2021-04-23 20:52:50	2021-04-30 22:38:46	eta
11068	MW963437	SARS-CoV-2/human/USA/PA-CDC-QDX23430237/2021	GenBank	EPI_ISL_1582004	B.1.525	Complete	29709	High	0/0/-/-/-	Homo Sapiens	2021-03-29	United States / Pennsylvania	Quest Diagnostics Incorporated	2021-04-13	Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery	2021-04-19 10:19:22	2021-04-26 18:02:19	eta
11071	MW963441	SARS-CoV-2/human/USA/CA-CDC-QDX23355167/2021	GenBank	EPI_ISL_1582093	B.1.525	Complete	29709	High	0/0/-/-/-	Homo Sapiens	2021-03-22	United States / California	Quest Diagnostics Incorporated	2021-04-13	Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery	2021-04-19 10:19:22	2021-04-26 18:02:19	eta
11074	MW963446	SARS-CoV-2/human/USA/MA-CDC-STM-000042853/2021	GenBank	EPI_ISL_1575626	B.1.525	Complete	29756	High	0/0/-/-/-	Homo Sapiens	2021-03-21	United States / Massachusetts	Helix/Illumina	2021-04-13	Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery	2021-04-19 10:11:48	2021-04-26 18:02:19	eta
11076	MW963450	SARS-CoV-2/human/USA/NC-CDC-STM-000042967/2021	GenBank	EPI_ISL_1575715	B.1.525	Complete	29757	High	0/0/-/-/-	Homo Sapiens	2021-03-24	United States / North Carolina	Helix/Illumina	2021-04-13	Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery	2021-04-19 10:05:49	2021-04-26 18:02:19	eta
11078	MW963454	SARS-CoV-2/human/USA/PA-CDC-STM-000041995/2021	GenBank	EPI_ISL_1575885	B.1.525	Complete	29756	High	0/0/-/-/-	Homo Sapiens	2021-03-23	United States / Pennsylvania	Helix/Illumina	2021-04-13	Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery	2021-04-19 10:11:48	2021-04-26 18:02:19	eta
11081	MW963460	SARS-CoV-2/human/USA/MA-CDC-STM-000042249/2021	GenBank	EPI_ISL_1576128	B.1.525	Complete	29756	High	0/0/-/-/-	Homo Sapiens	2021-03-22	United States / Massachusetts	Helix/Illumina	2021-04-13	Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery	2021-04-19 10:11:48	2021-04-26 18:02:19	eta
11082	MW963462	SARS-CoV-2/human/USA/PA-CDC-STM-000042239/2021	GenBank	EPI_ISL_1576197	B.1.525	Complete	29755	High	0/0/-/-/-	Homo Sapiens	2021-03-21	United States / Pennsylvania	Helix/Illumina	2021-04-13	Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery	2021-04-19 10:11:48	2021-04-26 18:02:19	eta
11084	MW963474	SARS-CoV-2/human/USA/PA-CDC-QDX23354470/2021	GenBank	EPI_ISL_1559456	B.1.525	Complete	29709	High	0/0/-/-/-	Homo Sapiens	2021-03-23	United States / Pennsylvania	Quest Diagnostics Incorporated	2021-04-12	Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery	2021-04-19 10:11:46	2021-04-26 18:02:19	eta
11085	MW963476	SARS-CoV-2/human/USA/PA-CDC-QDX23354464/2021	GenBank	EPI_ISL_1559475	B.1.525	Complete	29709	High	0/0/-/-/-	Homo Sapiens	2021-03-23	United States / Pennsylvania	Quest Diagnostics Incorporated	2021-04-12	Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery	2021-04-19 10:11:46	2021-04-26 18:02:19	eta
11086	MW963479	SARS-CoV-2/human/USA/IA-CDC-QDX23353765/2021	GenBank	EPI_ISL_1559554	B.1.525	Complete	29709	High	0/0/-/-/-	Homo Sapiens	2021-03-25	United States / Iowa	Quest Diagnostics Incorporated	2021-04-12	Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery	2021-04-19 10:05:47	2021-04-26 18:02:19	eta
11155	MW964683	SARS-CoV-2/human/USA/PA-CDC-QDX23571959/2021	GenBank	EPI_ISL_1648881	B.1.525	Complete	29709	High	0/0/-/-/-	Homo sapiens	2021-04-01	United States / Pennsylvania	 	2021-04-19	 	2021-04-23 20:52:50	2021-04-23 20:52:50	eta
11160	MW964736	SARS-CoV-2/human/USA/PA-CDC-QDX23571963/2021	GenBank	EPI_ISL_1648148	B.1.525	Complete	29709	High	0/0/-/-/-	Homo sapiens	2021-04-01	United States / Pennsylvania	 	2021-04-19	 	2021-04-23 20:52:50	2021-04-23 20:52:50	eta
11166	MW964842	SARS-CoV-2/human/USA/PA-CDC-QDX23571853/2021	GenBank	EPI_ISL_1648264	B.1.525	Complete	29709	High	0/0/-/-/-	Homo sapiens	2021-03-31	United States / Pennsylvania	 	2021-04-19	 	2021-04-23 20:52:50	2021-04-23 20:52:50	eta
11178	MW965081	SARS-CoV-2/human/USA/PA-CDC-QDX23571852/2021	GenBank	EPI_ISL_1648503	B.1.525	Complete	29709	High	0/0/-/-/-	Homo sapiens	2021-03-31	United States / Pennsylvania	 	2021-04-19	 	2021-04-23 20:52:50	2021-04-23 20:52:50	eta
11183	MW965133	SARS-CoV-2/human/USA/PA-CDC-QDX23571864/2021	GenBank	EPI_ISL_1648555	B.1.525	Complete	29709	High	0/0/-/-/-	Homo sapiens	2021-04-01	United States / Pennsylvania	 	2021-04-19	 	2021-04-23 20:52:50	2021-04-23 20:52:50	eta
11187	MW965829	SARS-CoV-2/human/USA/IL-CDC-LC0033324/2021	GenBank	EPI_ISL_1695013	B.1.525	Complete	29689	High	1/0/-/-/-	Homo sapiens	2021-03-21	United States / Illinois	 	2021-04-20	 	2021-04-23 20:52:50	2021-04-30 22:38:45	eta
11189	MW965850	SARS-CoV-2/human/USA/MD-CDC-LC0037600/2021	GenBank	EPI_ISL_1695028	B.1.525	Complete	29689	High	0/0/-/-/-	Homo sapiens	2021-03-31	United States / Maryland	 	2021-04-20	 	2021-04-23 20:52:50	2021-04-30 22:38:42	eta
11210	MW965934	SARS-CoV-2/human/USA/MA-CDC-ASC210014171/2021	GenBank	EPI_ISL_1559780	B.1.525	Complete	29829	High	0/0/-/-/-	Homo Sapiens	2021-03-21	United States / Massachusetts	Aegis Sciences Corporation	2021-04-12	Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery	2021-04-19 10:11:46	2021-04-26 18:02:19	eta
11211	MW965935	SARS-CoV-2/human/USA/MA-CDC-ASC210014172/2021	GenBank	EPI_ISL_1559781	B.1.525	Complete	29825	High	0/0/-/-/-	Homo Sapiens	2021-03-21	United States / Massachusetts	Aegis Sciences Corporation	2021-04-12	Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery	2021-04-19 10:11:46	2021-04-26 18:02:19	eta
11217	MW965981	SARS-CoV-2/human/USA/FL-CDC-ASC210014699/2021	GenBank	EPI_ISL_1559930	B.1.525	Complete	29811	High	0/0/-/-/-	Homo Sapiens	2021-03-21	United States / Florida	Aegis Sciences Corporation	2021-04-12	Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery	2021-04-19 10:11:46	2021-04-26 18:02:19	eta
11222	MW966024	SARS-CoV-2/human/USA/MD-CDC-ASC210005264/2021	GenBank	EPI_ISL_1560070	B.1.525	Complete	29828	High	0/0/-/-/-	Homo Sapiens	2021-03-10	United States / Maryland	Aegis Sciences Corporation	2021-04-12	Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery	2021-04-19 10:11:46	2021-04-26 18:02:19	eta
11258	MW966397	SARS-CoV-2/human/USA/NC-CDC-ASC210006454/2021	GenBank	EPI_ISL_1561171	B.1.525	Complete	29815	High	0/0/-/-/-	Homo Sapiens	2021-03-11	United States / North Carolina	Aegis Sciences Corporation	2021-04-12	Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery	2021-04-19 10:11:46	2021-04-26 18:02:19	eta
11261	MW966413	SARS-CoV-2/human/USA/MN-CDC-ASC210006608/2021	GenBank	EPI_ISL_1561220	B.1.525	Complete	29828	High	0/0/-/-/-	Homo Sapiens	2021-03-12	United States / Minnesota	Aegis Sciences Corporation	2021-04-12	Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery	2021-04-19 10:11:46	2021-04-26 18:02:19	eta
11289	MW966594	SARS-CoV-2/human/USA/MD-CDC-ASC210006083/2021	GenBank	EPI_ISL_1561829	B.1.525	Complete	29830	High	0/0/-/-/-	Homo Sapiens	2021-03-14	United States / Maryland	Aegis Sciences Corporation	2021-04-12	Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery	2021-04-19 10:11:47	2021-04-26 18:02:19	eta
11335	MW967091	SARS-CoV-2/human/USA/MD-CDC-ASC210011504/2021	GenBank	EPI_ISL_1563448	B.1.525	Complete	29813	High	0/0/-/-/-	Homo Sapiens	2021-03-18	United States / Maryland	Aegis Sciences Corporation	2021-04-12	Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery	2021-04-19 10:11:47	2021-04-26 18:02:19	eta
11339	MW967128	SARS-CoV-2/human/USA/PA-CDC-ASC210007960/2021	GenBank	EPI_ISL_1563579	B.1.525	Complete	29819	High	0/0/-/-/-	Homo Sapiens	2021-03-15	United States / Pennsylvania	Aegis Sciences Corporation	2021-04-12	Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery	2021-04-19 10:11:47	2021-04-26 18:02:19	eta
11377	MW967788	SARS-CoV-2/human/USA/TX-CDC-ASC210010994/2021	GenBank	EPI_ISL_1649444	B.1.525	Complete	29816	High	0/0/-/-/-	Homo sapiens	2021-03-16	United States / Texas	 	2021-04-20	 	2021-04-23 20:52:50	2021-04-23 20:52:50	eta
