	Accession.ID	Virus.Strain.Name	Data.Source	Related.ID	Lineage	Nuc.Completeness	Sequence.Length	Sequence.Quality	Quality.Assessment	Host	Sample.Collection.Date	Location	Originating.Lab	Submission.Date	Submitting.Lab	Create.Time	Last.Update.Time	Variant
5256	MW689690	SARS-CoV-2/human/USA/FL-BPHL-0616/2021	GenBank	EPI_ISL_1132193	B.1.1.7	Complete	29806	High	0/0/-/-/-	Homo sapiens	2021-02-04	United States / FL	 	2021-03-03	 	2021-03-04 15:22:51	2021-03-16 10:46:59	alpha
5257	MW689693	SARS-CoV-2/human/USA/FL-BPHL-0619/2021	GenBank	EPI_ISL_1132196	B.1.1.7	Complete	29808	High	0/0/-/-/-	Homo sapiens	2021-02-08	United States / FL	 	2021-03-03	 	2021-03-04 15:22:51	2021-03-16 10:46:59	alpha
5404	MW699175	SARS-CoV-2/human/USA/OH-UHTL-80/2021	GenBank	NA	B.1.1.7	Complete	29885	High	0/0/-/-/-	Homo sapiens	2021-02-23	United States / Ohio	 	2021-03-04	 	2021-03-05 18:59:50	2021-03-16 10:46:59	alpha
5413	MW699915	SARS-CoV-2/human/USA/OH-UHTL-105/2021	GenBank	NA	B.1.1.7	Complete	29885	High	0/0/-/-/-	Homo sapiens	2021-02-17	United States / Ohio	 	2021-03-05	 	2021-03-06 06:41:04	2021-03-16 10:46:59	alpha
5544	MW703428	SARS-CoV-2/human/USA/VA-DCLS-3514/2021	GenBank	EPI_ISL_1111549	B.1.1.7	Complete	29812	High	0/0/-/-/-	Homo Sapiens	2021-02-04	United States / Virginia	Virginia Division of Consolidated Laboratory Services	2021-03-01	Virginia Division of Consolidated Laboratory Services	2021-03-03 09:46:16	2021-03-16 10:46:59	alpha
5550	MW704385	SARS-CoV-2/human/BHR/341580934/2021	GenBank	NA	B.1.1.7	Complete	29797	High	0/0/-/-/-	Homo sapiens	2021-02-26	Bahrain	 	2021-03-07	 	2021-03-09 03:26:48	2021-03-16 10:46:59	alpha
5555	MW704464	SARS-CoV-2/human/USA/WA-UW-55545/2021	GenBank	EPI_ISL_861731	B.1.1.7	Complete	29521	High	0/0/-/-/-	Homo Sapiens	2021-01-16	United States / Washington	NA	NA	NA	2021-01-25 10:32:31	2021-03-16 10:46:59	alpha
5808	MW712865	SARS-CoV-2/human/USA/AL-UAB-GX26/2021	GenBank	NA	B.1.1.7	Complete	29781	High	0/0/-/-/-	Homo sapiens	2021-02-08	United States / Montgomery / AL	 	2021-03-08	 	2021-03-09 15:47:47	2021-03-16 10:46:59	alpha
5809	MW712875	SARS-CoV-2/human/USA/AL-UAB-GX54/2021	GenBank	NA	B.1.1.7	Complete	29782	High	0/0/-/-/-	Homo sapiens	2021-02-22	United States / Montgomery / AL	 	2021-03-08	 	2021-03-09 15:47:47	2021-03-16 10:46:59	alpha
5810	MW713648	SARS-CoV-2/human/USA/MD-MDH-1196/2021	GenBank	EPI_ISL_1182014	B.1.1.7	Complete	29800	High	0/0/-/-/-	Homo sapiens	2021-01-26	United States / MD	 	2021-03-08	 	2021-03-09 15:47:47	2021-03-16 10:46:59	alpha
5812	MW713661	SARS-CoV-2/human/USA/MD-MDH-1209/2021	GenBank	EPI_ISL_1182003	B.1.1.7	Complete	29831	High	0/0/-/-/-	Homo sapiens	2021-02-20	United States / MD	 	2021-03-08	 	2021-03-09 15:47:47	2021-03-16 10:46:59	alpha
5830	MW715252	SARS-CoV-2/human/USA/CO-CDPHE-2100478775/2021	GenBank	EPI_ISL_1169648	B.1.1.7	Complete	29798	High	0/0/-/-/-	Homo Sapiens	2021-02-17	United States / Colorado	Colorado Department of Public Health and Environment	2021-03-06	Colorado Department of Public Health and Environment	2021-03-07 18:45:33	2021-03-16 10:46:59	alpha
5831	MW715274	SARS-CoV-2/human/USA/CO-CDPHE-2100478876/2021	GenBank	EPI_ISL_1169672	B.1.1.7	Complete	29799	High	0/0/-/-/-	Homo Sapiens	2021-02-23	United States / Colorado	Colorado Department of Public Health and Environment	2021-03-06	Colorado Department of Public Health and Environment	2021-03-07 18:45:33	2021-03-16 10:46:59	alpha
5927	MW720637	SARS-CoV-2/human/USA/FL-CDC-21871660/2021	GenBank	EPI_ISL_1194427	B.1.1.7	Complete	29763	High	0/0/-/-/-	Homo sapiens	2021-02-08	United States / Florida	 	2021-03-09	 	2021-03-10 16:30:26	2021-03-16 10:46:59	alpha
5928	MW720729	SARS-CoV-2/human/USA/FL-CDC-21671556/2021	GenBank	EPI_ISL_1194391	B.1.1.7	Complete	29763	High	0/0/-/-/-	Homo sapiens	2021-02-01	United States / Florida	 	2021-03-09	 	2021-03-10 16:30:26	2021-03-16 10:46:59	alpha
5929	MW720759	SARS-CoV-2/human/USA/FL-CDC-21487336/2021	GenBank	EPI_ISL_1194369	B.1.1.7	Complete	29763	High	0/0/-/-/-	Homo sapiens	2021-01-27	United States / Florida	 	2021-03-09	 	2021-03-10 16:30:26	2021-03-16 10:46:59	alpha
5930	MW720766	SARS-CoV-2/human/USA/FL-CDC-21488673/2021	GenBank	EPI_ISL_1194376	B.1.1.7	Complete	29763	High	0/0/-/-/-	Homo sapiens	2021-01-27	United States / Florida	 	2021-03-09	 	2021-03-10 16:30:26	2021-03-16 10:46:59	alpha
5931	MW721338	SARS-CoV-2/human/USA/CA-CDC-STM-000009221/2021	GenBank	EPI_ISL_1194746	B.1.1.7	Complete	29810	High	0/0/-/-/-	Homo sapiens	2021-02-05	United States / California	 	2021-03-10	 	2021-03-12 08:16:39	2021-03-16 10:46:59	alpha
5932	MW721342	SARS-CoV-2/human/USA/TX-CDC-STM-000009261/2021	GenBank	EPI_ISL_1194750	B.1.1.7	Complete	29857	High	9/0/-/-/-	Homo sapiens	2021-02-04	United States / Texas	 	2021-03-10	 	2021-03-12 08:16:39	2021-03-16 10:46:59	alpha
5933	MW721477	SARS-CoV-2/human/USA/UT-CDC-LC0014161/2021	GenBank	EPI_ISL_1193296	B.1.1.7	Complete	29694	High	0/0/-/-/-	Homo sapiens	2021-02-09	United States / Utah	 	2021-03-10	 	2021-03-12 08:16:39	2021-03-16 10:46:59	alpha
5936	MW721520	SARS-CoV-2/human/USA/MD-CDC-LC0016037/2021	GenBank	EPI_ISL_1193339	B.1.1.7	Complete	29694	High	0/0/-/-/-	Homo sapiens	2021-02-11	United States / Maryland	 	2021-03-10	 	2021-03-12 08:16:39	2021-03-16 10:46:59	alpha
5943	MW723420	SARS-CoV-2/human/USA/OH-UHTL-132/2021	GenBank	EPI_ISL_1240764	B.1.1.7	Complete	29885	High	0/0/-/-/-	Homo sapiens	2021-02-27	United States / Ohio	 	2021-03-10	 	2021-03-12 08:16:39	2021-04-16 16:44:49	alpha
5950	MW725605	SARS-CoV-2/human/USA/FL-BPHL-0984/2021	GenBank	NA	B.1.1.7	Complete	29813	High	0/0/-/-/-	Homo sapiens	2021-02-17	United States / FL	 	2021-03-11	 	2021-03-12 08:16:39	2021-03-16 10:46:59	alpha
5951	MW725617	SARS-CoV-2/human/USA/FL-BPHL-0854/2021	GenBank	NA	B.1.1.7	Complete	29763	High	0/0/-/-/-	Homo sapiens	2021-02-12	United States / FL	 	2021-03-11	 	2021-03-12 08:16:39	2021-03-16 10:46:59	alpha
5957	MW725710	SARS-CoV-2/human/USA/FL-BPHL-0947/2021	GenBank	NA	B.1.1.7	Complete	29767	High	0/0/-/-/-	Homo sapiens	2021-02-15	United States / FL	 	2021-03-11	 	2021-03-12 08:16:39	2021-03-16 10:46:59	alpha
5972	MW725900	SARS-CoV-2/human/USA/FL-BPHL-1173/2021	GenBank	NA	B.1.1.7	Complete	29794	High	0/0/-/-/-	Homo sapiens	2021-02-24	United States / FL	 	2021-03-11	 	2021-03-12 08:16:39	2021-03-16 10:46:59	alpha
6025	MW729263	SARS-CoV-2/human/USA/OH-UHTL-181/2021	GenBank	EPI_ISL_1240747	B.1.1.7	Complete	29885	High	0/0/-/-/-	Homo sapiens	2021-03-07	United States / Ohio	 	2021-03-11	 	2021-03-12 08:16:39	2021-04-16 16:44:49	alpha
6027	MW729269	SARS-CoV-2/human/USA/OH-UHTL-187/2021	GenBank	EPI_ISL_1240753	B.1.1.7	Complete	29885	High	0/0/-/-/-	Homo sapiens	2021-03-07	United States / Ohio	 	2021-03-11	 	2021-03-12 08:16:39	2021-04-16 16:44:49	alpha
6216	MW735424	SARS-CoV-2/human/PHL/PH-PGC-02408/2021	GenBank	EPI_ISL_1081810	B.1.1.7	Complete	29870	High	0/0/-/-/-	Homo Sapiens	2021-01-07	Philippines / National Capital Region	Philippine Red Cross - Port Area	2021-02-26	Philippine Genome Center	2021-02-27 12:23:11	2021-03-16 10:46:59	alpha
6217	MW735436	SARS-CoV-2/human/PHL/PH-PGC-02826/2021	GenBank	EPI_ISL_1081823	B.1.1.7	Complete	29799	High	9/0/-/-/-	Homo Sapiens	2021-01-21	Philippines / Cordillera Administrative Region	Baguio General Hospital and Medical Center	2021-02-26	Philippine Genome Center	2021-02-27 12:23:11	2021-03-16 10:46:59	alpha
6218	MW735440	SARS-CoV-2/human/PHL/PH-PGC-03846/2021	GenBank	EPI_ISL_1081830	B.1.1.7	Complete	29846	High	0/0/-/-/-	Homo Sapiens	2021-01-24	Philippines / National Capital Region	Philippine Red Cross - Port Area	2021-02-26	Philippine Genome Center	2021-02-27 12:23:11	2021-03-16 10:46:59	alpha
6229	MW735580	SARS-CoV-2/human/USA/FL-BPHL-1326/2021	GenBank	NA	B.1.1.7	Complete	29813	High	0/0/-/-/-	Homo sapiens	2021-02-22	United States / FL	 	2021-03-12	 	2021-03-15 06:55:36	2021-03-16 10:46:59	alpha
6496	MW751494	SARS-CoV-2/human/USA/MN-MDH-3475/2021	GenBank	EPI_ISL_1225162	B.1.1.7	Complete	29763	High	0/0/-/-/-	Homo Sapiens	2021-02-18	United States / Minnesota	Vault Health	2021-03-12	Minnesota Department of Health, Public Health Laboratory	2021-03-15 13:54:28	2021-03-17 07:11:58	alpha
6504	MW751618	SARS-CoV-2/human/USA/MD-MDH-1285/2021	GenBank	EPI_ISL_1272205	B.1.1.7	Complete	29823	High	0/0/-/-/-	Homo sapiens	2021-03-05	United States / MD	 	2021-03-16	 	2021-03-17 10:40:23	2021-03-20 13:02:30	alpha
6506	MW751641	SARS-CoV-2/human/USA/MD-MDH-1309/2021	GenBank	EPI_ISL_1272228	B.1.1.7	Complete	29830	High	0/0/-/-/-	Homo sapiens	2021-03-08	United States / MD	 	2021-03-16	 	2021-03-17 10:40:23	2021-03-20 13:02:30	alpha
6558	MW758984	SARS-CoV-2/human/USA/4543472/2021	GenBank	NA	B.1.1.7	Complete	29846	High	0/1/-/-/-	Homo sapiens	2021-02-27	United States	 	2021-03-17	 	2021-03-19 11:22:10	2021-03-19 11:22:10	alpha
6559	MW758989	SARS-CoV-2/human/USA/4543797/2021	GenBank	NA	B.1.1.7	Complete	29802	High	0/0/-/-/-	Homo sapiens	2021-02-28	United States	 	2021-03-17	 	2021-03-19 11:22:10	2021-03-19 11:22:10	alpha
6745	MW769718	SARS-CoV-2/human/ESP/hCoV-19_Spain_CT-HUVH-Bellvitge20903_2021/2021	GenBank	EPI_ISL_981279	B.1.1.7	Complete	29818	High	0/0/-/-/-	Homo Sapiens	2021-01-13	Spain / Catalunya	Hospital Universitari de Bellvitge	2021-02-12	Hospital Universitari Vall d'Hebron	2021-02-14 16:22:19	2021-03-20 13:09:24	alpha
6746	MW769729	SARS-CoV-2/human/ESP/hCoV-19_Spain_CT-HUVH-Bellvitge05261_2021/2021	GenBank	EPI_ISL_981290	B.1.1.7	Complete	29839	High	0/0/-/-/-	Homo Sapiens	2021-01-13	Spain / Catalunya	Hospital Universitari de Bellvitge	2021-02-12	Hospital Universitari Vall d'Hebron	2021-02-14 16:22:19	2021-03-20 13:09:16	alpha
6747	MW769739	SARS-CoV-2/human/ESP/hCoV-19_Spain_CT-HUVH-95339_2021/2021	GenBank	EPI_ISL_981301	B.1.1.7	Complete	29819	High	0/0/-/-/-	Homo Sapiens	2021-01-18	Spain / Catalunya	Hospital Universitari Vall d'Hebron	2021-02-12	Hospital Universitari Vall d'Hebron	2021-02-14 16:22:19	2021-03-20 13:08:54	alpha
6748	MW769742	SARS-CoV-2/human/ESP/hCoV-19_Spain_CT-HUVH-80907_2021/2021	GenBank	EPI_ISL_981304	B.1.1.7	Complete	29847	High	0/0/-/-/-	Homo Sapiens	2021-01-13	Spain / Catalunya	Hospital Universitari Vall d'Hebron	2021-02-12	Hospital Universitari Vall d'Hebron	2021-02-14 16:22:19	2021-03-20 13:09:12	alpha
6807	MW773176	SARS-CoV-2/human/USA/TX-DSHS-3767/2021	GenBank	EPI_ISL_1273284	B.1.1.7	Complete	29706	High	0/0/-/-/-	Homo sapiens	2021-02-25	United States / TX	 	2021-03-18	 	2021-03-20 18:17:36	2021-03-20 18:17:36	alpha
6808	MW773179	SARS-CoV-2/human/USA/TX-DSHS-3771/2021	GenBank	EPI_ISL_1273288	B.1.1.7	Complete	29707	High	0/0/-/-/-	Homo sapiens	2021-02-27	United States / TX	 	2021-03-18	 	2021-03-20 18:17:36	2021-03-20 18:17:36	alpha
6826	MW773473	SARS-CoV-2/human/USA/NH-CDC-22081872/2021	GenBank	EPI_ISL_1291570	B.1.1.7	Complete	29763	High	0/0/-/-/-	Homo sapiens	2021-02-16	United States / New Hampshire	 	2021-03-18	 	2021-03-20 18:17:36	2021-03-21 12:39:56	alpha
6827	MW773478	SARS-CoV-2/human/USA/FL-CDC-22062344/2021	GenBank	EPI_ISL_1291575	B.1.1.7	Complete	29763	High	0/0/-/-/-	Homo sapiens	2021-02-16	United States / Florida	 	2021-03-18	 	2021-03-20 18:17:36	2021-03-21 12:39:56	alpha
6828	MW773562	SARS-CoV-2/human/USA/FL-CDC-22062363/2021	GenBank	EPI_ISL_1291395	B.1.1.7	Complete	29763	High	0/0/-/-/-	Homo sapiens	2021-02-16	United States / Florida	 	2021-03-18	 	2021-03-20 18:17:36	2021-03-21 12:39:56	alpha
6829	MW773614	SARS-CoV-2/human/USA/FL-CDC-22061563/2021	GenBank	EPI_ISL_1291447	B.1.1.7	Complete	29763	High	0/0/-/-/-	Homo sapiens	2021-02-16	United States / Florida	 	2021-03-18	 	2021-03-20 18:17:36	2021-03-21 12:39:56	alpha
6830	MW773617	SARS-CoV-2/human/USA/FL-CDC-22061638/2021	GenBank	EPI_ISL_1291450	B.1.1.7	Complete	29763	High	0/0/-/-/-	Homo sapiens	2021-02-16	United States / Florida	 	2021-03-18	 	2021-03-20 18:17:36	2021-03-21 12:39:56	alpha
6831	MW773650	SARS-CoV-2/human/USA/FL-CDC-22121286/2021	GenBank	EPI_ISL_1291465	B.1.1.7	Complete	29763	High	0/0/-/-/-	Homo sapiens	2021-02-17	United States / Florida	 	2021-03-18	 	2021-03-20 18:17:36	2021-03-21 12:39:56	alpha
6832	MW773652	SARS-CoV-2/human/USA/FL-CDC-22119511/2021	GenBank	EPI_ISL_1291467	B.1.1.7	Complete	29763	High	0/0/-/-/-	Homo sapiens	2021-02-17	United States / Florida	 	2021-03-18	 	2021-03-20 18:17:36	2021-03-21 12:39:56	alpha
6833	MW773694	SARS-CoV-2/human/USA/IN-CDC-22208175/2021	GenBank	EPI_ISL_1291513	B.1.1.7	Complete	29763	High	0/0/-/-/-	Homo sapiens	2021-02-18	United States / Indiana	 	2021-03-18	 	2021-03-20 18:17:36	2021-03-21 12:39:56	alpha
6834	MW773695	SARS-CoV-2/human/USA/FL-CDC-22209175/2021	GenBank	EPI_ISL_1291514	B.1.1.7	Complete	29763	High	0/0/-/-/-	Homo sapiens	2021-02-18	United States / Florida	 	2021-03-18	 	2021-03-20 18:17:36	2021-03-21 12:39:56	alpha
6837	MW773799	SARS-CoV-2/human/USA/FL-CDC-LC0018272/2021	GenBank	EPI_ISL_1291268	B.1.1.7	Complete	29694	High	0/0/-/-/-	Homo sapiens	2021-02-15	United States / Florida	 	2021-03-18	 	2021-03-20 18:17:36	2021-03-21 12:39:56	alpha
6840	MW773833	SARS-CoV-2/human/USA/MA-CDC-LC0019018/2021	GenBank	EPI_ISL_1291302	B.1.1.7	Complete	29694	High	0/0/-/-/-	Homo sapiens	2021-02-11	United States / Massachusetts	 	2021-03-18	 	2021-03-20 18:17:36	2021-03-21 12:39:56	alpha
6851	MW776882	SARS-CoV-2/human/USA/TX-DSHS-3896/2021	GenBank	EPI_ISL_1291314	B.1.1.7	Complete	29706	High	0/0/-/-/-	Homo sapiens	2021-02-06	United States / TX	 	2021-03-19	 	2021-03-20 18:17:36	2021-03-21 12:39:57	alpha
6852	MW776932	SARS-CoV-2/human/USA/TX-DSHS-4068/2021	GenBank	EPI_ISL_1291366	B.1.1.7	Complete	29719	High	0/0/-/-/-	Homo sapiens	2021-02-02	United States / TX	 	2021-03-19	 	2021-03-20 18:17:36	2021-03-21 12:39:57	alpha
6853	MW776933	SARS-CoV-2/human/USA/TX-DSHS-4070/2021	GenBank	EPI_ISL_1291367	B.1.1.7	Complete	29707	High	0/0/-/-/-	Homo sapiens	2021-02-07	United States / TX	 	2021-03-19	 	2021-03-20 18:17:36	2021-03-21 12:39:57	alpha
7255	MW781876	SARS-CoV-2/human/USA/CT-CDC-22257748/2021	GenBank	EPI_ISL_1298227	B.1.1.7	Complete	29763	High	0/0/-/-/-	Homo sapiens	2021-02-21	United States / Connecticut	 	2021-03-19	 	2021-03-20 18:17:38	2021-03-21 12:39:56	alpha
7256	MW781883	SARS-CoV-2/human/USA/NY-CDC-22252879/2021	GenBank	EPI_ISL_1298234	B.1.1.7	Complete	29763	High	0/0/-/-/-	Homo sapiens	2021-02-18	United States / New York	 	2021-03-19	 	2021-03-20 18:17:38	2021-03-21 12:39:56	alpha
7257	MW781901	SARS-CoV-2/human/USA/PA-CDC-STM-000014252/2021	GenBank	EPI_ISL_1298207	B.1.1.7	Complete	29884	High	0/0/-/-/-	Homo sapiens	2021-02-12	United States / Pennsylvania	 	2021-03-19	 	2021-03-20 18:17:38	2021-03-21 12:39:56	alpha
7346	MW791664	SARS-CoV-2/human/USA/TX-DSHS-4082/2021	GenBank	EPI_ISL_1300399	B.1.1.7	Complete	29707	High	0/0/-/-/-	Homo Sapiens	2021-02-23	United States / Texas / Tarrant County	Texas Department of State Health Services - TXDSHS	2021-03-19	Texas Department of State Health Services - TXDSHS	2021-03-22 04:07:24	2021-03-24 13:32:57	alpha
