MZ535931.1 alpha_MZ535931.1
MZ007265 alpha_MZ007265
MZ185077 alpha_MZ185077
MW907154 alpha_MW907154
FR992135 alpha_FR992135
MW906356 alpha_MW906356
MZ351804 alpha_MZ351804
MZ009903 alpha_MZ009903
MZ213768 alpha_MZ213768
MZ202072 alpha_MZ202072
MZ424090.1 alpha_MZ424090.1
MZ084348 alpha_MZ084348
MZ288266 alpha_MZ288266
MZ492229.1 alpha_MZ492229.1
FR992419 alpha_FR992419
MZ010937 alpha_MZ010937
MZ100460 alpha_MZ100460
MZ245075 alpha_MZ245075
MZ034795 alpha_MZ034795
MZ048507 alpha_MZ048507
MZ431906.1 alpha_MZ431906.1
MZ074610 alpha_MZ074610
MZ378224 alpha_MZ378224
MW847390 alpha_MW847390
MZ072265 alpha_MZ072265
MZ214219 alpha_MZ214219
MW841784 alpha_MW841784
MZ283805 alpha_MZ283805
MZ307152 alpha_MZ307152
MZ038150 alpha_MZ038150
MZ401639.1 alpha_MZ401639.1
MZ237400 alpha_MZ237400
MZ141753 alpha_MZ141753
MZ450227.1 alpha_MZ450227.1
MZ306346 alpha_MZ306346
MZ295308 alpha_MZ295308
MW976808 alpha_MW976808
MZ173109 alpha_MZ173109
MZ047066 alpha_MZ047066
MW751618 alpha_MW751618
MZ440618.1 alpha_MZ440618.1
MZ002154 alpha_MZ002154
MZ217223 alpha_MZ217223
MZ385548 alpha_MZ385548
MZ244540 alpha_MZ244540
MZ181384 alpha_MZ181384
MZ180642 alpha_MZ180642
MZ188548 alpha_MZ188548
MZ171580 alpha_MZ171580
MW844309 alpha_MW844309
MW965909 alpha_MW965909
MZ038741 alpha_MZ038741
MZ363185 alpha_MZ363185
MW912252 alpha_MW912252
MZ142995 alpha_MZ142995
MZ354497 alpha_MZ354497
MZ390814 alpha_MZ390814
MZ184061 alpha_MZ184061
HG999095 alpha_HG999095
MZ007062 alpha_MZ007062
MZ390301 alpha_MZ390301
MW803475 alpha_MW803475
MZ059904 alpha_MZ059904
MZ493488.1 alpha_MZ493488.1
MW874847 alpha_MW874847
MZ188251 alpha_MZ188251
MZ045353 alpha_MZ045353
MZ198905 alpha_MZ198905
MZ471867.1 alpha_MZ471867.1
MZ532479.1 alpha_MZ532479.1
MW905131 alpha_MW905131
MZ412079.1 alpha_MZ412079.1
MZ010429 alpha_MZ010429
MW959830 alpha_MW959830
MZ227973 alpha_MZ227973
MZ146191 alpha_MZ146191
MZ236560 alpha_MZ236560
MZ357605 alpha_MZ357605
MZ467752.1 alpha_MZ467752.1
MZ084190 alpha_MZ084190
MZ211584 alpha_MZ211584
MW803476 alpha_MW803476
MW907243 alpha_MW907243
MZ154168 alpha_MZ154168
MZ284681 alpha_MZ284681
MZ154031 alpha_MZ154031
MZ498393.1 alpha_MZ498393.1
MZ554904.1 alpha_MZ554904.1
MZ188519 alpha_MZ188519
MZ315718 alpha_MZ315718
MW735580 alpha_MW735580
MZ075418 alpha_MZ075418
MZ075463 alpha_MZ075463
MZ211738 alpha_MZ211738
MZ255545 alpha_MZ255545
MZ009494 alpha_MZ009494
MZ237702 alpha_MZ237702
MZ281456 alpha_MZ281456
MZ316211 alpha_MZ316211
MZ493399.1 alpha_MZ493399.1
MZ201922 alpha_MZ201922
MZ316255 alpha_MZ316255
MZ064817 alpha_MZ064817
MZ083429 alpha_MZ083429
MZ195918 alpha_MZ195918
MZ566632.1 alpha_MZ566632.1
MZ130997 alpha_MZ130997
MZ132219 alpha_MZ132219
MZ164820 alpha_MZ164820
MZ316619 alpha_MZ316619
MW935809 alpha_MW935809
MZ083796 alpha_MZ083796
MZ322793 alpha_MZ322793
MZ416005.1 alpha_MZ416005.1
MZ149650 alpha_MZ149650
MZ506037.1 alpha_MZ506037.1
MW967127 alpha_MW967127
MZ231727 alpha_MZ231727
MZ244954 alpha_MZ244954
MZ211255 alpha_MZ211255
MZ186990 alpha_MZ186990
MZ101206 alpha_MZ101206
MZ055053 alpha_MZ055053
MZ064958 alpha_MZ064958
MZ565697.1 alpha_MZ565697.1
MW849831 alpha_MW849831
MW988907 alpha_MW988907
MZ166539 alpha_MZ166539
MZ061203 alpha_MZ061203
MZ281748 alpha_MZ281748
MZ036622 alpha_MZ036622
MZ055270 alpha_MZ055270
MZ167099 alpha_MZ167099
MZ032508 alpha_MZ032508
MZ039104 alpha_MZ039104
MZ384323 alpha_MZ384323
MW840909 alpha_MW840909
MZ278270 alpha_MZ278270
MZ025894 alpha_MZ025894
MZ059556 alpha_MZ059556
FR992504 alpha_FR992504
MW829576 alpha_MW829576
MZ184573 alpha_MZ184573
MZ337174 alpha_MZ337174
MW963409 alpha_MW963409
MZ454505.1 alpha_MZ454505.1
MZ061058 alpha_MZ061058
MW842024 alpha_MW842024
MZ340727 alpha_MZ340727
MZ172017 alpha_MZ172017
MZ386463 alpha_MZ386463
MZ491600.1 alpha_MZ491600.1
MW877100 alpha_MW877100
MZ073141 alpha_MZ073141
MZ283712 alpha_MZ283712
MW984459 alpha_MW984459
MZ145695 alpha_MZ145695
MZ062160 alpha_MZ062160
MZ164082 alpha_MZ164082
MZ217430 alpha_MZ217430
MZ153617 alpha_MZ153617
MZ244486 alpha_MZ244486
MZ085302 alpha_MZ085302
MW904951 alpha_MW904951
MZ179257 alpha_MZ179257
MZ349092 alpha_MZ349092
MZ058180 alpha_MZ058180
MZ004798 alpha_MZ004798
MZ154007 alpha_MZ154007
MZ475547.1 alpha_MZ475547.1
MZ450408.1 alpha_MZ450408.1
MZ084048 alpha_MZ084048
MZ415119.1 alpha_MZ415119.1
MW842413 alpha_MW842413
MZ195416 alpha_MZ195416
MZ462730.1 alpha_MZ462730.1
MZ082668 alpha_MZ082668
MZ337230 alpha_MZ337230
MZ131177 alpha_MZ131177
MW869038 alpha_MW869038
MZ184656 alpha_MZ184656
MZ490357.1 alpha_MZ490357.1
MW803384 alpha_MW803384
MZ000195 alpha_MZ000195
MZ186280 alpha_MZ186280
MZ455489.1 alpha_MZ455489.1
MZ216990 alpha_MZ216990
MZ307279 alpha_MZ307279
MZ498339.1 alpha_MZ498339.1
MW993337 alpha_MW993337
MZ281723 alpha_MZ281723
MZ538335.1 alpha_MZ538335.1
MZ075688 alpha_MZ075688
MZ232519 alpha_MZ232519
MZ170589 alpha_MZ170589
MZ244455 alpha_MZ244455
MZ306956 alpha_MZ306956
MZ279318 alpha_MZ279318
MZ320274 alpha_MZ320274
MZ394588.1 alpha_MZ394588.1
FR993261 alpha_FR993261
MZ181642 alpha_MZ181642
MZ216903 alpha_MZ216903
MZ035834 alpha_MZ035834
MW913970 alpha_MW913970
MZ279220 alpha_MZ279220
MZ167743 alpha_MZ167743
MZ214156 alpha_MZ214156
MZ414702.1 alpha_MZ414702.1
MZ168078 alpha_MZ168078
MZ290787 alpha_MZ290787
MZ085086 alpha_MZ085086
MW842015 alpha_MW842015
MZ006784 alpha_MZ006784
MZ271491 alpha_MZ271491
MZ500318.1 alpha_MZ500318.1
MZ188187 alpha_MZ188187
MZ411876.1 alpha_MZ411876.1
MZ037680 alpha_MZ037680
MZ084408 alpha_MZ084408
MZ133224 alpha_MZ133224
MZ227937 alpha_MZ227937
MZ012958 alpha_MZ012958
FR989589 alpha_FR989589
MW849635 alpha_MW849635
MW988267 alpha_MW988267
MZ073623 alpha_MZ073623
MZ304975 alpha_MZ304975
MZ261063 alpha_MZ261063
MW914103 alpha_MW914103
MW907811 alpha_MW907811
MZ281285 alpha_MZ281285
MZ006820 alpha_MZ006820
MZ385970 alpha_MZ385970
MW803508 alpha_MW803508
MW874950 alpha_MW874950
MZ035265 alpha_MZ035265
MZ167928 alpha_MZ167928
MZ371932 alpha_MZ371932
MZ451826.1 alpha_MZ451826.1
MW831050 alpha_MW831050
MW914405 alpha_MW914405
MZ228380 alpha_MZ228380
MW864809 alpha_MW864809
MZ255598 alpha_MZ255598
MZ413493.1 alpha_MZ413493.1
MZ184346 alpha_MZ184346
MZ317121 alpha_MZ317121
MZ453739.1 alpha_MZ453739.1
MZ498253.1 alpha_MZ498253.1
MW769766 alpha_MW769766
MW905153 alpha_MW905153
MZ341959 alpha_MZ341959
MZ352206 alpha_MZ352206
MW969025 alpha_MW969025
MZ002825 alpha_MZ002825
MZ179520 alpha_MZ179520
FR992913 alpha_FR992913
MW931280 alpha_MW931280
MW913399 alpha_MW913399
MW937192 alpha_MW937192
MZ390977 alpha_MZ390977
MZ193480 alpha_MZ193480
MW803501 alpha_MW803501
MW821789 alpha_MW821789
MZ539173.1 alpha_MZ539173.1
MW858235 alpha_MW858235
MW877204 alpha_MW877204
MZ032668 alpha_MZ032668
MZ100820 alpha_MZ100820
MZ170605 alpha_MZ170605
MW959410 alpha_MW959410
MZ132262 alpha_MZ132262
MZ284030 alpha_MZ284030
MZ341544 alpha_MZ341544
MW959627 alpha_MW959627
MZ101088 alpha_MZ101088
MZ163843 alpha_MZ163843
MZ181223 alpha_MZ181223
MZ045134 alpha_MZ045134
MZ184200 alpha_MZ184200
MZ513940.1 alpha_MZ513940.1
MZ233510 alpha_MZ233510
MZ454141.1 alpha_MZ454141.1
MZ164271 alpha_MZ164271
MW865118 alpha_MW865118
MW913734 alpha_MW913734
MZ060461 alpha_MZ060461
MW864637 alpha_MW864637
MZ167155 alpha_MZ167155
MW831040 alpha_MW831040
MZ022972 alpha_MZ022972
MZ570774.1 alpha_MZ570774.1
MZ340757 alpha_MZ340757
MZ228868 alpha_MZ228868
MZ255705 alpha_MZ255705
MZ493366.1 alpha_MZ493366.1
MW894593 alpha_MW894593
MZ086019 alpha_MZ086019
MZ367765 alpha_MZ367765
MZ284642 alpha_MZ284642
MW913376 alpha_MW913376
MZ056074 alpha_MZ056074
MZ154231 alpha_MZ154231
MZ282055 alpha_MZ282055
MZ331297 alpha_MZ331297
MZ411879.1 alpha_MZ411879.1
MZ084894 alpha_MZ084894
MZ193821 alpha_MZ193821
MZ032521 alpha_MZ032521
MZ085174 alpha_MZ085174
MZ531667.1 alpha_MZ531667.1
MZ003364 alpha_MZ003364
MZ056384 alpha_MZ056384
MZ086446 alpha_MZ086446
MZ141377 alpha_MZ141377
MZ533278.1 alpha_MZ533278.1
MZ058293 alpha_MZ058293
MW904697 alpha_MW904697
MW969111 alpha_MW969111
MW869817 alpha_MW869817
MZ006462 alpha_MZ006462
MZ307665 alpha_MZ307665
MZ075063 alpha_MZ075063
MZ141098 alpha_MZ141098
MW904679 alpha_MW904679
MZ433675.1 alpha_MZ433675.1
MZ159056 alpha_MZ159056
MZ179696 alpha_MZ179696
MZ244583 alpha_MZ244583
MW914577 alpha_MW914577
MZ342124 alpha_MZ342124
MZ069209 alpha_MZ069209
MZ086343 alpha_MZ086343
MW906921 alpha_MW906921
MZ210263 alpha_MZ210263
MZ083646 alpha_MZ083646
MZ354236 alpha_MZ354236
MZ194701 alpha_MZ194701
MZ475659.1 alpha_MZ475659.1
MZ354431 alpha_MZ354431
MZ201802 alpha_MZ201802
MZ386620 alpha_MZ386620
MW966924 alpha_MW966924
MW991092 alpha_MW991092
MZ070947 alpha_MZ070947
MW911925 alpha_MW911925
MZ512857.1 alpha_MZ512857.1
MW735436 alpha_MW735436
MZ290743 alpha_MZ290743
MW968372 alpha_MW968372
MZ045094 alpha_MZ045094
MZ065076 alpha_MZ065076
MZ242183 alpha_MZ242183
MZ316009 alpha_MZ316009
MZ154524 alpha_MZ154524
MZ032298 alpha_MZ032298
MZ001114 alpha_MZ001114
MW773179 alpha_MW773179
MZ184331 alpha_MZ184331
MW908972 alpha_MW908972
MW909112 alpha_MW909112
MZ010802 alpha_MZ010802
MZ214823 alpha_MZ214823
MZ291358 alpha_MZ291358
MZ280286 alpha_MZ280286
MZ070494 alpha_MZ070494
MZ003653 alpha_MZ003653
MZ038621 alpha_MZ038621
MZ187036 alpha_MZ187036
MZ064864 alpha_MZ064864
MZ252098 alpha_MZ252098
MZ056062 alpha_MZ056062
MZ164038 alpha_MZ164038
MZ170379 alpha_MZ170379
MZ288200 alpha_MZ288200
MZ390069 alpha_MZ390069
MZ213047 alpha_MZ213047
MZ331100 alpha_MZ331100
MZ083224 alpha_MZ083224
MZ144339 alpha_MZ144339
MZ376559 alpha_MZ376559
MZ073268 alpha_MZ073268
MW796760 alpha_MW796760
MW989130 alpha_MW989130
MZ165835 alpha_MZ165835
MZ449749.1 alpha_MZ449749.1
MW930183 alpha_MW930183
MZ167076 alpha_MZ167076
MZ072854 alpha_MZ072854
MW803543 alpha_MW803543
MZ244557 alpha_MZ244557
MZ172135 alpha_MZ172135
MZ226106 alpha_MZ226106
MZ194022 alpha_MZ194022
MW844247 alpha_MW844247
MZ084499 alpha_MZ084499
MZ455543.1 alpha_MZ455543.1
MZ090102 alpha_MZ090102
MZ184261 alpha_MZ184261
MZ228404 alpha_MZ228404
MW906774 alpha_MW906774
MZ145708 alpha_MZ145708
MZ140563 alpha_MZ140563
MZ307670 alpha_MZ307670
MZ454886.1 alpha_MZ454886.1
MZ278426 alpha_MZ278426
MW626520 alpha_MW626520
MZ036661 alpha_MZ036661
MZ217421 alpha_MZ217421
MW808159 alpha_MW808159
MW913473 alpha_MW913473
MZ566371.1 alpha_MZ566371.1
MZ453729.1 alpha_MZ453729.1
MZ132942 alpha_MZ132942
MZ453479.1 alpha_MZ453479.1
MW906289 alpha_MW906289
MZ100461 alpha_MZ100461
MZ282883 alpha_MZ282883
MW803390 alpha_MW803390
MZ022187 alpha_MZ022187
MZ431898.1 alpha_MZ431898.1
MZ306431 alpha_MZ306431
MZ434498.1 alpha_MZ434498.1
MW799818 alpha_MW799818
MZ010987 alpha_MZ010987
MZ315939 alpha_MZ315939
MZ283540 alpha_MZ283540
MZ212942 alpha_MZ212942
MZ280332 alpha_MZ280332
MZ499169.1 alpha_MZ499169.1
MZ306691 alpha_MZ306691
MZ004781 alpha_MZ004781
MZ211426 alpha_MZ211426
MZ237716 alpha_MZ237716
MZ255944 alpha_MZ255944
MW963535 alpha_MW963535
MZ034131 alpha_MZ034131
MZ376150 alpha_MZ376150
MZ511333.1 alpha_MZ511333.1
MW993053 alpha_MW993053
MZ257125 alpha_MZ257125
MZ039328 alpha_MZ039328
MZ035740 alpha_MZ035740
MZ189129 alpha_MZ189129
MZ022806 alpha_MZ022806
MZ267317 alpha_MZ267317
MZ217609 alpha_MZ217609
HG998741 alpha_HG998741
MZ316002 alpha_MZ316002
MZ181657 alpha_MZ181657
MZ520071.1 alpha_MZ520071.1
MZ083686 alpha_MZ083686
MZ131331 alpha_MZ131331
MZ180364 alpha_MZ180364
MZ022943 alpha_MZ022943
MZ085576 alpha_MZ085576
MZ164447 alpha_MZ164447
MZ194183 alpha_MZ194183
MZ291142 alpha_MZ291142
MZ288043 alpha_MZ288043
MZ486469.1 alpha_MZ486469.1
MZ168151 alpha_MZ168151
MZ211943 alpha_MZ211943
MZ531234.1 alpha_MZ531234.1
MZ236551 alpha_MZ236551
MZ202440 alpha_MZ202440
MZ307572 alpha_MZ307572
MZ279408 alpha_MZ279408
MW807867 alpha_MW807867
MZ284109 alpha_MZ284109
MZ554944.1 alpha_MZ554944.1
MZ032718 alpha_MZ032718
MZ398870.1 alpha_MZ398870.1
MZ499689.1 alpha_MZ499689.1
MZ570741.1 alpha_MZ570741.1
MZ002067 alpha_MZ002067
MZ025010 alpha_MZ025010
MZ153867 alpha_MZ153867
MW904644 alpha_MW904644
MZ255574 alpha_MZ255574
MZ341731 alpha_MZ341731
MZ025532 alpha_MZ025532
MZ186932 alpha_MZ186932
MZ394278.1 alpha_MZ394278.1
MW837425 alpha_MW837425
MZ164725 alpha_MZ164725
MZ213369 alpha_MZ213369
MZ060601 alpha_MZ060601
MZ376833 alpha_MZ376833
MZ001294 alpha_MZ001294
MZ083236 alpha_MZ083236
MZ186612 alpha_MZ186612
MZ294125 alpha_MZ294125
MZ294131 alpha_MZ294131
MZ193261 alpha_MZ193261
MZ025662 alpha_MZ025662
MZ413556.1 alpha_MZ413556.1
MZ158753 alpha_MZ158753
MZ131915 alpha_MZ131915
MZ501411.1 alpha_MZ501411.1
MZ163708 alpha_MZ163708
MZ252691 alpha_MZ252691
MZ294662 alpha_MZ294662
MZ533380.1 alpha_MZ533380.1
MW915229 alpha_MW915229
MW964443 alpha_MW964443
MZ061083 alpha_MZ061083
MZ085881 alpha_MZ085881
MZ152608 alpha_MZ152608
MZ194575 alpha_MZ194575
MZ371391 alpha_MZ371391
HG997012 alpha_HG997012
MZ060329 alpha_MZ060329
MZ293659 alpha_MZ293659
MW908226 alpha_MW908226
MZ499059.1 alpha_MZ499059.1
MZ554669.1 alpha_MZ554669.1
MZ188275 alpha_MZ188275
MZ211593 alpha_MZ211593
MW969602.1 alpha_MW969602.1
MZ163501 alpha_MZ163501
MZ071335 alpha_MZ071335
MZ210391 alpha_MZ210391
MZ039251 alpha_MZ039251
MZ101040 alpha_MZ101040
MZ390979 alpha_MZ390979
MZ236574 alpha_MZ236574
MZ046668 alpha_MZ046668
MZ060321 alpha_MZ060321
MZ076086 alpha_MZ076086
MZ045103 alpha_MZ045103
MZ180796 alpha_MZ180796
MZ213009 alpha_MZ213009
MZ538048.1 alpha_MZ538048.1
MZ254085 alpha_MZ254085
MZ499158.1 alpha_MZ499158.1
MZ214577 alpha_MZ214577
MW840409 alpha_MW840409
MZ058373 alpha_MZ058373
MZ341507 alpha_MZ341507
MZ402493.1 alpha_MZ402493.1
MZ024478 alpha_MZ024478
MZ149686 alpha_MZ149686
MZ215540 alpha_MZ215540
MZ184485 alpha_MZ184485
MZ320259 alpha_MZ320259
MZ518764.1 alpha_MZ518764.1
MZ388134 alpha_MZ388134
MZ566418.1 alpha_MZ566418.1
MZ386626 alpha_MZ386626
MZ520092.1 alpha_MZ520092.1
MZ256663 alpha_MZ256663
MW905269 alpha_MW905269
MZ506272.1 alpha_MZ506272.1
MZ320915 alpha_MZ320915
MW931420 alpha_MW931420
MZ167941 alpha_MZ167941
MZ212782 alpha_MZ212782
MZ196113 alpha_MZ196113
MZ131351 alpha_MZ131351
MZ194225 alpha_MZ194225
MZ003331 alpha_MZ003331
MZ163919 alpha_MZ163919
MZ232663 alpha_MZ232663
MZ013455 alpha_MZ013455
MZ206413 alpha_MZ206413
MZ291369 alpha_MZ291369
MZ500778.1 alpha_MZ500778.1
MZ414280.1 alpha_MZ414280.1
MW912485 alpha_MW912485
MZ056060 alpha_MZ056060
MZ212551 alpha_MZ212551
MW908543 alpha_MW908543
MZ039625 alpha_MZ039625
MZ004908 alpha_MZ004908
MZ243379 alpha_MZ243379
MZ530604.1 alpha_MZ530604.1
MW877243 alpha_MW877243
MZ154444 alpha_MZ154444
MZ366604 alpha_MZ366604
MZ530609.1 alpha_MZ530609.1
MZ349829 alpha_MZ349829
MZ212550 alpha_MZ212550
MZ164750 alpha_MZ164750
MW524867 alpha_MW524867
MW803585 alpha_MW803585
MZ152154 alpha_MZ152154
MZ304843 alpha_MZ304843
MW921925 alpha_MW921925
MW519832 alpha_MW519832
MZ237771 alpha_MZ237771
MZ315723 alpha_MZ315723
MZ166837 alpha_MZ166837
LR962912 alpha_LR962912
MZ023329 alpha_MZ023329
MZ225803 alpha_MZ225803
MZ100566 alpha_MZ100566
MZ529976.1 alpha_MZ529976.1
MZ064699 alpha_MZ064699
MZ181401 alpha_MZ181401
MZ398878.1 alpha_MZ398878.1
MZ531037.1 alpha_MZ531037.1
MZ163922 alpha_MZ163922
MZ307553 alpha_MZ307553
MZ288156 alpha_MZ288156
MW963496 alpha_MW963496
MZ035605 alpha_MZ035605
MZ237489 alpha_MZ237489
MW905164 alpha_MW905164
FR991929 alpha_FR991929
MZ411648.1 alpha_MZ411648.1
MZ001925 alpha_MZ001925
MZ193490 alpha_MZ193490
MZ228924 alpha_MZ228924
MZ279118 alpha_MZ279118
MZ131441 alpha_MZ131441
MZ054921 alpha_MZ054921
MZ059284 alpha_MZ059284
MZ372679 alpha_MZ372679
MW914099 alpha_MW914099
MZ009766 alpha_MZ009766
MZ282046 alpha_MZ282046
MZ215545 alpha_MZ215545
MW907730 alpha_MW907730
MW991105 alpha_MW991105
MZ084855 alpha_MZ084855
MZ212744 alpha_MZ212744
MZ006154 alpha_MZ006154
MZ168498 alpha_MZ168498
MZ372106 alpha_MZ372106
MZ166593 alpha_MZ166593
MZ497744.1 alpha_MZ497744.1
MZ281015 alpha_MZ281015
MZ227926 alpha_MZ227926
MW972384 alpha_MW972384
MZ333360 alpha_MZ333360
MZ180463 alpha_MZ180463
MZ013770 alpha_MZ013770
MZ083548 alpha_MZ083548
MZ284566 alpha_MZ284566
MW869014 alpha_MW869014
MZ290333 alpha_MZ290333
MZ304801 alpha_MZ304801
MZ371511 alpha_MZ371511
MZ186215 alpha_MZ186215
MZ393551 alpha_MZ393551
MZ354801 alpha_MZ354801
MZ536179.1 alpha_MZ536179.1
MZ035223 alpha_MZ035223
MW820276 alpha_MW820276
MZ275084 alpha_MZ275084
MZ012522 alpha_MZ012522
MW968446 alpha_MW968446
MZ011300 alpha_MZ011300
MZ283159 alpha_MZ283159
MZ188390 alpha_MZ188390
MZ226348 alpha_MZ226348
MZ163481 alpha_MZ163481
MZ341643 alpha_MZ341643
MZ253902 alpha_MZ253902
MZ084890 alpha_MZ084890
MZ168178 alpha_MZ168178
MZ184186 alpha_MZ184186
MZ206250 alpha_MZ206250
MZ146302 alpha_MZ146302
MW842373 alpha_MW842373
MW969330 alpha_MW969330
MW932276 alpha_MW932276
MZ083930 alpha_MZ083930
MZ070555 alpha_MZ070555
MZ060026 alpha_MZ060026
MZ161673 alpha_MZ161673
MZ337265 alpha_MZ337265
MW626523 alpha_MW626523
MW906129 alpha_MW906129
MW964445 alpha_MW964445
MW908974 alpha_MW908974
MZ087982 alpha_MZ087982
MZ228801 alpha_MZ228801
MZ448814.1 alpha_MZ448814.1
MZ036033 alpha_MZ036033
MW908403 alpha_MW908403
MZ058861 alpha_MZ058861
FR993044 alpha_FR993044
MW914060 alpha_MW914060
MZ084575 alpha_MZ084575
MZ181683 alpha_MZ181683
MZ454817.1 alpha_MZ454817.1
FR992213 alpha_FR992213
MZ034940 alpha_MZ034940
MZ431905.1 alpha_MZ431905.1
MZ068953 alpha_MZ068953
MZ195929 alpha_MZ195929
MZ275159 alpha_MZ275159
MZ318824 alpha_MZ318824
MW984474 alpha_MW984474
MW914488 alpha_MW914488
MZ342122 alpha_MZ342122
MZ047398 alpha_MZ047398
MZ244509 alpha_MZ244509
MZ168415 alpha_MZ168415
MZ069415 alpha_MZ069415
MZ315488 alpha_MZ315488
MW869478 alpha_MW869478
MZ295546 alpha_MZ295546
MZ053715 alpha_MZ053715
MZ021038 alpha_MZ021038
MZ237933 alpha_MZ237933
MZ475526.1 alpha_MZ475526.1
MW992900 alpha_MW992900
MW273786 alpha_MW273786
MZ143063 alpha_MZ143063
MZ145324 alpha_MZ145324
MZ152985 alpha_MZ152985
MZ152419 alpha_MZ152419
MZ167517 alpha_MZ167517
MZ564441.1 alpha_MZ564441.1
MZ008820 alpha_MZ008820
MZ059980 alpha_MZ059980
MZ351308 alpha_MZ351308
MZ530475.1 alpha_MZ530475.1
MW876990 alpha_MW876990
MW994039 alpha_MW994039
MZ432726.1 alpha_MZ432726.1
MZ164719 alpha_MZ164719
MZ006292 alpha_MZ006292
MZ278701 alpha_MZ278701
MW905552 alpha_MW905552
MZ086206 alpha_MZ086206
MZ158431 alpha_MZ158431
MZ376309 alpha_MZ376309
MZ009424 alpha_MZ009424
MZ024691 alpha_MZ024691
MZ375428 alpha_MZ375428
MZ032610 alpha_MZ032610
MZ455923.1 alpha_MZ455923.1
MZ538119.1 alpha_MZ538119.1
MZ212334 alpha_MZ212334
MZ231772 alpha_MZ231772
MZ192055 alpha_MZ192055
MZ149755 alpha_MZ149755
MZ029268 alpha_MZ029268
MZ034638 alpha_MZ034638
MZ319865 alpha_MZ319865
