MW338781 zeta_MW338781
MW771838 zeta_MW771838
MW771863 zeta_MW771863
MW771976 zeta_MW771976
MW771981 zeta_MW771981
MW771982 zeta_MW771982
MW771989 zeta_MW771989
MW772059 zeta_MW772059
MW772131 zeta_MW772131
MW772139 zeta_MW772139
MW772172 zeta_MW772172
MW772188 zeta_MW772188
MW772205 zeta_MW772205
MW772224 zeta_MW772224
MW772419 zeta_MW772419
MW773343 zeta_MW773343
MW776968 zeta_MW776968
MW777015 zeta_MW777015
MW777122 zeta_MW777122
MW777133 zeta_MW777133
MW777156 zeta_MW777156
MW777163 zeta_MW777163
MW777208 zeta_MW777208
MW777232 zeta_MW777232
MW777263 zeta_MW777263
MW777273 zeta_MW777273
MW777305 zeta_MW777305
MW777315 zeta_MW777315
MW777417 zeta_MW777417
MW777435 zeta_MW777435
MW777636 zeta_MW777636
MW777639 zeta_MW777639
MW777790 zeta_MW777790
MW777794 zeta_MW777794
MW777797 zeta_MW777797
MW777846 zeta_MW777846
MW777850 zeta_MW777850
MW777855 zeta_MW777855
MW777908 zeta_MW777908
MW777926 zeta_MW777926
MW777949 zeta_MW777949
MW778104 zeta_MW778104
MW778245 zeta_MW778245
MW778252 zeta_MW778252
MW778269 zeta_MW778269
MW778272 zeta_MW778272
MW778324 zeta_MW778324
MW778359 zeta_MW778359
MW778369 zeta_MW778369
MW778381 zeta_MW778381
MW778463 zeta_MW778463
MW778527 zeta_MW778527
MW778534 zeta_MW778534
MW778560 zeta_MW778560
MW778593 zeta_MW778593
MW778666 zeta_MW778666
MW778680 zeta_MW778680
MW778713 zeta_MW778713
MW778751 zeta_MW778751
MW779032 zeta_MW779032
MW779193 zeta_MW779193
MW779241 zeta_MW779241
MW779290 zeta_MW779290
MW779390 zeta_MW779390
MW779427 zeta_MW779427
MW779434 zeta_MW779434
MW779573 zeta_MW779573
MW779588 zeta_MW779588
MW779727 zeta_MW779727
MW779796 zeta_MW779796
MW780218 zeta_MW780218
MW780676 zeta_MW780676
MW780761 zeta_MW780761
MW780843 zeta_MW780843
MW781105 zeta_MW781105
MW782889 zeta_MW782889
MW782912 zeta_MW782912
MW782959 zeta_MW782959
MW783071 zeta_MW783071
MW783205 zeta_MW783205
MW783234 zeta_MW783234
MW783354 zeta_MW783354
MW783365 zeta_MW783365
MW786984 zeta_MW786984
MW792551 zeta_MW792551
MW792663 zeta_MW792663
MW792712 zeta_MW792712
MW792720 zeta_MW792720
MW792873 zeta_MW792873
MW793100 zeta_MW793100
MW793129 zeta_MW793129
MW793158 zeta_MW793158
MW793301 zeta_MW793301
MW793307 zeta_MW793307
MW804763 zeta_MW804763
MW804845 zeta_MW804845
MW804944 zeta_MW804944
MW804949 zeta_MW804949
MW805008 zeta_MW805008
MW805059 zeta_MW805059
MW805062 zeta_MW805062
MW805081 zeta_MW805081
MW805118 zeta_MW805118
MW805176 zeta_MW805176
MW808238 zeta_MW808238
MW808428 zeta_MW808428
MW808500 zeta_MW808500
MW808667 zeta_MW808667
MW808753 zeta_MW808753
MW808832 zeta_MW808832
MW808842 zeta_MW808842
MW808847 zeta_MW808847
MW808852 zeta_MW808852
MW808864 zeta_MW808864
MW812574 zeta_MW812574
MW816162 zeta_MW816162
MW816324 zeta_MW816324
MW816396 zeta_MW816396
MW816404 zeta_MW816404
MW816425 zeta_MW816425
MW816430 zeta_MW816430
MW816456 zeta_MW816456
MW848344 zeta_MW848344
MW822593 zeta_MW822593
MW825519 zeta_MW825519
MW825567 zeta_MW825567
MW825655 zeta_MW825655
MW825672 zeta_MW825672
MW825678 zeta_MW825678
MW825694 zeta_MW825694
MW825792 zeta_MW825792
MW825977 zeta_MW825977
MW825979 zeta_MW825979
MW848012 zeta_MW848012
MW848016 zeta_MW848016
MW848169 zeta_MW848169
MW848202 zeta_MW848202
MW848278 zeta_MW848278
MW848875 zeta_MW848875
MW849201 zeta_MW849201
MW849866 zeta_MW849866
MW850033 zeta_MW850033
MW851460 zeta_MW851460
MW851724 zeta_MW851724
MW851725 zeta_MW851725
MW855609 zeta_MW855609
MW855712 zeta_MW855712
MW863049 zeta_MW863049
MW864371 zeta_MW864371
MW864381 zeta_MW864381
MW864439 zeta_MW864439
MW868405 zeta_MW868405
MW868528 zeta_MW868528
MW868593 zeta_MW868593
MW868594 zeta_MW868594
MW868733 zeta_MW868733
MW868736 zeta_MW868736
MW868837 zeta_MW868837
MW868887 zeta_MW868887
MW870041 zeta_MW870041
MW870099 zeta_MW870099
MW870154 zeta_MW870154
MW870697 zeta_MW870697
MW870845 zeta_MW870845
MW871285 zeta_MW871285
MW876892 zeta_MW876892
MW880480 zeta_MW880480
MW880583 zeta_MW880583
MW883283 zeta_MW883283
MW884219 zeta_MW884219
MW884220 zeta_MW884220
MW884221 zeta_MW884221
MW884222 zeta_MW884222
MW884223 zeta_MW884223
MW884224 zeta_MW884224
MW884225 zeta_MW884225
MW884227 zeta_MW884227
MW923051 zeta_MW923051
MZ246386 zeta_MZ246386
MW890603 zeta_MW890603
MW891097 zeta_MW891097
MW891281 zeta_MW891281
MW891298 zeta_MW891298
MW891320 zeta_MW891320
MW891377 zeta_MW891377
MW892236 zeta_MW892236
MW901676 zeta_MW901676
MW901691 zeta_MW901691
MW901816 zeta_MW901816
MW902383 zeta_MW902383
MW902385 zeta_MW902385
MW902413 zeta_MW902413
MW902427 zeta_MW902427
MW902553 zeta_MW902553
MW903045 zeta_MW903045
MW903141 zeta_MW903141
MW903597 zeta_MW903597
MW903856 zeta_MW903856
MW904393 zeta_MW904393
MW931084 zeta_MW931084
MW931500 zeta_MW931500
MZ232480 zeta_MZ232480
MW966353 zeta_MW966353
MW965907 zeta_MW965907
MW966398 zeta_MW966398
MW966739 zeta_MW966739
MW966936 zeta_MW966936
MZ238184 zeta_MZ238184
MZ238349 zeta_MZ238349
MZ236583 zeta_MZ236583
MZ236594 zeta_MZ236594
MZ236607 zeta_MZ236607
MW932085 zeta_MW932085
MW932167 zeta_MW932167
MW932379 zeta_MW932379
MW932656 zeta_MW932656
MW938187 zeta_MW938187
MW941106 zeta_MW941106
MW941123 zeta_MW941123
MW941255 zeta_MW941255
MW941259 zeta_MW941259
MW941375 zeta_MW941375
MW941541 zeta_MW941541
MW941577 zeta_MW941577
MW941737 zeta_MW941737
MW941791 zeta_MW941791
MW941929 zeta_MW941929
MW941981 zeta_MW941981
MW942237 zeta_MW942237
MW942274 zeta_MW942274
MW942393 zeta_MW942393
MW942433 zeta_MW942433
MW942448 zeta_MW942448
MW942483 zeta_MW942483
MW942535 zeta_MW942535
MW942542 zeta_MW942542
MW942659 zeta_MW942659
MW942682 zeta_MW942682
MW942833 zeta_MW942833
MW942857 zeta_MW942857
MW942872 zeta_MW942872
MW942899 zeta_MW942899
MW943029 zeta_MW943029
MW943234 zeta_MW943234
MW943247 zeta_MW943247
MW943426 zeta_MW943426
MW943492 zeta_MW943492
MW943534 zeta_MW943534
MW943655 zeta_MW943655
MW943675 zeta_MW943675
MW943686 zeta_MW943686
MW943706 zeta_MW943706
MW943793 zeta_MW943793
MW943871 zeta_MW943871
MW943924 zeta_MW943924
MW943931 zeta_MW943931
MW943937 zeta_MW943937
MW944033 zeta_MW944033
MW944126 zeta_MW944126
MW944305 zeta_MW944305
MW944354 zeta_MW944354
MW944365 zeta_MW944365
MW945116 zeta_MW945116
MW958097 zeta_MW958097
MW959522 zeta_MW959522
MW959963 zeta_MW959963
MW964707 zeta_MW964707
MW964888 zeta_MW964888
MW964933 zeta_MW964933
MW965027 zeta_MW965027
MW967705 zeta_MW967705
MW967857 zeta_MW967857
MW968053 zeta_MW968053
MW968287 zeta_MW968287
MW968980 zeta_MW968980
MW968989 zeta_MW968989
MW969430 zeta_MW969430
MW975155 zeta_MW975155
MW975257 zeta_MW975257
MW975548 zeta_MW975548
MW975790 zeta_MW975790
MW975857 zeta_MW975857
MW976360 zeta_MW976360
MW986089 zeta_MW986089
MW986149 zeta_MW986149
MW986176 zeta_MW986176
MW986428 zeta_MW986428
MW989248 zeta_MW989248
MW989857 zeta_MW989857
MW991264 zeta_MW991264
MW992813 zeta_MW992813
MW993881 zeta_MW993881
MZ000795 zeta_MZ000795
MZ002800 zeta_MZ002800
MZ003209 zeta_MZ003209
MZ074549 zeta_MZ074549
MZ074914 zeta_MZ074914
MZ074956 zeta_MZ074956
MZ075778 zeta_MZ075778
MZ075797 zeta_MZ075797
MZ006057 zeta_MZ006057
MZ006632 zeta_MZ006632
MZ007087 zeta_MZ007087
MZ007095 zeta_MZ007095
MZ007323 zeta_MZ007323
MZ008795 zeta_MZ008795
MZ008825 zeta_MZ008825
MZ009062 zeta_MZ009062
MZ009401 zeta_MZ009401
MZ013791 zeta_MZ013791
MZ022846 zeta_MZ022846
MZ025268 zeta_MZ025268
MZ025845 zeta_MZ025845
MZ034581 zeta_MZ034581
MZ035318 zeta_MZ035318
MZ035580 zeta_MZ035580
MZ036449 zeta_MZ036449
MZ036492 zeta_MZ036492
MZ036793 zeta_MZ036793
MZ038952 zeta_MZ038952
MZ056413 zeta_MZ056413
MZ231479 zeta_MZ231479
MZ231480 zeta_MZ231480
MZ231615 zeta_MZ231615
MZ231633 zeta_MZ231633
MZ060997 zeta_MZ060997
MZ062153 zeta_MZ062153
MZ070436 zeta_MZ070436
MZ070597 zeta_MZ070597
MZ070598 zeta_MZ070598
MZ070813 zeta_MZ070813
MZ071197 zeta_MZ071197
MZ071209 zeta_MZ071209
MZ071277 zeta_MZ071277
MZ073197 zeta_MZ073197
MZ083139 zeta_MZ083139
MZ084186 zeta_MZ084186
MZ084615 zeta_MZ084615
MZ085334 zeta_MZ085334
MZ086271 zeta_MZ086271
MZ133023 zeta_MZ133023
MZ142252 zeta_MZ142252
MZ165983 zeta_MZ165983
MZ165774 zeta_MZ165774
MZ163798 zeta_MZ163798
MZ167826 zeta_MZ167826
MZ167740 zeta_MZ167740
MZ166874 zeta_MZ166874
MZ160241 zeta_MZ160241
MZ169917 zeta_MZ169917
MZ169912 zeta_MZ169912
MZ169913 zeta_MZ169913
MZ169914 zeta_MZ169914
MZ169915 zeta_MZ169915
MZ169916 zeta_MZ169916
MZ213269 zeta_MZ213269
MZ210578 zeta_MZ210578
MZ210875 zeta_MZ210875
MZ210233 zeta_MZ210233
MZ210351 zeta_MZ210351
MZ203357 zeta_MZ203357
MZ203368 zeta_MZ203368
MZ186046 zeta_MZ186046
MZ239381 zeta_MZ239381
MZ257501 zeta_MZ257501
MZ238030 zeta_MZ238030
MZ227861 zeta_MZ227861
MZ258859 zeta_MZ258859
MZ260021 zeta_MZ260021
MZ256068 zeta_MZ256068
MZ260099 zeta_MZ260099
MZ260109 zeta_MZ260109
MZ237224 zeta_MZ237224
MZ259370 zeta_MZ259370
MZ259077 zeta_MZ259077
MZ257783 zeta_MZ257783
MZ259479 zeta_MZ259479
MZ284203 zeta_MZ284203
MZ291427 zeta_MZ291427
MZ279468 zeta_MZ279468
MW988205 zeta_MW988205
MW626709 zeta_MW626709
MW626698 zeta_MW626698
MZ349162 zeta_MZ349162
MZ349542 zeta_MZ349542
MZ349320 zeta_MZ349320
MZ349459 zeta_MZ349459
MZ358555 zeta_MZ358555
MZ372476 zeta_MZ372476
MZ368285 zeta_MZ368285
MZ368282 zeta_MZ368282
MZ397170.1 zeta_MZ397170.1
MZ444573.1 zeta_MZ444573.1
MZ498354.1 zeta_MZ498354.1
MZ499749.1 zeta_MZ499749.1
MZ499761.1 zeta_MZ499761.1
MZ504082.1 zeta_MZ504082.1
