Virus Strain Name	Accession ID	Data Source	Related ID	Lineage	Nuc.Completeness	Sequence Length	Sequence Quality	Quality Assessment	Host	Sample Collection Date	Location	Originating Lab	Submission Date	Submitting Lab	Create Time	Last Update Time
SARS-CoV-2/human/MEX/InDRE_5527/2020	MT729364	GenBank	EPI_ISL_485580	NA	Partial	221	High	0/0/NA/NA/NA	Homo sapiens	2020-04-15	Mexico / Queretaro	 	2020-07-07	UDTI, InDRE, Francisco de P. Miranda 177 bis Lomas de Plateros, Mexico, Mexico 01480, Mexico	2020-07-09 08:00:47	2021-03-16 10:46:59
SARS-CoV-2/human/MEX/InDRE_5599/2020	MT729365	GenBank	EPI_ISL_485581	NA	Partial	221	High	0/0/NA/NA/NA	Homo sapiens	2020-04-13	Mexico / Mexico State	 	2020-07-07	UDTI, InDRE, Francisco de P. Miranda 177 bis Lomas de Plateros, Mexico, Mexico 01480, Mexico	2020-07-09 08:00:47	2021-03-16 10:46:59
SARS-CoV-2/human/MEX/InDRE_5767/2020	MT729366	GenBank	EPI_ISL_485582	NA	Partial	221	High	0/0/NA/NA/NA	Homo sapiens	2020-04-12	Mexico / Mexico State	 	2020-07-07	UDTI, InDRE, Francisco de P. Miranda 177 bis Lomas de Plateros, Mexico, Mexico 01480, Mexico	2020-07-09 08:00:47	2021-03-16 10:46:59
SARS-CoV-2/human/MEX/InDRE_5823/2020	MT729367	GenBank	EPI_ISL_485583	NA	Partial	221	High	0/0/NA/NA/NA	Homo sapiens	2020-01-02	Mexico / Michoacan	 	2020-07-07	UDTI, InDRE, Francisco de P. Miranda 177 bis Lomas de Plateros, Mexico, Mexico 01480, Mexico	2020-07-09 08:00:47	2021-03-16 10:46:59
SARS-CoV-2/human/MEX/InDRE_5840/2020	MT729368	GenBank	EPI_ISL_485584	NA	Partial	221	High	0/0/NA/NA/NA	Homo sapiens	2020-04-20	Mexico / Mexico City	 	2020-07-07	UDTI, InDRE, Francisco de P. Miranda 177 bis Lomas de Plateros, Mexico, Mexico 01480, Mexico	2020-07-09 08:00:47	2021-03-16 10:46:59
SARS-CoV-2/human/MEX/InDRE_5886/2020	MT729369	GenBank	EPI_ISL_485585	NA	Partial	221	High	0/0/NA/NA/NA	Homo sapiens	2020-04-16	Mexico / Mexico City	 	2020-07-07	UDTI, InDRE, Francisco de P. Miranda 177 bis Lomas de Plateros, Mexico, Mexico 01480, Mexico	2020-07-09 08:00:47	2021-03-16 10:46:59
SARS-CoV-2/human/MEX/InDRE_5972/2020	MT729370	GenBank	EPI_ISL_485586	NA	Partial	221	High	0/0/NA/NA/NA	Homo sapiens	2020-04-14	Mexico / Mexico State	 	2020-07-07	UDTI, InDRE, Francisco de P. Miranda 177 bis Lomas de Plateros, Mexico, Mexico 01480, Mexico	2020-07-09 08:00:47	2021-03-16 10:46:59
SARS-CoV-2/human/MEX/InDRE_5993/2020	MT729371	GenBank	EPI_ISL_485587	NA	Partial	221	High	0/0/NA/NA/NA	Homo sapiens	2020-04-13	Mexico / Baja California Sur	 	2020-07-07	UDTI, InDRE, Francisco de P. Miranda 177 bis Lomas de Plateros, Mexico, Mexico 01480, Mexico	2020-07-09 08:00:47	2021-03-16 10:46:59
SARS-CoV-2/human/MEX/InDRE_6036/2020	MT729372	GenBank	EPI_ISL_485588	NA	Partial	221	High	0/0/NA/NA/NA	Homo sapiens	2020-04-16	Mexico / Mexico State	 	2020-07-07	UDTI, InDRE, Francisco de P. Miranda 177 bis Lomas de Plateros, Mexico, Mexico 01480, Mexico	2020-07-09 08:00:47	2021-03-16 10:46:59
SARS-CoV-2/human/MEX/InDRE_6041/2020	MT729373	GenBank	EPI_ISL_485589	NA	Partial	221	High	0/0/NA/NA/NA	Homo sapiens	2020-04-15	Mexico / Mexico State	 	2020-07-07	UDTI, InDRE, Francisco de P. Miranda 177 bis Lomas de Plateros, Mexico, Mexico 01480, Mexico	2020-07-09 08:00:47	2021-03-16 10:46:59
SARS-CoV-2/human/MEX/InDRE_6098/2020	MT729374	GenBank	EPI_ISL_485590	NA	Partial	221	High	0/0/NA/NA/NA	Homo sapiens	2020-04-13	Mexico / Puebla	 	2020-07-07	UDTI, InDRE, Francisco de P. Miranda 177 bis Lomas de Plateros, Mexico, Mexico 01480, Mexico	2020-07-09 08:00:47	2021-03-16 10:46:59
SARS-CoV-2/human/MEX/InDRE_6195/2020	MT729375	GenBank	EPI_ISL_485591	NA	Partial	221	High	0/0/NA/NA/NA	Homo sapiens	2020-04-17	Mexico / Hidalgo	 	2020-07-07	UDTI, InDRE, Francisco de P. Miranda 177 bis Lomas de Plateros, Mexico, Mexico 01480, Mexico	2020-07-09 08:00:47	2021-03-16 10:46:59
SARS-CoV-2/human/MEX/InDRE_7139/2020	MT729376	GenBank	EPI_ISL_485592	NA	Partial	221	High	0/0/NA/NA/NA	Homo sapiens	2020-04-17	Mexico / Hidalgo	 	2020-07-07	UDTI, InDRE, Francisco de P. Miranda 177 bis Lomas de Plateros, Mexico, Mexico 01480, Mexico	2020-07-09 08:00:47	2021-03-16 10:46:59
SARS-CoV-2/human/MEX/InDRE_7238/2020	MT729377	GenBank	EPI_ISL_485593	NA	Partial	221	High	0/0/NA/NA/NA	Homo sapiens	2020-04-15	Mexico / Oaxaca	 	2020-07-07	UDTI, InDRE, Francisco de P. Miranda 177 bis Lomas de Plateros, Mexico, Mexico 01480, Mexico	2020-07-09 08:00:47	2021-03-16 10:46:59
SARS-CoV-2/human/MEX/InDRE_7796/2020	MT729378	GenBank	EPI_ISL_485594	NA	Partial	221	High	0/0/NA/NA/NA	Homo sapiens	2020-04-15	Mexico / Mexico State	 	2020-07-07	UDTI, InDRE, Francisco de P. Miranda 177 bis Lomas de Plateros, Mexico, Mexico 01480, Mexico	2020-07-09 08:00:47	2021-03-16 10:46:59
SARS-CoV-2/human/MEX/InDRE_7885/2020	MT729379	GenBank	EPI_ISL_485595	NA	Partial	221	High	0/0/NA/NA/NA	Homo sapiens	2020-04-16	Mexico / Mexico State	 	2020-07-07	UDTI, InDRE, Francisco de P. Miranda 177 bis Lomas de Plateros, Mexico, Mexico 01480, Mexico	2020-07-09 08:00:47	2021-03-16 10:46:59
SARS-CoV-2/human/MEX/InDRE_8145/2020	MT729380	GenBank	EPI_ISL_485596	NA	Partial	221	High	0/0/NA/NA/NA	Homo sapiens	2020-04-23	Mexico / Mexico State	 	2020-07-07	UDTI, InDRE, Francisco de P. Miranda 177 bis Lomas de Plateros, Mexico, Mexico 01480, Mexico	2020-07-09 08:00:47	2021-03-16 10:46:59
SARS-CoV-2/human/MEX/InDRE_8446/2020	MT729381	GenBank	EPI_ISL_485597	NA	Partial	221	High	0/0/NA/NA/NA	Homo sapiens	2020-04-19	Mexico / Mexico City	 	2020-07-07	UDTI, InDRE, Francisco de P. Miranda 177 bis Lomas de Plateros, Mexico, Mexico 01480, Mexico	2020-07-09 08:00:47	2021-03-16 10:46:59
SARS-CoV-2/human/MEX/InDRE_9001/2020	MT729382	GenBank	EPI_ISL_485598	NA	Partial	221	High	0/0/NA/NA/NA	Homo sapiens	2020-04-21	Mexico / Mexico State	 	2020-07-07	UDTI, InDRE, Francisco de P. Miranda 177 bis Lomas de Plateros, Mexico, Mexico 01480, Mexico	2020-07-09 08:00:47	2021-03-16 10:46:59
SARS-CoV-2/human/MEX/InDRE_9008/2020	MT729383	GenBank	EPI_ISL_485599	NA	Partial	221	High	0/0/NA/NA/NA	Homo sapiens	2020-04-22	Mexico / Mexico State	 	2020-07-07	UDTI, InDRE, Francisco de P. Miranda 177 bis Lomas de Plateros, Mexico, Mexico 01480, Mexico	2020-07-09 08:00:47	2021-03-16 10:46:59
SARS-CoV-2/human/MEX/InDRE_9620/2020	MT729384	GenBank	EPI_ISL_485600	NA	Partial	221	High	0/0/NA/NA/NA	Homo sapiens	2020-04-25	Mexico / Mexico City	 	2020-07-07	UDTI, InDRE, Francisco de P. Miranda 177 bis Lomas de Plateros, Mexico, Mexico 01480, Mexico	2020-07-09 08:00:47	2021-03-16 10:46:59
SARS-CoV-2/human/MEX/InDRE_9640/2020	MT729385	GenBank	EPI_ISL_485601	NA	Partial	221	High	0/0/NA/NA/NA	Homo sapiens	2020-04-25	Mexico / Mexico City	 	2020-07-07	UDTI, InDRE, Francisco de P. Miranda 177 bis Lomas de Plateros, Mexico, Mexico 01480, Mexico	2020-07-09 08:00:47	2021-03-16 10:46:59
SARS-CoV-2/human/MEX/InDRE_11837/2020	MT729386	GenBank	EPI_ISL_485575	NA	Partial	221	High	0/0/NA/NA/NA	Homo sapiens	2020-05-01	Mexico / Mexico State	 	2020-07-07	UDTI, InDRE, Francisco de P. Miranda 177 bis Lomas de Plateros, Mexico, Mexico 01480, Mexico	2020-07-09 08:00:47	2021-03-16 10:46:59
SARS-CoV-2/human/MEX/InDRE_12065/2020	MT729387	GenBank	EPI_ISL_485576	NA	Partial	221	High	0/0/NA/NA/NA	Homo sapiens	2020-04-30	Mexico / Morelos	 	2020-07-07	UDTI, InDRE, Francisco de P. Miranda 177 bis Lomas de Plateros, Mexico, Mexico 01480, Mexico	2020-07-09 08:00:47	2021-03-16 10:46:59
SARS-CoV-2/human/MEX/InDRE_12067/2020	MT729388	GenBank	EPI_ISL_485577	NA	Partial	221	High	0/0/NA/NA/NA	Homo sapiens	2020-04-30	Mexico / Morelos	 	2020-07-07	UDTI, InDRE, Francisco de P. Miranda 177 bis Lomas de Plateros, Mexico, Mexico 01480, Mexico	2020-07-09 08:00:47	2021-03-16 10:46:59
hCoV-19/Mexico/InDRE_19/2020	EPI_ISL_493334	GISAID	 	B.1	Complete	29813	Low	206/0/NA/NA/NA	Homo Sapiens	2020-03-27	Mexico / Guanajuato	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-07-21	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-07-22 07:46:09	2021-03-16 10:46:59
hCoV-19/Mexico/InDRE_20/2020	EPI_ISL_493335	GISAID	 	B.1	Complete	29842	Low	97/0/NA/NA/NA	Homo Sapiens	2020-04-02	Mexico / Guanajuato	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-07-21	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-07-22 07:46:09	2021-03-16 10:46:59
hCoV-19/Mexico/InDRE_21/2020	EPI_ISL_493336	GISAID	 	B.1.609	Complete	29818	High	0/1/-/-/-	Homo Sapiens	2020-04-17	Mexico / Sinaloa	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-07-21	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-07-22 07:46:09	2021-03-16 10:46:59
hCoV-19/Mexico/InDRE_22/2020	EPI_ISL_493337	GISAID	 	B.1.1	Complete	29798	Low	1773/4/NA/NA/NA	Homo Sapiens	2020-04-26	Mexico / Tabasco	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-07-21	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-07-22 07:46:09	2021-03-16 10:46:59
hCoV-19/Mexico/InDRE_23/2020	EPI_ISL_493338	GISAID	 	B.1	Complete	29813	Low	741/0/NA/NA/NA	Homo Sapiens	2020-05-04	Mexico / Chiapas	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-07-21	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-07-22 07:46:09	2021-03-16 10:46:59
hCoV-19/Mexico/InDRE_24/2020	EPI_ISL_493339	GISAID	 	B.1	Complete	29790	Low	987/0/NA/NA/NA	Homo Sapiens	2020-05-04	Mexico / Guerrero	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-07-21	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-07-22 07:46:09	2021-03-16 10:46:59
hCoV-19/Mexico/InDRE_25/2020	EPI_ISL_493340	GISAID	 	B.1.1.334	Complete	29813	Low	762/1/NA/NA/NA	Homo Sapiens	2020-05-23	Mexico / BCS	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-07-21	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-07-22 07:46:09	2021-03-16 10:46:59
hCoV-19/Mexico/InDRE_26/2020	EPI_ISL_493341	GISAID	 	B.1.1.222	Complete	29785	Low	557/0/NA/NA/NA	Homo Sapiens	2020-05-27	Mexico / Morelos	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-07-21	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-07-22 07:46:10	2021-03-16 10:46:59
hCoV-19/Mexico/InDRE_27/2020	EPI_ISL_493342	GISAID	 	B.1.609	Complete	29814	Low	1318/0/NA/NA/NA	Homo Sapiens	2020-05-26	Mexico / Nayarit	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-07-21	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-07-22 07:46:10	2021-03-16 10:46:59
hCoV-19/Mexico/InDRE_28/2020	EPI_ISL_493343	GISAID	 	B.1.320	Complete	29815	Low	270/0/NA/NA/NA	Homo Sapiens	2020-05-29	Mexico / Nayarit	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-07-21	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-07-22 07:46:10	2021-03-16 10:46:59
hCoV-19/Mexico/InDRE_29/2020	EPI_ISL_493344	GISAID	 	B.1.558	Complete	29807	Low	588/0/NA/NA/NA	Homo Sapiens	2020-05-15	Mexico / Sonora	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-07-21	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-07-22 07:46:10	2021-03-16 10:46:59
hCoV-19/Mexico/InDRE_30/2020	EPI_ISL_493345	GISAID	 	B.1	Complete	29806	Low	591/0/NA/NA/NA	Homo Sapiens	2020-05-29	Mexico / BCS	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-07-21	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-07-22 07:46:10	2021-03-16 10:46:59
hCoV-19/Mexico/InDRE_31/2020	EPI_ISL_493346	GISAID	 	B.1	Complete	29816	Low	108/0/NA/NA/NA	Homo Sapiens	2020-05-26	Mexico / BCS	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-07-21	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-07-22 07:46:10	2021-03-16 10:46:59
hCoV-19/Mexico/InDRE_32/2020	EPI_ISL_493347	GISAID	 	B.1	Complete	29666	Low	1202/1/NA/NA/NA	Homo Sapiens	2020-05-22	Mexico / BC	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-07-21	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-07-22 07:46:10	2021-03-16 10:46:59
hCoV-19/Mexico/InDRE_33/2020	EPI_ISL_493348	GISAID	 	B.1	Complete	29818	High	0/0/-/-/-	Homo Sapiens	2020-05-27	Mexico / Yucatan	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-07-21	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-07-22 07:46:10	2021-03-16 10:46:59
hCoV-19/Mexico/InDRE_34/2020	EPI_ISL_493349	GISAID	 	B.1.558	Complete	29809	Low	630/0/NA/NA/NA	Homo Sapiens	2020-05-28	Mexico / Sonora	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-07-21	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	2020-07-22 07:46:10	2021-03-16 10:46:59
SARS-CoV-2/human/MEX/SEARCH-1466-TIJ/2020	MT810752	GenBank	EPI_ISL_496339	B.1	Complete	29409	Low	639/0/NA/NA/NA	Homo sapiens	2020-04-29	Mexico / Tijuana / BajaCalifornia	 	2020-07-29	Department of Immunology, The Scripps Research Institute, 10550 N Torrey Pines Rd, San Diego, CA 92122, USA	2020-07-31 06:28:56	2021-03-16 10:46:59
